"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.246242695294611 4 8 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 1
0 0.000442122604649969 5 94 "GO:0000139" "Golgi membrane" 0.05
0 0.411885529424515 3 33 "GO:0000151" "ubiquitin ligase complex" 1
0 0.512207100423416 2 13 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 0.291733929087732 2 14 "GO:0000275;GO:0005753;GO:0045259" "mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)" 1
0 0.895045867420797 2 21 "GO:0000502;GO:1905369" "endopeptidase complex" 1
0 0.097463326162816 2 7 "GO:0000775" "chromosome, centromeric region" 1
0 0.117509820659651 3 6 "GO:0000776" "kinetochore" 1
0 0.0681295765511048 2 12 "GO:0000785" "chromatin" 1
0 0.263593089839611 2 14 "GO:0000786;GO:0044815" "nucleosome" 1
0 0.463493130497105 2 6 "GO:0000922" "spindle pole" 1
0 0.0189440266184556 2 13 "GO:0000932" "P-body" 0.807894736842105
0 2.17323195945686e-05 2 20 "GO:0000943" "retrotransposon nucleocapsid" 0.025
0 0.687157407126865 2 10 "GO:0001891" "phagocytic cup" 1
0 0.0518521347556292 2 91 "GO:0005576" "extracellular region" 1
0 0.84352097292026 2 21 "GO:0005615" "extracellular space" 1
0 0.110346912226799 3 41 "GO:0005618;GO:0030312" "cell wall" 1
0 0.0466716924154561 -1 9 "GO:0005623" "obsolete cell" 1
0 0.409619911655943 3 17 "GO:0005635" "nuclear envelope" 1
0 0.0633188904310335 2 105 "GO:0005654" "nucleoplasm" 1
0 0.13177218548436 2 5 "GO:0005657" "replication fork" 1
0 0.745092437241012 3 10 "GO:0005665" "RNA polymerase II, core complex" 1
0 0.330326107472278 6 9 "GO:0005666" "RNA polymerase III complex" 1
0 0.186431270475831 2 14 "GO:0005667" "transcription regulator complex" 1
0 0.327629437871895 2 63 "GO:0005681" "spliceosomal complex" 1
0 0.223722116053513 4 20 "GO:0005694" "chromosome" 1
0 0.223416393565699 2 123 "GO:0005730" "nucleolus" 1
