"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0192295310941127 3 5 "GO:0000030" "mannosyltransferase activity" 0.438679245283019
0 0.167461447253432 5 17 "GO:0000049" "tRNA binding" 1
0 0.175241742743404 3 12 "GO:0000149" "SNARE binding" 1
0 0.232483748238094 2 34 "GO:0000287" "magnesium ion binding" 1
0 0.0641589630633265 4 6 "GO:0000339" "RNA cap binding" 0.815116279069767
0 0.00014894930201261 2 190 "GO:0003677" "DNA binding" 0.04
0 0.194658388680738 2 8 "GO:0003678" "DNA helicase activity" 1
0 0.0109816357651458 2 19 "GO:0003682" "chromatin binding" 0.3575
0 0.268795698084018 4 32 "GO:0003690" "double-stranded DNA binding" 1
0 0.245128901285369 3 16 "GO:0003697" "single-stranded DNA binding" 1
0 0.0158051678843538 2 13 "GO:0003712" "transcription coregulator activity" 0.408333333333333
0 0.0612382135765097 3 7 "GO:0003713" "transcription coactivator activity" 0.817469879518072
0 0.0834654524242757 4 9 "GO:0003727;GO:0008266;GO:0008187" "single-stranded RNA binding" 0.91505376344086
0 0.0504908765222002 5 86 "GO:0003729" "mRNA binding" 0.778082191780822
0 0.484914822419944 2 248 "GO:0003735" "structural constituent of ribosome" 1
0 0.191165388793066 5 24 "GO:0003743" "translation initiation factor activity" 1
0 0.930029692763219 5 49 "GO:0003746" "translation elongation factor activity" 1
0 0.715675750655431 3 26 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 1
0 0.861947689264121 2 22 "GO:0003774" "motor activity" 1
0 0.517332171786955 3 6 "GO:0003777" "microtubule motor activity" 1
0 0.938539539659155 4 60 "GO:0003779" "actin binding" 1
0 0.54482610073497 5 6 "GO:0003841;GO:0042171;GO:0071617" "lysophospholipid acyltransferase activity" 1
0 0.00263619021554703 4 16 "GO:0003887" "DNA-directed DNA polymerase activity" 0.158
0 0.314499286378357 5 24 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 1
0 0.489965551209045 4 194 "GO:0003924;GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0019001;GO:0001882" "guanyl nucleotide binding" 1
0 0.0906351652985978 2 9 "GO:0003989;GO:0004075" "acetyl-CoA carboxylase activity" 0.953125
0 0.0213650117216432 3 9 "GO:0003997;GO:0016634;GO:0005504" "oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor" 0.443859649122807
0 0.14531977645458 3 115 "GO:0004175" "endopeptidase activity" 1
0 0.814217161448288 3 15 "GO:0004177" "aminopeptidase activity" 1
0 0.0012928054291094 2 50 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.111111111111111
0 0.201165697402476 2 19 "GO:0004222" "metalloendopeptidase activity" 1
0 0.293025577335998 2 18 "GO:0004252" "serine-type endopeptidase activity" 1
0 0.208129566094493 2 21 "GO:0004298;GO:0070003" "threonine-type peptidase activity" 1
0 0.283957327853907 2 8 "GO:0004316;GO:0004312;GO:0102131;GO:0102132" "fatty acid synthase activity" 1
0 0.305570851533325 8 40 "GO:0004386" "helicase activity" 1
0 0.10992486416534 2 17 "GO:0004467;GO:0015645;GO:0102391;GO:0031956" "fatty acid ligase activity" 0.994392523364486
0 0.330024642558898 3 9 "GO:0004497" "monooxygenase activity" 1
0 3.56061183559741e-06 2 52 "GO:0004519;GO:0004518" "nuclease activity" 0
0 0.00223077203052019 4 6 "GO:0004520" "endodeoxyribonuclease activity" 0.152272727272727
0 0.00560927424814667 6 10 "GO:0004523" "RNA-DNA hybrid ribonuclease activity" 0.234848484848485
0 0.0147867314541269 2 14 "GO:0004527" "exonuclease activity" 0.387234042553191
0 0.00253421902004283 2 9 "GO:0004536" "deoxyribonuclease activity" 0.16304347826087
0 0.0078024882554195 2 19 "GO:0004540" "ribonuclease activity" 0.3
0 0.0507868795538148 3 22 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.770945945945946
0 0.0187870233036397 3 18 "GO:0004601;GO:0016684" "peroxidase activity" 0.4375
0 0.00931099856587088 5 7 "GO:0004620" "phospholipase activity" 0.341666666666667
0 0.0238814747345383 2 178 "GO:0004672;GO:0004674" "protein kinase activity" 0.461016949152542
0 0.66114019055972 2 22 "GO:0004683" "calmodulin-dependent protein kinase activity" 1
0 0.11223303712198 3 9 "GO:0004693;GO:0097472" "cyclin-dependent protein kinase activity" 0.972072072072072
0 0.238964478216295 2 9 "GO:0004707" "MAP kinase activity" 1
0 0.290936249192099 3 13 "GO:0004712" "protein serine/threonine/tyrosine kinase activity" 1
0 0.510083122563516 4 6 "GO:0004713" "protein tyrosine kinase activity" 1
0 0.0729336011165457 4 35 "GO:0004721" "phosphoprotein phosphatase activity" 0.864444444444444
0 0.094096429909279 5 24 "GO:0004722" "protein serine/threonine phosphatase activity" 0.953535353535354
0 0.258550910893546 2 12 "GO:0004724" "magnesium-dependent protein serine/threonine phosphatase activity" 1
0 0.465280891812597 5 5 "GO:0004742;GO:0016418;GO:0030523" "dihydrolipoamide S-acyltransferase activity" 1
0 0.348540062074931 2 33 "GO:0004812;GO:0016875" "aminoacyl-tRNA ligase activity" 1
0 0.352620962922408 2 7 "GO:0004815" "aspartate-tRNA ligase activity" 1
0 0.0130924162154405 3 50 "GO:0004842;GO:0019787" "ubiquitin-like protein transferase activity" 0.364130434782609
0 0.0558505711518253 2 13 "GO:0004843;GO:0101005" "thiol-dependent ubiquitin-specific protease activity" 0.77375
0 0.331697797845025 2 9 "GO:0004857" "enzyme inhibitor activity" 1
0 0.0193488296113817 2 11 "GO:0004888" "transmembrane signaling receptor activity" 0.427272727272727
0 0.127523601417448 2 11 "GO:0005048" "signal sequence binding" 1
0 0.0127343761108978 2 17 "GO:0005096" "GTPase activator activity" 0.372727272727273
0 0.835119056619274 3 26 "GO:0005102" "signaling receptor binding" 1
0 0.966960389895201 2 40 "GO:0005200" "structural constituent of cytoskeleton" 1
0 0.019312496923426 2 6 "GO:0005244;GO:0022832" "voltage-gated ion channel activity" 0.434259259259259
0 0.0173551737812301 5 48 "GO:0005261;GO:0005216;GO:0015267;GO:0022803" "channel activity" 0.424
0 0.822223435020183 2 25 "GO:0005319" "lipid transporter activity" 1
0 0.361982620543571 3 13 "GO:0005347;GO:0000295;GO:0005346;GO:0015216;GO:0015215" "nucleotide transmembrane transporter activity" 1
0 0.616173434521829 2 9 "GO:0005451;GO:0015299;GO:0015491" "solute:proton antiporter activity" 1
0 0.452301130280478 2 7 "GO:0005452" "inorganic anion exchanger activity" 1
0 0.318997724360659 2 12 "GO:0005484" "SNAP receptor activity" 1
0 0.719326581403167 2 29 "GO:0005506" "iron ion binding" 1
0 0.111603046883412 6 17 "GO:0005507" "copper ion binding" 0.98256880733945
0 0.821896030649097 2 50 "GO:0005509" "calcium ion binding" 1
0 0.346072313727739 3 50 "GO:0005516" "calmodulin binding" 1
0 0.741886735065145 3 22 "GO:0005543" "phospholipid binding" 1
0 0.0116954977991588 4 18 "GO:0008017;GO:0015631" "tubulin binding" 0.354651162790698
0 0.0681316920147313 3 7 "GO:0008022" "protein C-terminus binding" 0.845402298850575
0 0.53365385734679 4 7 "GO:0008028" "monocarboxylic acid transmembrane transporter activity" 1
0 0.111932066207639 3 28 "GO:0008047" "enzyme activator activity" 0.976363636363636
0 0.302560361999734 2 10 "GO:0008080;GO:0016410" "N-acyltransferase activity" 1
0 0.696437100640743 2 94 "GO:0008092" "cytoskeletal protein binding" 1
0 0.605313955678756 2 15 "GO:0008094" "DNA-dependent ATPase activity" 1
0 0.0556145149709166 3 23 "GO:0008134" "transcription factor binding" 0.781645569620253
0 0.0052294467487425 4 61 "GO:0008168;GO:0016741" "transferase activity, transferring one-carbon groups" 0.240322580645161
0 0.0897869486966177 5 6 "GO:0008169" "C-methyltransferase activity" 0.953157894736842
0 0.000579347730416421 2 23 "GO:0008170;GO:0008276" "N-methyltransferase activity" 0.0766666666666667
0 0.207189166859118 2 6 "GO:0008171" "O-methyltransferase activity" 1
0 0.343922058575251 2 13 "GO:0008173" "RNA methyltransferase activity" 1
0 0.201348557002121 2 163 "GO:0008233" "peptidase activity" 1
0 0.529999909470655 4 6 "GO:0008235" "metalloexopeptidase activity" 1
0 0.308444920511215 3 25 "GO:0008236;GO:0017171" "serine-type peptidase activity" 1
0 0.597420266270702 2 35 "GO:0008237" "metallopeptidase activity" 1
0 0.910312103821928 2 30 "GO:0008238" "exopeptidase activity" 1
0 0.0324038326935397 3 18 "GO:0008242" "omega peptidase activity" 0.573076923076923
0 0.000314852349917801 6 110 "GO:0008270" "zinc ion binding" 0.0636363636363636
0 0.508361076060626 2 43 "GO:0008289" "lipid binding" 1
0 0.00522471190208561 2 6 "GO:0008320;GO:0022884;GO:0140318" "protein transmembrane transporter activity" 0.248333333333333
0 0.0288232040767704 2 6 "GO:0008353" "RNA polymerase II CTD heptapeptide repeat kinase activity" 0.535245901639344
0 0.00721844291449292 2 6 "GO:0008375" "acetylglucosaminyltransferase activity" 0.285294117647059
0 0.324485505985535 3 9 "GO:0008408" "3'-5' exonuclease activity" 1
0 0.218235590952298 6 8 "GO:0008422;GO:0015926" "glucosidase activity" 1
0 0.223263251929146 2 21 "GO:0008483;GO:0016769" "transaminase activity" 1
0 0.0210781540208806 4 77 "GO:0008509" "anion transmembrane transporter activity" 0.442857142857143
0 0.660405158246449 2 29 "GO:0008514" "organic anion transmembrane transporter activity" 1
0 0.196954240627596 2 8 "GO:0008641" "ubiquitin-like modifier activating enzyme activity" 1
0 0.439579872261791 2 8 "GO:0008649;GO:0140102" "rRNA methyltransferase activity" 1
0 0.000517355664594201 2 36 "GO:0008757" "S-adenosylmethionine-dependent methyltransferase activity" 0.0833333333333333
0 0.280524301202004 2 8 "GO:0008974" "phosphoribulokinase activity" 1
0 0.213757298146498 3 43 "GO:0009055" "electron transfer activity" 1
0 0.519447361627578 2 20 "GO:0009678" "pyrophosphate hydrolysis-driven proton transmembrane transporter activity" 1
0 0.396534493241814 3 12 "GO:0009931;GO:0010857" "calcium-dependent protein kinase activity" 1
0 0.0521762106907899 4 11 "GO:0009982" "pseudouridine synthase activity" 0.782666666666667
0 0.762398704946486 4 17 "GO:0015036" "disulfide oxidoreductase activity" 1
0 0.0554789442199231 2 177 "GO:0015075;GO:0015318" "ion transmembrane transporter activity" 0.789102564102564
0 0.42820900076243 6 67 "GO:0015078" "proton transmembrane transporter activity" 1
0 0.269219029974848 6 16 "GO:0015079" "potassium ion transmembrane transporter activity" 1
0 0.188024681985384 2 21 "GO:0015085;GO:0072509" "divalent inorganic cation transmembrane transporter activity" 1
0 0.0481923850344484 2 18 "GO:0015103" "inorganic anion transmembrane transporter activity" 0.762676056338028
0 0.0565009902364238 2 5 "GO:0015114" "phosphate ion transmembrane transporter activity" 0.765853658536585
0 0.00381806919736296 3 11 "GO:0015171" "amino acid transmembrane transporter activity" 0.207142857142857
0 0.00935618851714137 4 61 "GO:0015291" "secondary active transmembrane transporter activity" 0.333783783783784
0 0.00258064510692461 2 18 "GO:0015293" "symporter activity" 0.15625
0 0.0614125955467356 2 39 "GO:0015297" "antiporter activity" 0.808928571428571
0 0.674967155396143 3 11 "GO:0015298" "solute:cation antiporter activity" 1
0 0.619571375302616 3 14 "GO:0015301;GO:0140323" "anion:anion antiporter activity" 1
0 0.434194962873549 3 5 "GO:0015386" "potassium:proton antiporter activity" 1
0 0.385463764586993 2 16 "GO:0015605" "organophosphate ester transmembrane transporter activity" 1
0 0.104406430234788 1 33 "GO:0016209" "antioxidant activity" 0.965238095238095
0 0.000552282149549294 2 15 "GO:0016279;GO:0016278" "protein-lysine N-methyltransferase activity" 0.0714285714285714
0 0.0101148106223218 2 12 "GO:0016298" "lipase activity" 0.335897435897436
0 0.0453564959662524 2 227 "GO:0016301;GO:0016773" "kinase activity" 0.730714285714286
0 0.532296117090304 2 17 "GO:0016407" "acetyltransferase activity" 1
0 0.386297818504928 3 11 "GO:0016408" "C-acyltransferase activity" 1
0 0.140877883167639 2 8 "GO:0016411;GO:0008374" "O-acyltransferase activity" 1
0 0.694027256692252 3 10 "GO:0016417" "S-acyltransferase activity" 1
0 0.102767224489637 4 12 "GO:0016421;GO:0016885" "CoA carboxylase activity" 0.966346153846154
0 0.866046280234847 2 67 "GO:0016616;GO:0016614" "oxidoreductase activity, acting on CH-OH group of donors" 1
0 0.551684874843262 3 46 "GO:0016627" "oxidoreductase activity, acting on the CH-CH group of donors" 1
0 0.116300297010447 2 28 "GO:0016628" "oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor" 0.990178571428571
0 0.0928382057612171 3 37 "GO:0016651" "oxidoreductase activity, acting on NAD(P)H" 0.955612244897959
0 0.00963248081783434 4 19 "GO:0016655" "oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor" 0.332894736842105
0 0.832241367330935 3 37 "GO:0016667" "oxidoreductase activity, acting on a sulfur group of donors" 1
0 0.661893042598772 2 11 "GO:0016668" "oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor" 1
0 0.152016783622324 3 32 "GO:0016705" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen" 1
0 0.0691981163267173 2 13 "GO:0016706" "2-oxoglutarate-dependent dioxygenase activity" 0.846022727272727
0 0.175672284215487 2 65 "GO:0016747;GO:0016746" "transferase activity, transferring acyl groups" 1
0 6.81049731788681e-07 2 62 "GO:0016757" "transferase activity, transferring glycosyl groups" 0
0 0.00154486118422719 2 44 "GO:0016758;GO:0008194" "transferase activity, transferring hexosyl groups" 0.131578947368421
0 0.000983475384239042 3 12 "GO:0016763" "transferase activity, transferring pentosyl groups" 0.0941176470588235
0 0.149108042195535 2 21 "GO:0016765" "transferase activity, transferring alkyl or aryl (other than methyl) groups" 1
0 0.00214882422213106 2 5 "GO:0016778" "diphosphotransferase activity" 0.154761904761905
0 0.000844454184351036 2 73 "GO:0016779" "nucleotidyltransferase activity" 0.090625
0 1.05692031672092e-05 2 139 "GO:0016788" "hydrolase activity, acting on ester bonds" 0
0 0.501016736520194 4 6 "GO:0016790" "thiolester hydrolase activity" 1
0 0.054263647628267 6 10 "GO:0016796" "exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters" 0.786363636363636
