name	term	lev	seq	value
"nuclear speck"	GO:0016607	2	TRINITY_DN111763_c0_g1	0
"nuclear speck"	GO:0016607	2	TRINITY_DN175482_c0_g1	0
"nuclear speck"	GO:0016607	2	TRINITY_DN234238_c0_g1	0
"nuclear speck"	GO:0016607	2	TRINITY_DN254038_c0_g1	0
"nuclear speck"	GO:0016607	2	TRINITY_DN254216_c0_g1	0
"nuclear speck"	GO:0016607	2	TRINITY_DN256593_c0_g1	0
"nuclear speck"	GO:0016607	2	TRINITY_DN259684_c0_g1	0
"nuclear speck"	GO:0016607	2	TRINITY_DN274841_c0_g1	0
"nuclear speck"	GO:0016607	2	TRINITY_DN274843_c0_g1	0
"nuclear speck"	GO:0016607	2	TRINITY_DN276016_c0_g1	0.990399173948695
"nuclear speck"	GO:0016607	2	TRINITY_DN277059_c0_g1	0
"nuclear speck"	GO:0016607	2	TRINITY_DN278929_c0_g1	0
"nuclear speck"	GO:0016607	2	TRINITY_DN292331_c0_g1	0.985029709596813
"nuclear speck"	GO:0016607	2	TRINITY_DN292666_c0_g1	0
"nuclear speck"	GO:0016607	2	TRINITY_DN294612_c7_g2	0
"nuclear speck"	GO:0016607	2	TRINITY_DN296757_c2_g1	0.794132325527073
"nuclear speck"	GO:0016607	2	TRINITY_DN298605_c0_g1	0
"nuclear speck"	GO:0016607	2	TRINITY_DN310749_c0_g1	0
"nuclear speck"	GO:0016607	2	TRINITY_DN310749_c0_g2	0
"nuclear speck"	GO:0016607	2	TRINITY_DN310749_c0_g3	0
"nuclear speck"	GO:0016607	2	TRINITY_DN311462_c0_g1	0
"nuclear speck"	GO:0016607	2	TRINITY_DN312738_c3_g1	0
"nuclear speck"	GO:0016607	2	TRINITY_DN340684_c0_g1	0
"nuclear speck"	GO:0016607	2	TRINITY_DN344594_c0_g1	0
"nuclear speck"	GO:0016607	2	TRINITY_DN385650_c0_g1	0
"nuclear speck"	GO:0016607	2	TRINITY_DN46127_c0_g1	0
"nuclear speck"	GO:0016607	2	TRINITY_DN584390_c0_g1	0
"nuclear speck"	GO:0016607	2	TRINITY_DN6277_c0_g1	0
"mitochondrial respiratory chain complex I"	GO:0005747;GO:0045271;GO:0030964	4	TRINITY_DN1500_c0_g1	0
"mitochondrial respiratory chain complex I"	GO:0005747;GO:0045271;GO:0030964	4	TRINITY_DN173977_c0_g1	0
"mitochondrial respiratory chain complex I"	GO:0005747;GO:0045271;GO:0030964	4	TRINITY_DN238275_c0_g1	0
"mitochondrial respiratory chain complex I"	GO:0005747;GO:0045271;GO:0030964	4	TRINITY_DN251931_c0_g1	0
"mitochondrial respiratory chain complex I"	GO:0005747;GO:0045271;GO:0030964	4	TRINITY_DN274736_c0_g1	0
"mitochondrial respiratory chain complex I"	GO:0005747;GO:0045271;GO:0030964	4	TRINITY_DN277072_c0_g1	0
"mitochondrial respiratory chain complex I"	GO:0005747;GO:0045271;GO:0030964	4	TRINITY_DN277072_c0_g2	0
"mitochondrial respiratory chain complex I"	GO:0005747;GO:0045271;GO:0030964	4	TRINITY_DN292667_c0_g1	0
"mitochondrial respiratory chain complex I"	GO:0005747;GO:0045271;GO:0030964	4	TRINITY_DN292667_c0_g2	0
"mitochondrial respiratory chain complex I"	GO:0005747;GO:0045271;GO:0030964	4	TRINITY_DN292667_c0_g3	0
"mitochondrial respiratory chain complex I"	GO:0005747;GO:0045271;GO:0030964	4	TRINITY_DN298832_c0_g1	0
"mitochondrial respiratory chain complex I"	GO:0005747;GO:0045271;GO:0030964	4	TRINITY_DN310726_c3_g1	0
