name	term	lev	seq	value
"myelin sheath"	GO:0043209	2	TRINITY_DN231544_c0_g1	0
"myelin sheath"	GO:0043209	2	TRINITY_DN276555_c0_g1	0
"myelin sheath"	GO:0043209	2	TRINITY_DN276555_c0_g2	0
"myelin sheath"	GO:0043209	2	TRINITY_DN292978_c1_g9	0
"myelin sheath"	GO:0043209	2	TRINITY_DN298441_c0_g1	0
"myelin sheath"	GO:0043209	2	TRINITY_DN312042_c0_g2	0
"extrinsic component of membrane"	GO:0019898	2	TRINITY_DN251092_c0_g1	0
"extrinsic component of membrane"	GO:0019898	2	TRINITY_DN254068_c0_g1	0
"extrinsic component of membrane"	GO:0019898	2	TRINITY_DN256554_c0_g1	0
"extrinsic component of membrane"	GO:0019898	2	TRINITY_DN256932_c0_g1	0
"extrinsic component of membrane"	GO:0019898	2	TRINITY_DN29331_c0_g1	0
"extrinsic component of membrane"	GO:0019898	2	TRINITY_DN293332_c0_g2	0
"extrinsic component of membrane"	GO:0019898	2	TRINITY_DN293346_c6_g2	0
"extrinsic component of membrane"	GO:0019898	2	TRINITY_DN294168_c8_g1	0.893903954242442
"extrinsic component of membrane"	GO:0019898	2	TRINITY_DN294787_c0_g3	0.43659825637704
"extrinsic component of membrane"	GO:0019898	2	TRINITY_DN298143_c0_g1	0
"extrinsic component of membrane"	GO:0019898	2	TRINITY_DN299759_c0_g1	0
"extrinsic component of membrane"	GO:0019898	2	TRINITY_DN311759_c0_g1	0
"extrinsic component of membrane"	GO:0019898	2	TRINITY_DN314620_c0_g1	0
"extrinsic component of membrane"	GO:0019898	2	TRINITY_DN314636_c0_g1	0
"proton-transporting two-sector ATPase complex, proton-transporting domain"	GO:0033177;GO:0033179	3	TRINITY_DN211148_c0_g1	0
"proton-transporting two-sector ATPase complex, proton-transporting domain"	GO:0033177;GO:0033179	3	TRINITY_DN254005_c0_g2	0
"proton-transporting two-sector ATPase complex, proton-transporting domain"	GO:0033177;GO:0033179	3	TRINITY_DN294770_c0_g1	0
"proton-transporting two-sector ATPase complex, proton-transporting domain"	GO:0033177;GO:0033179	3	TRINITY_DN444543_c0_g1	0
"proton-transporting two-sector ATPase complex, proton-transporting domain"	GO:0033177;GO:0033179	3	TRINITY_DN463905_c0_g1	0
"proton-transporting two-sector ATPase complex, proton-transporting domain"	GO:0033177;GO:0033179	3	TRINITY_DN6734_c0_g1	0
"neuron projection"	GO:0043005	2	TRINITY_DN104215_c0_g1	0
"neuron projection"	GO:0043005	2	TRINITY_DN104662_c0_g1	0
"neuron projection"	GO:0043005	2	TRINITY_DN226665_c1_g1	0
"neuron projection"	GO:0043005	2	TRINITY_DN226924_c0_g2	0
"neuron projection"	GO:0043005	2	TRINITY_DN227339_c0_g1	0
"neuron projection"	GO:0043005	2	TRINITY_DN234173_c0_g1	0
"neuron projection"	GO:0043005	2	TRINITY_DN251925_c2_g1	0
"neuron projection"	GO:0043005	2	TRINITY_DN256932_c0_g1	0
"neuron projection"	GO:0043005	2	TRINITY_DN256934_c1_g2	0
"neuron projection"	GO:0043005	2	TRINITY_DN256968_c0_g3	0
"neuron projection"	GO:0043005	2	TRINITY_DN259525_c0_g1	0
"neuron projection"	GO:0043005	2	TRINITY_DN259665_c0_g1	0
"neuron projection"	GO:0043005	2	TRINITY_DN274841_c0_g1	0.864417465449577
"neuron projection"	GO:0043005	2	TRINITY_DN292666_c0_g1	0
"neuron projection"	GO:0043005	2	TRINITY_DN293347_c0_g1	0
