"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.463338864288548 4 5 "GO:0000018" "regulation of DNA recombination" 0.983536585365854
0 0.0248698416261991 2 19 "GO:0000027" "ribosomal large subunit assembly" 0.6
0 0.641451058085843 4 15 "GO:0000028" "ribosomal small subunit assembly" 1
0 0.0608552045284226 6 8 "GO:0000038" "very long-chain fatty acid metabolic process" 0.753891050583658
0 0.632570131986643 4 17 "GO:0000041" "transition metal ion transport" 1
0 0.0912289816798589 2 11 "GO:0000075;GO:0007093" "cell cycle checkpoint" 0.802225519287834
0 0.059062152567663 2 8 "GO:0000077;GO:0031570;GO:0044773;GO:0044774" "DNA integrity checkpoint" 0.753413654618474
0 0.110190431483649 6 6 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.835239361702128
0 0.115887149699782 2 15 "GO:0000096;GO:0000097" "sulfur amino acid metabolic process" 0.826147959183674
0 0.0741447125211731 4 6 "GO:0000103" "sulfate assimilation" 0.773898305084746
0 0.210305037131909 2 15 "GO:0000154" "rRNA modification" 0.914161849710983
0 0.376984998954221 2 11 "GO:0000160" "phosphorelay signal transduction system" 0.986858006042296
0 0.45037367368819 4 12 "GO:0000165" "MAPK cascade" 0.981662087912088
0 0.574768388374011 2 7 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.23250348803799 2 15 "GO:0000209" "protein polyubiquitination" 0.928136531365314
0 0.41687002013599 2 38 "GO:0000226" "microtubule cytoskeleton organization" 0.987159253945481
0 0.719799015051345 2 13 "GO:0000272" "polysaccharide catabolic process" 1
0 0.383328934058862 2 26 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.982611940298508
0 0.299934909904194 3 24 "GO:0000302" "response to reactive oxygen species" 0.964808652246256
0 0.0215388757378183 4 14 "GO:0000387" "spliceosomal snRNP assembly" 0.580327868852459
0 0.112580444936599 2 5 "GO:0000388" "spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)" 0.831070496083551
0 0.0793706280774292 2 54 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 0.790655737704918
0 0.0819741037410292 7 6 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.789171974522293
0 0.445803247227533 9 28 "GO:0000470;GO:0000463" "maturation of LSU-rRNA" 0.98626907073509
0 0.339183451724787 4 6 "GO:0000495;GO:0034964;GO:0033979;GO:1990481" "mRNA pseudouridine synthesis" 0.977014218009479
0 0.373503869930513 4 7 "GO:0000723;GO:0032200" "telomere maintenance" 0.988297872340425
0 0.00712484967770824 3 10 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.596739130434783
0 0.117383362858579 3 33 "GO:0000902" "cell morphogenesis" 0.831552162849873
0 0.387634177818701 6 19 "GO:0000956;GO:0006402" "mRNA catabolic process" 0.984598214285714
0 0.0189619206583637 2 7 "GO:0000959" "mitochondrial RNA metabolic process" 0.574774774774775
0 0.74276831673953 2 25 "GO:0001101;GO:0009414;GO:0009415" "response to acid chemical" 1
0 0.200666602966603 2 13 "GO:0001522" "pseudouridine synthesis" 0.90738188976378
0 0.0577538336162543 3 7 "GO:0001525" "angiogenesis" 0.756995884773663
0 0.264070201559212 2 21 "GO:0001558" "regulation of cell growth" 0.937608318890815
0 0.140212059965874 3 7 "GO:0001649" "osteoblast differentiation" 0.854988399071926
0 0.136124284161978 2 14 "GO:0001666" "response to hypoxia" 0.849176470588235
0 0.0796512027432091 3 13 "GO:0001676" "long-chain fatty acid metabolic process" 0.790522875816993
0 0.351242362514074 4 10 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.979828660436137
0 0.365606939920895 4 6 "GO:0001764" "neuron migration" 0.987846153846154
0 0.0540780847168336 2 5 "GO:0001894" "tissue homeostasis" 0.738085106382979
0 0.00085205857774367 3 72 "GO:0001932;GO:0042325;GO:0019220;GO:0051174" "regulation of phosphorus metabolic process" 0.975
0 0.0110057062622358 3 20 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 0.588805970149254
0 0.0702625662311059 3 9 "GO:0002009;GO:0048729;GO:0035239" "tissue morphogenesis" 0.769787985865724
0 0.103729270348215 4 7 "GO:0002064" "epithelial cell development" 0.828236914600551
0 0.292048990118611 2 62 "GO:0002181" "cytoplasmic translation" 0.956939799331104
0 0.0960880333574638 2 5 "GO:0002182" "cytoplasmic translational elongation" 0.809913793103448
0 0.00169429256613674 2 9 "GO:0002218;GO:0002253" "activation of immune response" 0.528571428571429
0 0.00415747594500479 5 5 "GO:0002223;GO:0002220;GO:0002758" "stimulatory C-type lectin receptor signaling pathway" 0.534375
0 0.332826840231344 2 20 "GO:0002252" "immune effector process" 0.975358851674641
0 0.0325100605343186 1 45 "GO:0002376" "immune system process" 0.625297619047619
0 0.0268712173866098 3 32 "GO:0002682" "regulation of immune system process" 0.601736111111111
0 0.0105306087911613 4 24 "GO:0002684;GO:0050778;GO:0050776" "regulation of immune response" 0.5875
0 0.0833309892270588 4 6 "GO:0002694;GO:0050865" "regulation of leukocyte activation" 0.792271293375394
0 0.000629361674438664 3 9 "GO:0002768;GO:0002764;GO:0002429;GO:0002757" "immune response-regulating signaling pathway" 0.983333333333333
0 0.151634467384285 2 24 "GO:0002831" "regulation of response to biotic stimulus" 0.865848214285714
0 0.0738834902604772 2 15 "GO:0002833" "positive regulation of response to biotic stimulus" 0.774319727891156
0 0.277689886326358 2 9 "GO:0003002" "regionalization" 0.946003401360544
0 0.0135470072563333 2 128 "GO:0003006" "developmental process involved in reproduction" 0.593827160493827
0 0.372062684289969 2 39 "GO:0003008" "system process" 0.990381679389313
0 0.0031970431850804 3 7 "GO:0003014" "renal system process" 0.55
0 0.142850469709498 3 10 "GO:0003333;GO:0006865;GO:1905039;GO:1903825" "carboxylic acid transmembrane transport" 0.858986175115207
