"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0726195689310773 5 19 "GO:0000027" "ribosomal large subunit assembly" 1
0 0.0527536374601101 5 15 "GO:0000028" "ribosomal small subunit assembly" 1
0 0.482160607132435 3 17 "GO:0000041" "transition metal ion transport" 1
0 0.102318286372958 2 11 "GO:0000075;GO:0007093" "cell cycle checkpoint" 1
0 0.0788505363368559 3 8 "GO:0000077;GO:0031570;GO:0044773;GO:0044774" "DNA integrity checkpoint" 1
0 0.013417801491128 2 6 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 1
0 0.0773572587270283 2 15 "GO:0000154" "rRNA modification" 1
0 0.113873942151174 2 12 "GO:0000165" "MAPK cascade" 1
0 0.0904611038791565 2 9 "GO:0000187;GO:0043406" "positive regulation of MAP kinase activity" 1
0 0.286472725373579 2 38 "GO:0000226" "microtubule cytoskeleton organization" 1
0 0.0162615526685289 2 7 "GO:0000245" "spliceosomal complex assembly" 1
0 0.18273147545591 2 17 "GO:0000278" "mitotic cell cycle" 1
0 0.39137889494062 4 26 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 1
0 0.576186638983343 2 24 "GO:0000302" "response to reactive oxygen species" 1
0 0.115549716369034 2 54 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 1
0 0.000999852249010683 8 28 "GO:0000470;GO:0000463" "maturation of LSU-rRNA" 0.5625
0 0.222655741399474 6 7 "GO:0000723;GO:0032200" "telomere organization" 1
0 0.0411944200255129 2 19 "GO:0000956;GO:0006402" "mRNA catabolic process" 1
0 0.566435311525794 3 25 "GO:0001101;GO:0009414;GO:0009415" "response to acid chemical" 1
0 0.054737253974478 2 7 "GO:0001649" "osteoblast differentiation" 1
0 0.0398426049799483 2 10 "GO:0001819;GO:0001817" "regulation of cytokine production" 1
0 0.0388976719974225 2 5 "GO:0001894" "tissue homeostasis" 1
0 0.11139101001374 3 72 "GO:0001932;GO:0042325;GO:0019220;GO:0051174" "regulation of phosphate metabolic process" 1
0 0.145338907591377 6 20 "GO:0001933;GO:0042326" "negative regulation of phosphorylation" 1
0 0.148224640722028 4 9 "GO:0002009;GO:0048729;GO:0035239" "morphogenesis of an epithelium" 1
0 0.00201394959354401 6 62 "GO:0002181" "cytoplasmic translation" 0.99
0 0.163782582141879 2 20 "GO:0002252" "immune effector process" 1
0 0.0731584914255454 3 7 "GO:0002275;GO:0002274;GO:0002366;GO:0036230;GO:0002263" "myeloid leukocyte activation" 1
0 0.310420255296115 1 45 "GO:0002376" "immune system process" 1
0 0.251470836558269 3 32 "GO:0002682" "regulation of immune system process" 1
0 0.170455755404489 2 24 "GO:0002684;GO:0050778;GO:0050776" "regulation of immune response" 1
0 0.0543652502273911 4 5 "GO:0002685" "regulation of leukocyte migration" 1
0 0.0639559013403134 2 6 "GO:0002694;GO:0050865" "regulation of leukocyte activation" 1
0 0.557468354309843 2 24 "GO:0002831" "regulation of response to biotic stimulus" 1
0 0.0266050754274976 3 9 "GO:0003002" "regionalization" 1
0 0.500580532712981 2 128 "GO:0003006" "developmental process involved in reproduction" 1
0 0.166602407516449 2 39 "GO:0003008" "system process" 1
0 0.499963494244874 2 107 "GO:0005975" "carbohydrate metabolic process" 1
0 0.0617278465166539 2 31 "GO:0006090" "pyruvate metabolic process" 1
0 0.11789568424607 3 77 "GO:0006091" "generation of precursor metabolites and energy" 1
0 0.0596896017595893 6 29 "GO:0006096;GO:0006757;GO:0006165;GO:0046031;GO:0009132;GO:0046939;GO:0009179;GO:0009135;GO:0009185" "nucleoside diphosphate metabolic process" 1
0 0.021301793192219 3 16 "GO:0006099" "tricarboxylic acid cycle" 1
0 0.0915274727353454 6 5 "GO:0006106" "fumarate metabolic process" 1
0 0.027784120113769 2 5 "GO:0006122" "mitochondrial electron transport, ubiquinol to cytochrome c" 1
0 0.659345651620253 4 119 "GO:0006259" "DNA metabolic process" 1
0 0.402457704860444 2 20 "GO:0006260" "DNA replication" 1
0 0.0796013126572813 2 11 "GO:0006275" "regulation of DNA replication" 1
0 0.165459058270315 2 5 "GO:0006278" "RNA-dependent DNA biosynthetic process" 1
0 0.416323529899882 4 82 "GO:0006281;GO:0006974" "cellular response to DNA damage stimulus" 1
0 0.822977063699644 2 50 "GO:0006310" "DNA recombination" 1
0 0.705026614734081 2 65 "GO:0006325" "chromatin organization" 1
0 0.357163358179059 3 129 "GO:0006355;GO:1903506;GO:2001141" "regulation of RNA biosynthetic process" 1
0 0.323104169574753 2 55 "GO:0006357" "regulation of transcription by RNA polymerase II" 1
0 0.161544884497038 7 10 "GO:0006378;GO:0031124;GO:0043631" "mRNA 3'-end processing" 1
0 0.0256863004288293 2 213 "GO:0006396" "RNA processing" 1
0 0.0554591122140184 2 122 "GO:0006397;GO:0016071" "mRNA metabolic process" 1
0 0.00723003837066201 2 57 "GO:0006399" "tRNA metabolic process" 1
0 0.0498376484786509 2 15 "GO:0006400" "tRNA modification" 1
0 0.00451750274504482 3 27 "GO:0006401;GO:0034655" "nucleobase-containing compound catabolic process" 1
0 0.0143912393558544 2 6 "GO:0006406" "mRNA export from nucleus" 1
0 5.97186001581496e-06 3 259 "GO:0006412;GO:0043043" "peptide biosynthetic process" 0
0 0.531413346125864 3 21 "GO:0006414" "translational elongation" 1
0 0.135520674665136 2 52 "GO:0006417;GO:0010608;GO:0034248" "posttranscriptional regulation of gene expression" 1
0 0.00323641657757788 4 33 "GO:0006418;GO:0043039;GO:0043038" "tRNA aminoacylation for protein translation" 1
0 0.017182652686252 2 100 "GO:0006457" "protein folding" 1
0 0.125026980416607 4 16 "GO:0006469;GO:0033673;GO:0051348" "negative regulation of transferase activity" 1
0 0.116312023858479 5 9 "GO:0006497" "protein lipidation" 1
0 0.464065161955026 2 212 "GO:0006508" "proteolysis" 1
0 0.125263452267077 6 112 "GO:0006511" "ubiquitin-dependent protein catabolic process" 1
0 0.00364043239748255 5 134 "GO:0006520" "cellular amino acid metabolic process" 1
0 0.0175744986342456 2 11 "GO:0006544" "glycine metabolic process" 1
0 0.916221558774827 5 74 "GO:0006631" "fatty acid metabolic process" 1
0 0.727622006562173 2 34 "GO:0006633" "fatty acid biosynthetic process" 1
0 0.296264872675436 3 38 "GO:0006643" "membrane lipid metabolic process" 1
0 0.0525135397276827 2 47 "GO:0006650;GO:0006644;GO:0046486" "phospholipid metabolic process" 1
0 0.105418319342113 4 8 "GO:0006661" "phosphatidylinositol biosynthetic process" 1
0 0.196481469453681 4 18 "GO:0006664;GO:1903509;GO:0009247" "glycolipid metabolic process" 1
0 0.0261223915845098 3 95 "GO:0006812" "cation transport" 1
0 0.0523440063532229 2 7 "GO:0006813" "potassium ion transport" 1
0 0.0523440063532229 5 7 "GO:0006814" "sodium ion transport" 1
0 0.346355170106264 2 11 "GO:0006817;GO:0035435;GO:0098661" "phosphate ion transport" 1
0 0.239998735652119 2 7 "GO:0006829" "zinc ion transport" 1
0 0.194625720142088 2 30 "GO:0006839" "mitochondrial transport" 1
0 0.519673526631953 2 19 "GO:0006874;GO:0055074;GO:0072503;GO:0072507" "cellular divalent inorganic cation homeostasis" 1
0 0.26998040865745 4 32 "GO:0006875;GO:0055065" "metal ion homeostasis" 1
0 0.165880292316341 5 154 "GO:0006886" "intracellular protein transport" 1
0 0.261556639324778 4 22 "GO:0006892" "post-Golgi vesicle-mediated transport" 1
0 0.0781951788030563 3 49 "GO:0006897" "endocytosis" 1
0 0.029412276905813 2 11 "GO:0006898" "receptor-mediated endocytosis" 1
