"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0444703390054428 2 17 "GO:0000049" "tRNA binding" 0.728169014084507
0 0.0920452364743531 3 12 "GO:0000149" "SNARE binding" 0.797435897435897
0 0.0703868117249611 4 34 "GO:0000287" "magnesium ion binding" 0.797340425531915
0 0.0338120820261545 3 10 "GO:0000978;GO:0000977;GO:0000987;GO:0000976;GO:0001067" "transcription regulatory region sequence-specific DNA binding" 0.705454545454545
0 0.0220598133773075 4 190 "GO:0003677" "DNA binding" 0.745714285714286
0 0.0714027894716963 2 8 "GO:0003678" "DNA helicase activity" 0.801578947368421
0 0.101728226012359 2 19 "GO:0003682" "chromatin binding" 0.837190082644628
0 0.103664816525411 2 8 "GO:0003684" "damaged DNA binding" 0.838934426229508
0 0.00422617399096141 4 8 "GO:0003688" "DNA replication origin binding" 0.585
0 1.62830102037646e-05 2 32 "GO:0003690" "double-stranded DNA binding" 0.025
0 0.0448832370719428 2 16 "GO:0003697" "single-stranded DNA binding" 0.725
0 0.133790769271965 2 13 "GO:0003712" "transcription coregulator activity" 0.860416666666667
0 0.923762112579137 3 86 "GO:0003729" "mRNA binding" 1
0 0.725055408801208 2 248 "GO:0003735" "structural constituent of ribosome" 1
0 0.480333276568945 2 24 "GO:0003743" "translation initiation factor activity" 1
0 0.626128256515037 4 49 "GO:0003746" "translation elongation factor activity" 1
0 0.272621396681333 2 26 "GO:0003755;GO:0016859" "peptidyl-prolyl cis-trans isomerase activity" 0.986528497409326
0 0.734988778353941 3 11 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 1
0 0.279698105025924 3 22 "GO:0003774" "motor activity" 0.984183673469388
0 0.026562727920273 2 6 "GO:0003777" "microtubule motor activity" 0.742857142857143
0 0.686813861792259 2 60 "GO:0003779" "actin binding" 1
0 0.191974822073369 3 6 "GO:0003841;GO:0042171;GO:0071617" "lysophospholipid acyltransferase activity" 0.91735294117647
0 0.291631141544115 3 16 "GO:0003887" "DNA-directed DNA polymerase activity" 0.96421568627451
0 0.158950284157467 3 24 "GO:0003899;GO:0034062;GO:0097747" "5'-3' RNA polymerase activity" 0.890322580645161
0 0.727226782208745 3 194 "GO:0003924;GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0019001;GO:0001882" "guanyl nucleotide binding" 1
0 0.123045737312573 2 9 "GO:0003989;GO:0004075" "acetyl-CoA carboxylase activity" 0.901162790697674
0 0.26922488388619 2 5 "GO:0003993" "acid phosphatase activity" 0.984375
0 0.589248260257191 4 9 "GO:0003997;GO:0016634;GO:0005504" "fatty acid binding" 1
0 0.0612904518581488 2 5 "GO:0004017" "adenylate kinase activity" 0.774712643678161
0 0.0330967323510817 2 5 "GO:0004028" "3-chloroallyl aldehyde dehydrogenase activity" 0.711320754716981
0 0.12333061420012 2 12 "GO:0004029;GO:0004030" "aldehyde dehydrogenase [NAD(P)+] activity" 0.888931297709924
0 0.262251825565415 2 115 "GO:0004175" "endopeptidase activity" 0.976178010471204
0 0.283052850602104 3 8 "GO:0004176" "ATP-dependent peptidase activity" 0.96925
0 0.0149321343035669 4 50 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 0.680357142857143
0 0.571463508623187 2 10 "GO:0004197" "cysteine-type endopeptidase activity" 1
0 0.257598409063934 4 19 "GO:0004222" "metalloendopeptidase activity" 0.971578947368421
0 0.389881873728227 4 18 "GO:0004252" "serine-type endopeptidase activity" 1
0 0.756155090825846 2 21 "GO:0004298;GO:0070003" "threonine-type peptidase activity" 1
0 0.126087865216051 4 6 "GO:0004364" "glutathione transferase activity" 0.892105263157895
0 0.0145125306513467 2 7 "GO:0004372;GO:0016742" "glycine hydroxymethyltransferase activity" 0.683333333333333
0 0.0138796070293291 3 40 "GO:0004386" "helicase activity" 0.712
0 0.0899811872807399 7 6 "GO:0004402;GO:0061733;GO:0034212" "peptide N-acetyltransferase activity" 0.801315789473684
0 0.00883799762319778 3 9 "GO:0004497" "monooxygenase activity" 0.783333333333333
0 0.311068166278241 4 52 "GO:0004519;GO:0004518" "nuclease activity" 0.980676328502415
0 0.344579333092249 4 10 "GO:0004523" "RNA-DNA hybrid ribonuclease activity" 0.986866359447005
0 0.130589994539756 2 14 "GO:0004527" "exonuclease activity" 0.864893617021277
0 0.0764048330792137 2 9 "GO:0004536" "deoxyribonuclease activity" 0.77621359223301
0 0.42847015925375 3 19 "GO:0004540" "ribonuclease activity" 1
0 0.0538594613990536 2 22 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.772784810126582
0 0.0112522644462233 2 18 "GO:0004601;GO:0016684" "peroxidase activity" 0.755
0 0.545912991544839 2 7 "GO:0004620" "phospholipase activity" 1
0 0.404860406241366 5 6 "GO:0004656;GO:0019798;GO:0031545;GO:0031543;GO:0031418" "L-ascorbic acid binding" 1
0 0.00225681099658635 2 178 "GO:0004672;GO:0004674" "protein kinase activity" 0.71
0 0.0743349259114471 4 22 "GO:0004683" "calmodulin-dependent protein kinase activity" 0.798979591836735
0 8.2782021939041e-06 3 9 "GO:0004691;GO:0004690" "cyclic nucleotide-dependent protein kinase activity" 0
0 0.0140605575693537 2 9 "GO:0004693;GO:0097472" "cyclin-dependent protein serine/threonine kinase activity" 0.694230769230769
0 0.0940156361527491 4 9 "GO:0004707" "MAP kinase activity" 0.803389830508475
0 0.117356542690618 2 13 "GO:0004712" "protein serine/threonine/tyrosine kinase activity" 0.888188976377953
0 0.0396591284660384 2 6 "GO:0004713" "protein tyrosine kinase activity" 0.737301587301587
0 0.058884950015051 2 35 "GO:0004721" "phosphoprotein phosphatase activity" 0.776785714285714
0 0.0522011653282463 5 24 "GO:0004722" "protein serine/threonine phosphatase activity" 0.780921052631579
0 0.0565100537531531 2 12 "GO:0004724" "magnesium-dependent protein serine/threonine phosphatase activity" 0.771341463414634
0 0.112685295227346 3 33 "GO:0004812;GO:0016875" "ligase activity, forming carbon-oxygen bonds" 0.8732
0 0.0328748995640191 2 7 "GO:0004815" "aspartate-tRNA ligase activity" 0.730392156862745
0 0.0549633398976382 3 50 "GO:0004842;GO:0019787" "ubiquitin-like protein transferase activity" 0.774375
0 0.184867012731079 3 13 "GO:0004843;GO:0101005" "thiol-dependent ubiquitin-specific protease activity" 0.916265060240964
0 0.0756817847878108 2 9 "GO:0004857" "enzyme inhibitor activity" 0.7945
0 0.35652726793433 2 11 "GO:0004888" "transmembrane signaling receptor activity" 0.980269058295964
0 0.0226918004748374 4 11 "GO:0005048" "signal sequence binding" 0.740277777777778
0 0.00379817159334441 2 5 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.65625
0 0.0671455416463263 2 17 "GO:0005096" "GTPase activator activity" 0.78695652173913
0 0.0368702659617765 3 26 "GO:0005102" "signaling receptor binding" 0.743965517241379
0 0.852318357867286 2 40 "GO:0005200" "structural constituent of cytoskeleton" 1
0 0.714349421995274 2 48 "GO:0005261;GO:0005216;GO:0015267;GO:0022803" "channel activity" 1
0 0.134578807456289 3 9 "GO:0005315" "inorganic phosphate transmembrane transporter activity" 0.858620689655172
0 0.631016575126755 2 25 "GO:0005319" "lipid transporter activity" 1
0 0.675993538234722 4 9 "GO:0005388" "calcium transmembrane transporter activity, phosphorylative mechanism" 1
0 0.398035357862711 3 12 "GO:0005484" "SNAP receptor activity" 1
0 0.0714703925173047 2 29 "GO:0005506" "iron ion binding" 0.793229166666667
0 0.429964969966262 6 17 "GO:0005507" "copper ion binding" 1
0 0.55558146053942 2 50 "GO:0005509" "calcium ion binding" 1
0 0.330969112452658 3 50 "GO:0005516" "calmodulin binding" 0.993838862559242
0 0.048736467169307 2 22 "GO:0005543" "phospholipid binding" 0.753378378378378
0 0.355373359639879 5 18 "GO:0008017;GO:0015631" "microtubule binding" 0.986877828054299
0 0.401014446836802 4 7 "GO:0008028" "monocarboxylic acid transmembrane transporter activity" 1
0 0.112515663314164 2 28 "GO:0008047" "enzyme activator activity" 0.879032258064516
0 0.026115990034485 2 10 "GO:0008080;GO:0016410" "N-acyltransferase activity" 0.748780487804878
0 0.61787506639174 3 94 "GO:0008092" "cytoskeletal protein binding" 1
0 0.0814038698246056 3 15 "GO:0008094" "DNA-dependent ATPase activity" 0.788785046728972
0 0.0400589105765332 6 17 "GO:0008106;GO:0004033" "aldo-keto reductase (NADP) activity" 0.723076923076923
0 0.0213151458992708 3 23 "GO:0008134" "transcription factor binding" 0.765151515151515
0 0.000825619064963853 4 61 "GO:0008168;GO:0016741" "transferase activity, transferring one-carbon groups" 0.3875
0 0.121051930826784 2 6 "GO:0008169" "C-methyltransferase activity" 0.897265625
0 0.0800883205614333 2 23 "GO:0008170;GO:0008276" "N-methyltransferase activity" 0.786320754716981
0 0.322544995220431 2 6 "GO:0008171" "O-methyltransferase activity" 0.988277511961723
0 0.0850055793711658 2 13 "GO:0008173" "RNA methyltransferase activity" 0.786936936936937
0 0.030741769163906 2 5 "GO:0008198" "ferrous iron binding" 0.727083333333333
0 0.340234215523814 2 163 "GO:0008233" "peptidase activity" 0.988372093023256
0 0.0682942004993678 2 16 "GO:0008234" "cysteine-type peptidase activity" 0.786559139784946
0 0.412420147619989 2 25 "GO:0008236;GO:0017171" "serine-type peptidase activity" 1
0 0.600569947692387 2 35 "GO:0008237" "metallopeptidase activity" 1
0 0.336296580025206 2 18 "GO:0008242" "omega peptidase activity" 0.987383177570094
0 0.279966451305128 6 110 "GO:0008270" "zinc ion binding" 0.979441624365482
0 0.222797495514886 2 43 "GO:0008289" "lipid binding" 0.944166666666667
0 0.0307206712658717 3 6 "GO:0008320;GO:0022884;GO:0140318" "macromolecule transmembrane transporter activity" 0.742553191489362
0 0.0210271789612279 2 6 "GO:0008353" "RNA polymerase II CTD heptapeptide repeat kinase activity" 0.775
0 0.027063447487206 2 6 "GO:0008375" "acetylglucosaminyltransferase activity" 0.730232558139535
0 0.0764048330792137 6 9 "GO:0008408" "3'-5' exonuclease activity" 0.77621359223301
0 0.028251339323132 3 8 "GO:0008422;GO:0015926" "glucosidase activity" 0.722222222222222
0 0.275097354125823 3 21 "GO:0008483;GO:0016769" "transaminase activity" 0.987371134020619
0 0.625377116072683 2 77 "GO:0008509" "anion transmembrane transporter activity" 1
0 0.347964671980161 2 29 "GO:0008514" "organic anion transmembrane transporter activity" 0.98310502283105
0 0.190820378929542 2 10 "GO:0008553" "proton-exporting ATPase activity, phosphorylative mechanism" 0.929640718562874
0 0.17861832988309 2 8 "GO:0008641" "ubiquitin-like modifier activating enzyme activity" 0.90030303030303
0 0.191266825855173 3 8 "GO:0008649;GO:0140102" "rRNA methyltransferase activity" 0.921005917159763
0 0.205609371990245 2 36 "GO:0008757" "S-adenosylmethionine-dependent methyltransferase activity" 0.932183908045977
0 0.361896120921297 2 43 "GO:0009055" "electron transfer activity" 0.981473214285714
0 0.130440831811201 3 20 "GO:0009678" "pyrophosphate hydrolysis-driven proton transmembrane transporter activity" 0.870357142857143
0 0.0613847041207403 2 6 "GO:0009881" "photoreceptor activity" 0.767045454545455
0 0.168990731686294 3 12 "GO:0009931;GO:0010857" "calcium-dependent protein kinase activity" 0.908860759493671
0 0.170764761335295 2 11 "GO:0009982" "pseudouridine synthase activity" 0.901875
0 0.127574414853908 4 15 "GO:0010181" "FMN binding" 0.879779411764706
0 0.0561360652260604 2 17 "GO:0015036" "disulfide oxidoreductase activity" 0.776543209876543
0 0.525594601623858 2 177 "GO:0015075;GO:0015318" "ion transmembrane transporter activity" 1
0 0.600386352265723 2 67 "GO:0015078" "proton transmembrane transporter activity" 1
0 0.902227899036545 2 21 "GO:0015085;GO:0072509" "divalent inorganic cation transmembrane transporter activity" 1
0 0.165964052158485 5 11 "GO:0015171" "amino acid transmembrane transporter activity" 0.909935897435897
0 0.81325478027087 2 61 "GO:0015291" "secondary active transmembrane transporter activity" 1
0 0.764715022355095 3 18 "GO:0015293" "symporter activity" 1
0 0.514074074159797 3 7 "GO:0015294" "solute:cation symporter activity" 1
