"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.000577904951412722 4 17 "GO:0000049" "tRNA binding" 0.266666666666667
0 0.20993172967774 3 34 "GO:0000287" "magnesium ion binding" 1
0 0.694679886065848 3 190 "GO:0003677" "DNA binding" 1
0 0.183099546507823 4 9 "GO:0003727;GO:0008266;GO:0008187" "single-stranded RNA binding" 1
0 0.00394171542501665 2 86 "GO:0003729" "mRNA binding" 0.394444444444444
0 0.0129709965431523 5 8 "GO:0003730" "mRNA 3'-UTR binding" 0.686666666666667
0 1.78166135743367e-07 2 248 "GO:0003735" "structural constituent of ribosome" 0
0 0.145573293937226 2 24 "GO:0003743" "translation initiation factor activity" 1
0 0.00290961439884935 2 49 "GO:0003746" "translation elongation factor activity" 0.378571428571429
0 0.0234247780138475 3 11 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.828846153846154
0 0.0938817142635335 6 22 "GO:0003774" "motor activity" 1
0 0.0855218153425432 8 6 "GO:0003777" "microtubule motor activity" 1
0 0.102077501675063 2 60 "GO:0003779" "actin binding" 1
0 0.0104120483985781 4 6 "GO:0003841;GO:0042171;GO:0071617" "lysophospholipid acyltransferase activity" 0.607142857142857
0 0.140997545999981 4 16 "GO:0003887" "DNA-directed DNA polymerase activity" 1
0 0.00414567874932467 4 194 "GO:0003924;GO:0005525;GO:0032550;GO:0032561;GO:0001883;GO:0032549;GO:0019001;GO:0001882" "guanyl nucleotide binding" 0.385
0 0.131381347697546 3 5 "GO:0003993" "acid phosphatase activity" 1
0 0.430863232350222 2 115 "GO:0004175" "endopeptidase activity" 1
0 0.0312865071194112 2 15 "GO:0004177" "aminopeptidase activity" 0.945161290322581
0 0.260360902777439 2 9 "GO:0004180" "carboxypeptidase activity" 1
0 0.519852075121269 5 50 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 1
0 0.276961439338924 2 10 "GO:0004197" "cysteine-type endopeptidase activity" 1
0 0.0354127817626664 2 18 "GO:0004252" "serine-type endopeptidase activity" 0.905555555555556
0 0.287494321376668 3 8 "GO:0004316;GO:0004312;GO:0102131;GO:0102132" "fatty acid synthase activity" 1
0 0.184428614670934 8 40 "GO:0004386" "helicase activity" 1
0 0.176210246647392 3 6 "GO:0004402;GO:0061733;GO:0034212" "peptide N-acetyltransferase activity" 1
0 0.238131263270982 5 52 "GO:0004519;GO:0004518" "nuclease activity" 1
0 0.336742776269369 3 10 "GO:0004523" "RNA-DNA hybrid ribonuclease activity" 1
0 0.33053263165422 2 14 "GO:0004527" "exonuclease activity" 1
0 0.093701081063849 3 19 "GO:0004540" "ribonuclease activity" 1
0 0.583439861391096 4 22 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 1
0 0.0614517254326236 3 18 "GO:0004601;GO:0016684" "oxidoreductase activity, acting on peroxide as acceptor" 1
0 0.0200001624240974 3 6 "GO:0004656;GO:0019798;GO:0031545;GO:0031543;GO:0031418" "L-ascorbic acid binding" 0.789130434782609
0 0.239435904035673 2 178 "GO:0004672;GO:0004674" "protein kinase activity" 1
0 0.3105882015948 3 9 "GO:0004784;GO:0016721" "oxidoreductase activity, acting on superoxide radicals as acceptor" 1
0 0.00282916325764709 4 33 "GO:0004812;GO:0016875" "aminoacyl-tRNA ligase activity" 0.433333333333333
0 0.0349165580565058 2 11 "GO:0005048" "signal sequence binding" 0.947058823529412
0 0.00248924105261852 2 40 "GO:0005200" "structural constituent of cytoskeleton" 0.48
0 0.0774397465657729 3 48 "GO:0005261;GO:0005216;GO:0015267;GO:0022803" "channel activity" 1
0 0.311753049580346 2 9 "GO:0005315" "inorganic phosphate transmembrane transporter activity" 1
0 0.189656137891555 2 5 "GO:0005385" "zinc ion transmembrane transporter activity" 1
0 0.0619699581164465 2 29 "GO:0005506" "iron ion binding" 1
0 0.0607823138598543 3 50 "GO:0005509" "calcium ion binding" 1
0 0.420320387670845 3 50 "GO:0005516" "calmodulin binding" 1
0 0.201383544720955 4 18 "GO:0008017;GO:0015631" "tubulin binding" 1
0 0.151704360866669 2 28 "GO:0008047" "enzyme activator activity" 1
0 0.270230669515811 2 10 "GO:0008080;GO:0016410" "N-acyltransferase activity" 1
0 0.100169886817373 3 94 "GO:0008092" "cytoskeletal protein binding" 1
0 0.264542362685309 4 15 "GO:0008137;GO:0050136;GO:0003954;GO:0003955" "NADH dehydrogenase activity" 1
0 0.101352061046164 2 61 "GO:0008168;GO:0016741" "transferase activity, transferring one-carbon groups" 1
0 0.115900174129289 5 6 "GO:0008169" "C-methyltransferase activity" 1
0 0.217438747220453 3 13 "GO:0008173" "RNA methyltransferase activity" 1
0 0.104660564580489 2 6 "GO:0008177;GO:0000104" "succinate dehydrogenase activity" 1
