module,term,name,cat,p.adj,nseqs
brown,GO:0006970,response to osmotic stress,Biological Process,0.07,74
brown,GO:0009620,response to fungus,Biological Process,0,17
brown,GO:0009651,response to salt stress,Biological Process,0,53
brown,GO:0015074,DNA integration,Biological Process,0.0916666666666667,24
brown,GO:0032197;GO:0032196,transposition,Biological Process,0.0857142857142857,11
brown,GO:0042538,hyperosmotic salinity response,Biological Process,0.0625,8
brown,GO:0071555;GO:0045229;GO:0071554,cell wall organization or biogenesis,Biological Process,0,35
brown,GO:0000139,Golgi membrane,Cellular Component,0.05,94
brown,GO:0000943,retrotransposon nucleocapsid,Cellular Component,0.025,20
brown,GO:0005881,cytoplasmic microtubule,Cellular Component,0.075,7
brown,GO:0009507;GO:0009536,plastid,Cellular Component,0,220
brown,GO:0009570;GO:0009532,plastid stroma,Cellular Component,0.09,64
brown,GO:0031984,organelle subcompartment,Cellular Component,0.0714285714285714,48
brown,GO:0055028,cortical microtubule,Cellular Component,0.0333333333333333,5
brown,GO:0003677,DNA binding,Molecular Function,0.04,190
brown,GO:0004519;GO:0004518,nuclease activity,Molecular Function,0,52
brown,GO:0008170;GO:0008276,N-methyltransferase activity,Molecular Function,0.0766666666666667,23
brown,GO:0008270,zinc ion binding,Molecular Function,0.0636363636363636,110
brown,GO:0008757,S-adenosylmethionine-dependent methyltransferase activity,Molecular Function,0.0833333333333333,36
brown,GO:0016279;GO:0016278,protein-lysine N-methyltransferase activity,Molecular Function,0.0714285714285714,15
brown,GO:0016757,transferase activity, transferring glycosyl groups,Molecular Function,0,62
brown,GO:0016763,transferase activity, transferring pentosyl groups,Molecular Function,0.0941176470588235,12
brown,GO:0016779,nucleotidyltransferase activity,Molecular Function,0.090625,73
brown,GO:0016788,hydrolase activity, acting on ester bonds,Molecular Function,0,139
brown,GO:0016891;GO:0004521;GO:0016893,endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters,Molecular Function,0,17
brown,GO:0018024,histone-lysine N-methyltransferase activity,Molecular Function,0.0125,11
brown,GO:0034061;GO:0003964,DNA polymerase activity,Molecular Function,0,34
brown,GO:0042054,histone methyltransferase activity,Molecular Function,0.0333333333333333,16
brown,GO:0042910,xenobiotic transmembrane transporter activity,Molecular Function,0.0769230769230769,13
brown,GO:0140097,catalytic activity, acting on DNA,Molecular Function,0,56
brown,GO:0140110;GO:0003700,transcription regulator activity,Molecular Function,0,58
blue,GO:0045171,intercellular bridge,Cellular Component,0.05,6
blue,GO:0003690,double-stranded DNA binding,Molecular Function,0.025,32
blue,GO:0004691;GO:0004690,cyclic nucleotide-dependent protein kinase activity,Molecular Function,0,9
magenta,GO:0006412;GO:0043043,peptide biosynthetic process,Biological Process,0,259
magenta,GO:0008340,determination of adult lifespan,Biological Process,0,10
magenta,GO:0022625;GO:0015934,large ribosomal subunit,Cellular Component,0,114
magenta,GO:0044391,ribosomal subunit,Cellular Component,0,177
magenta,GO:0003735,structural constituent of ribosome,Molecular Function,0,248
magenta,GO:0019843,rRNA binding,Molecular Function,0.05,64
