TRINITY_DN102005_c0_g1	Q1DZQ0	TRINITY_DN102005_c0_g1_i1	1.3e-37	Protein transport protein SEC13	COPII-coated vesicle budding [GO:0090114]; mRNA transport [GO:0051028]; positive regulation of TORC1 signaling [GO:1904263]; protein transport [GO:0015031]	COPII vesicle coat [GO:0030127]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; nuclear pore [GO:0005643]	structural molecule activity [GO:0005198]	GO:0000139; GO:0005198; GO:0005643; GO:0005789; GO:0015031; GO:0030127; GO:0051028; GO:0090114; GO:1904263	reviewed	Coccidioides immitis (strain RS) (Valley fever fungus)	0	0	1	1	0	0	0	0	0	4	0	1	3	0	0
TRINITY_DN102006_c0_g1	Q54NS9	TRINITY_DN102006_c0_g1_i1	3.0e-21	Apoptosis-inducing factor homolog A (EC 1.-.-.-)		cytoplasm [GO:0005737]; lipid droplet [GO:0005811]	electron-transferring-flavoprotein dehydrogenase activity [GO:0004174]; flavin adenine dinucleotide binding [GO:0050660]	GO:0004174; GO:0005737; GO:0005811; GO:0050660	reviewed	Dictyostelium discoideum (Slime mold)	0	1	0	0	0	1	0	3	1	44	0	0	4	1	2
TRINITY_DN102012_c0_g1	Q56872	TRINITY_DN102012_c0_g1_i1	1.9e-125	GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)	'de novo' GDP-L-fucose biosynthetic process [GO:0042351]; GDP-mannose metabolic process [GO:0019673]; O antigen biosynthetic process [GO:0009243]		GDP-mannose 4,6-dehydratase activity [GO:0008446]; NADP+ binding [GO:0070401]	GO:0008446; GO:0009243; GO:0019673; GO:0042351; GO:0070401	reviewed	Yersinia enterocolitica serotype O:8 / biotype 1B (strain NCTC 13174 / 8081)	0	1	0	8	2	0	1	1	0	8	0	0	3	0	19
TRINITY_DN102016_c0_g1	F4I460	TRINITY_DN102016_c0_g1_i1	4.6e-15	Myosin-8 (Myosin XI B) (AtXIB)	actin filament-based movement [GO:0030048]; actin filament organization [GO:0007015]; root hair elongation [GO:0048767]	cytoplasm [GO:0005737]; myosin complex [GO:0016459]	actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; motor activity [GO:0003774]	GO:0003774; GO:0005516; GO:0005524; GO:0005737; GO:0007015; GO:0016459; GO:0030048; GO:0048767; GO:0051015	reviewed	Arabidopsis thaliana (Mouse-ear cress)	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
TRINITY_DN102024_c0_g1	Q9LK31	TRINITY_DN102024_c0_g1_i1	1.9e-34	Kelch repeat-containing protein At3g27220	anaerobic respiration [GO:0009061]	endosome [GO:0005768]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; trans-Golgi network [GO:0005802]		GO:0005768; GO:0005794; GO:0005802; GO:0009061; GO:0016021	reviewed	Arabidopsis thaliana (Mouse-ear cress)	3	0	0	0	0	0	2	3	0	0	2	18	0	0	0
TRINITY_DN102050_c0_g1	Q6DIF4	TRINITY_DN102050_c0_g1_i1	3.4e-32	WD repeat-containing protein 1 (Actin-interacting protein 1) (AIP1)	actin filament depolymerization [GO:0030042]; actin filament fragmentation [GO:0030043]; locomotion [GO:0040011]; positive regulation of actin filament depolymerization [GO:0030836]; sarcomere organization [GO:0045214]	actin filament [GO:0005884]; actomyosin, actin portion [GO:0042643]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	actin binding [GO:0003779]; actin filament binding [GO:0051015]	GO:0003779; GO:0005634; GO:0005737; GO:0005884; GO:0005886; GO:0030042; GO:0030043; GO:0030836; GO:0030864; GO:0040011; GO:0042643; GO:0045214; GO:0051015	reviewed	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	2	4	0	0	0	0	0	11	2	5	0	0	10	0	0
TRINITY_DN102051_c0_g1	Q9H172	TRINITY_DN102051_c0_g1_i1	3.0e-17	ATP-binding cassette sub-family G member 4	cellular response to leukemia inhibitory factor [GO:1990830]; cholesterol efflux [GO:0033344]; transmembrane transport [GO:0055085]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]	GO:0005524; GO:0005886; GO:0016021; GO:0016887; GO:0033344; GO:0042626; GO:0042803; GO:0046982; GO:0055085; GO:1990830	reviewed	Homo sapiens (Human)	0	0	0	1	3	0	0	4	0	0	2	0	1	0	0
TRINITY_DN102060_c0_g1	Q8BJD1	TRINITY_DN102060_c0_g1_i1	6.8e-14	Inter-alpha-trypsin inhibitor heavy chain H5 (ITI heavy chain H5) (ITI-HC5) (Inter-alpha-inhibitor heavy chain 5)	hyaluronan metabolic process [GO:0030212]	collagen-containing extracellular matrix [GO:0062023]	serine-type endopeptidase inhibitor activity [GO:0004867]	GO:0004867; GO:0030212; GO:0062023	reviewed	Mus musculus (Mouse)	0	0	1	0	0	0	0	2	0	6	0	0	1	0	0
TRINITY_DN102062_c0_g1	P34673	TRINITY_DN102062_c0_g1_i1	4.5e-17	Fumarylacetoacetate hydrolase domain-containing protein 1 (EC 3.-.-.-)		mitochondrion [GO:0005739]	acetylpyruvate hydrolase activity [GO:0018773]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]	GO:0005739; GO:0016787; GO:0018773; GO:0046872	reviewed	Caenorhabditis elegans	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
TRINITY_DN10208_c0_g1	Q12849	TRINITY_DN10208_c0_g1_i1	1.2e-14	G-rich sequence factor 1 (GRSF-1)	anterior/posterior pattern specification [GO:0009952]; morphogenesis of embryonic epithelium [GO:0016331]; mRNA polyadenylation [GO:0006378]; tRNA processing [GO:0008033]	cytoplasm [GO:0005737]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; ribonucleoprotein granule [GO:0035770]	mRNA binding [GO:0003729]; RNA binding [GO:0003723]	GO:0003723; GO:0003729; GO:0005737; GO:0005739; GO:0006378; GO:0008033; GO:0009952; GO:0016331; GO:0035770; GO:0042645	reviewed	Homo sapiens (Human)	0	1	1	1	2	2	0	0	0	2	0	0	2	0	0
TRINITY_DN102368_c0_g1	Q8BW72	TRINITY_DN102368_c0_g1_i1	4.4e-48	Lysine-specific demethylase 4A (EC 1.14.11.-) (JmjC domain-containing histone demethylation protein 3A) (Jumonji domain-containing protein 2A)	cardiac muscle hypertrophy in response to stress [GO:0014898]; chromatin remodeling [GO:0006338]; histone demethylation [GO:0016577]; histone H3-K36 demethylation [GO:0070544]; histone H3-K9 demethylation [GO:0033169]; negative regulation of astrocyte differentiation [GO:0048712]; negative regulation of autophagy [GO:0010507]; negative regulation of cell death [GO:0060548]; negative regulation of gene expression [GO:0010629]; negative regulation of histone H3-K9 trimethylation [GO:1900113]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of gene expression [GO:0010628]; positive regulation of neuron differentiation [GO:0045666]; response to nutrient levels [GO:0031667]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; histone methyltransferase complex [GO:0035097]; nucleus [GO:0005634]; pericentric heterochromatin [GO:0005721]	histone demethylase activity [GO:0032452]; histone demethylase activity (H3-K36 specific) [GO:0051864]; histone demethylase activity (H3-K9 specific) [GO:0032454]; methylated histone binding [GO:0035064]; ubiquitin protein ligase binding [GO:0031625]; zinc ion binding [GO:0008270]	GO:0001650; GO:0005634; GO:0005721; GO:0005737; GO:0005829; GO:0006338; GO:0008270; GO:0010507; GO:0010628; GO:0010629; GO:0014898; GO:0016577; GO:0031625; GO:0031667; GO:0032452; GO:0032454; GO:0033169; GO:0035064; GO:0035097; GO:0045666; GO:0045892; GO:0048712; GO:0051864; GO:0060548; GO:0070544; GO:1900113	reviewed	Mus musculus (Mouse)	0	8	0	0	1	0	0	0	0	3	0	1	2	0	3
TRINITY_DN102375_c0_g1	Q6Z4I3	TRINITY_DN102375_c0_g1_i1	1.3e-08	Thioredoxin H2-1 (OsTrxh2-1) (OsTrx24)	cell redox homeostasis [GO:0045454]; oxidation-reduction process [GO:0055114]	cytoplasm [GO:0005737]		GO:0005737; GO:0045454; GO:0055114	reviewed	Oryza sativa subsp. japonica (Rice)	0	2	0	3	2	0	0	0	0	0	0	0	4	1	0
TRINITY_DN102378_c0_g1	P0DKK8	TRINITY_DN102378_c0_g1_i1	9.9e-11	40S ribosomal protein S10-1	ribosomal small subunit assembly [GO:0000028]	cytosolic small ribosomal subunit [GO:0022627]	structural constituent of ribosome [GO:0003735]	GO:0000028; GO:0003735; GO:0022627	reviewed	Oryza sativa subsp. japonica (Rice)	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
TRINITY_DN102379_c0_g1	Q92945	TRINITY_DN102379_c0_g1_i1	2.1e-13	Far upstream element-binding protein 2 (FUSE-binding protein 2) (KH type-splicing regulatory protein) (KSRP) (p75)	3'-UTR-mediated mRNA destabilization [GO:0061158]; cellular response to cytokine stimulus [GO:0071345]; miRNA metabolic process [GO:0010586]; mRNA catabolic process [GO:0006402]; mRNA processing [GO:0006397]; mRNA transport [GO:0051028]; negative regulation of low-density lipoprotein particle clearance [GO:0010989]; negative regulation of nitric oxide biosynthetic process [GO:0045019]; positive regulation of mRNA catabolic process [GO:0061014]; regulation of miRNA metabolic process [GO:2000628]; regulation of mRNA stability [GO:0043488]; regulation of transcription, DNA-templated [GO:0006355]; RNA splicing [GO:0008380]; RNA splicing, via transesterification reactions [GO:0000375]	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]	DNA binding [GO:0003677]; mRNA 3'-UTR AU-rich region binding [GO:0035925]; RNA binding [GO:0003723]	GO:0000375; GO:0003677; GO:0003723; GO:0005654; GO:0005829; GO:0006355; GO:0006397; GO:0006402; GO:0008380; GO:0010494; GO:0010586; GO:0010989; GO:0016020; GO:0035925; GO:0043488; GO:0045019; GO:0051028; GO:0061014; GO:0061158; GO:0071345; GO:2000628	reviewed	Homo sapiens (Human)	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1
TRINITY_DN102381_c0_g1	Q3ZBG0	TRINITY_DN102381_c0_g1_i1	1.6e-14	Proteasome subunit alpha type-7 (EC 3.4.25.1)	proteasomal protein catabolic process [GO:0010498]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; postsynapse [GO:0098794]; proteasome core complex [GO:0005839]; proteasome core complex, alpha-subunit complex [GO:0019773]	endopeptidase activity [GO:0004175]; threonine-type endopeptidase activity [GO:0004298]	GO:0004175; GO:0004298; GO:0005634; GO:0005737; GO:0005839; GO:0010498; GO:0010499; GO:0019773; GO:0043161; GO:0098794	reviewed	Bos taurus (Bovine)	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
