"GeneID"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Accession"	"Isoform"	"E.value"	"ProteinN"	"GO_BP"	"GO_CC"	"GO_MF"	"GO"	"Status"	"Organism"	"S_10B"	"S_9A"	"S_13A"	"S_42A"	"S_46B"	"S_47B"	"S_48B"	"S_2A"	"S_2B"	"S_7B"	"S_8B"	"S_33A"	"S_36B"	"S_38A"	"S_40A"
"1"	"TRINITY_DN102431_c0_g1"	7.879689421	1.594841252	9.62074707	0.006469395	0.039492659	"Q7ZX51"	"TRINITY_DN102431_c0_g1_i1"	1.4e-40	"Tyrosine--tRNA ligase, cytoplasmic (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS)"	"tyrosyl-tRNA aminoacylation [GO:0006437]"	"cytoplasm [GO:0005737]"	"ATP binding [GO:0005524]; tRNA binding [GO:0000049]; tyrosine-tRNA ligase activity [GO:0004831]"	"GO:0000049; GO:0004831; GO:0005524; GO:0005737; GO:0006437"	"reviewed"	"Xenopus laevis (African clawed frog)"	1.060434796	1.060434796	2.577378605	1.060434796	2.076237769	3.630957726	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796
"2"	"TRINITY_DN104822_c0_g1"	7.26461096	1.860002248	8.55833467	0.00835486	0.048514619	"Q69LE0"	"TRINITY_DN104822_c0_g1_i1"	7.2e-13	"Zinc finger A20 and AN1 domain-containing stress-associated protein 10 (OsSAP10)"	""	""	"DNA binding [GO:0003677]; zinc ion binding [GO:0008270]"	"GO:0003677; GO:0008270"	"reviewed"	"Oryza sativa subsp. japonica (Rice)"	1.060434796	1.498523235	3.970485375	3.284487825	1.655951822	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.878251772	1.060434796	1.060434796
"3"	"TRINITY_DN111410_c0_g1"	15.91333152	4.656098151	44.69808575	3.8e-06	6.35e-05	"Q9W020"	"TRINITY_DN111410_c0_g1_i1"	7.3e-08	"Nucleolar MIF4G domain-containing protein 1 homolog"	"ribosomal small subunit biogenesis [GO:0042274]"	"nucleolus [GO:0005730]"	"RNA binding [GO:0003723]"	"GO:0003723; GO:0005730; GO:0042274"	"reviewed"	"Drosophila melanogaster (Fruit fly)"	6.19130774	4.255874467	7.816068706	3.037763466	3.40756522	4.330280698	3.273137395	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796
"4"	"TRINITY_DN111543_c0_g1"	8.141234473	2.263419779	10.39701348	0.004969218	0.031935814	"O65202"	"TRINITY_DN111543_c0_g1_i1"	4.3e-10	"Peroxisomal acyl-coenzyme A oxidase 1 (AOX 1) (EC 1.3.3.6) (Long-chain acyl-CoA oxidase) (AtCX1)"	"fatty acid beta-oxidation [GO:0006635]; fatty acid beta-oxidation using acyl-CoA oxidase [GO:0033540]; jasmonic acid biosynthetic process [GO:0009695]; lipid homeostasis [GO:0055088]; long-chain fatty acid metabolic process [GO:0001676]; response to cadmium ion [GO:0046686]; response to fungus [GO:0009620]; response to wounding [GO:0009611]"	"peroxisome [GO:0005777]; plasmodesma [GO:0009506]"	"acyl-CoA oxidase activity [GO:0003997]; FAD binding [GO:0071949]; fatty acid binding [GO:0005504]; flavin adenine dinucleotide binding [GO:0050660]"	"GO:0001676; GO:0003997; GO:0005504; GO:0005777; GO:0006635; GO:0009506; GO:0009611; GO:0009620; GO:0009695; GO:0033540; GO:0046686; GO:0050660; GO:0055088; GO:0071949"	"reviewed"	"Arabidopsis thaliana (Mouse-ear cress)"	1.060434796	1.498523235	1.060434796	3.037763466	2.89031276	2.220749492	4.931574226	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796
"5"	"TRINITY_DN111591_c0_g1"	6.205884474	1.383822523	9.467356654	0.00682293	0.041244076	"O67876"	"TRINITY_DN111591_c0_g1_i1"	1.1e-41	"Delta-aminolevulinic acid dehydratase (ALAD) (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)"	"heme biosynthetic process [GO:0006783]; protoporphyrinogen IX biosynthetic process [GO:0006782]"	"cytosol [GO:0005829]"	"porphobilinogen synthase activity [GO:0004655]; zinc ion binding [GO:0008270]"	"GO:0004655; GO:0005829; GO:0006782; GO:0006783; GO:0008270"	"reviewed"	"Aquifex aeolicus (strain VF5)"	1.833703142	1.834107156	2.577378605	1.854878329	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796
"6"	"TRINITY_DN139711_c0_g1"	7.930132876	1.615139546	11.00029338	0.004072252	0.027399172	"P21187"	"TRINITY_DN139711_c0_g1_i1"	1.5e-24	"Polyadenylate-binding protein (PABP) (Poly(A)-binding protein)"	"chemical synaptic transmission [GO:0007268]; dorsal/ventral pattern formation [GO:0009953]; male meiosis cytokinesis [GO:0007112]; male meiotic nuclear division [GO:0007140]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of neuron death [GO:1901215]; oocyte development [GO:0048599]; oogenesis [GO:0048477]; positive regulation of translation [GO:0045727]; regulation of compound eye photoreceptor development [GO:0045314]; spermatid nucleus differentiation [GO:0007289]; spermatogenesis [GO:0007283]"	"catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nucleus [GO:0005634]; precatalytic spliceosome [GO:0071011]; ribonucleoprotein complex [GO:1990904]"	"mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; poly(A) binding [GO:0008143]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]"	"GO:0000398; GO:0003723; GO:0003729; GO:0003730; GO:0005634; GO:0005737; GO:0005829; GO:0007112; GO:0007140; GO:0007268; GO:0007283; GO:0007289; GO:0008143; GO:0008266; GO:0009953; GO:0010494; GO:0045314; GO:0045727; GO:0048477; GO:0048599; GO:0071011; GO:0071013; GO:1901215; GO:1990904"	"reviewed"	"Drosophila melanogaster (Fruit fly)"	2.334412939	1.060434796	3.559860772	1.060434796	1.655951822	2.220749492	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796
"7"	"TRINITY_DN151645_c0_g1"	7.521405631	2.001550158	9.40084266	0.006087836	0.037683705	"Q9NP78"	"TRINITY_DN151645_c0_g1_i1"	1.7e-21	"ATP-binding cassette sub-family B member 9 (ATP-binding cassette transporter 9) (ABC transporter 9 protein) (hABCB9) (TAP-like protein) (TAPL)"	"peptide transport [GO:0015833]; protein transport [GO:0015031]; transmembrane transport [GO:0055085]"	"integral component of endoplasmic reticulum membrane [GO:0030176]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]"	"ATPase activity [GO:0016887]; ATPase-coupled peptide transmembrane transporter activity [GO:0015440]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]; protein homodimerization activity [GO:0042803]; transmembrane transporter activity [GO:0022857]"	"GO:0005524; GO:0005764; GO:0005765; GO:0015031; GO:0015440; GO:0015833; GO:0016021; GO:0016887; GO:0022857; GO:0030176; GO:0042626; GO:0042803; GO:0043231; GO:0055085"	"reviewed"	"Homo sapiens (Human)"	1.060434796	1.060434796	3.559860772	3.284487825	2.666429693	2.855421812	1.993143853	1.440025908	1.060434796	1.788362656	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796
"8"	"TRINITY_DN151688_c0_g1"	8.348707376	1.729947773	9.957178112	0.005764086	0.03601293	"P56701"	"TRINITY_DN151688_c0_g1_i1"	2.3e-53	"26S proteasome non-ATPase regulatory subunit 2 (26S proteasome regulatory subunit RPN1) (26S proteasome regulatory subunit S2) (26S proteasome subunit p97) (Tumor necrosis factor type 1 receptor-associated protein 2)"	"proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]"	"nucleus [GO:0005634]; proteasome accessory complex [GO:0022624]; proteasome regulatory particle, base subcomplex [GO:0008540]; proteasome storage granule [GO:0034515]"	"enzyme regulator activity [GO:0030234]"	"GO:0005634; GO:0008540; GO:0022624; GO:0030234; GO:0034515; GO:0042176; GO:0043161"	"reviewed"	"Bos taurus (Bovine)"	1.060434796	1.060434796	2.577378605	1.060434796	2.666429693	3.903475717	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796
"9"	"TRINITY_DN151705_c0_g1"	10.12471787	2.111142469	11.56475941	0.003395236	0.023787276	"Q9D1Q6"	"TRINITY_DN151705_c0_g1_i1"	8e-55	"Endoplasmic reticulum resident protein 44 (ER protein 44) (ERp44) (Thioredoxin domain-containing protein 4)"	"cell redox homeostasis [GO:0045454]; glycoprotein metabolic process [GO:0009100]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]; response to unfolded protein [GO:0006986]"	"cell surface [GO:0009986]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]"	"protein disulfide isomerase activity [GO:0003756]"	"GO:0003756; GO:0005788; GO:0005789; GO:0005793; GO:0006457; GO:0006986; GO:0009100; GO:0009986; GO:0034976; GO:0045454"	"reviewed"	"Mus musculus (Mouse)"	1.060434796	1.060434796	3.300346991	1.060434796	2.666429693	4.799269373	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796
"10"	"TRINITY_DN172833_c0_g1"	-12.53788475	3.079814322	17.40242837	0.000571331	0.005407552	"O49561"	"TRINITY_DN172833_c0_g1_i1"	7.6e-72	"Gibberellin 2-beta-dioxygenase 8 (EC 1.14.11.13) (GA 2-oxidase 8) (Gibberellin 2-beta-hydroxylase 8) (Gibberellin 2-oxidase 8)"	"gibberellin biosynthetic process [GO:0009686]; gibberellin metabolic process [GO:0009685]"	""	"C-20 gibberellin 2-beta-dioxygenase activity [GO:0052635]; dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]"	"GO:0009685; GO:0009686; GO:0046872; GO:0051213; GO:0052635"	"reviewed"	"Arabidopsis thaliana (Mouse-ear cress)"	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	1.060434796	2.951370828	3.451657898	3.158481203	1.060434796	5.611095761	2.599887299	4.051916271	3.344486629
