geneID	Uniprot	annot	BPGO	CCGO	MFGO	GOterms	moduleColor	GS.exposed	p.GS.exposed	logFC	logCPM	FDR	edgeR.pvalue	MM.blue	p.MM.blue	MM.brown	p.MM.brown	MM.black	p.MM.black	MM.yellow	p.MM.yellow	MM.lightgreen	p.MM.lightgreen	MM.grey	p.MM.grey	MM.pink	p.MM.pink	MM.purple	p.MM.purple	MM.lightcyan	p.MM.lightcyan	MM.cyan	p.MM.cyan	MM.salmon	p.MM.salmon	MM.greenyellow	p.MM.greenyellow	MM.green	p.MM.green
TRINITY_DN295075_c3_g1	Q5UAP0	40S ribosomal protein S4	translation [GO:0006412]	ribosome [GO:0005840]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0005840; GO:0006412; GO:0019843	black	0.698249161	0.003789432	9.71611634	4.646185518	0.003845906	0.000383969	0.739684291	0.001621041	-0.271230685	0.328156019	0.863266952	3.40E-05	0.266062858	0.337815367	-0.25550644	0.358038196	0.300557863	0.276380548	-0.33431953	0.223256578	0.349600777	0.201494922	-0.399906719	0.139696055	-0.170645757	0.543148503	-0.014193613	0.959959392	-0.169117125	0.546820661	-0.251694698	0.365501103
TRINITY_DN294775_c0_g1	P79015	60S ribosomal protein L32-A	cytoplasmic translation [GO:0002181]	cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; nucleus [GO:0005634]	structural constituent of ribosome [GO:0003735]	GO:0002181; GO:0003735; GO:0005634; GO:0005829; GO:0022625	black	0.668235847	0.006468563	11.25330885	4.946191777	0.002228872	0.000197811	0.709974395	0.003022853	-0.262210425	0.345119249	0.882568489	1.33E-05	0.283842851	0.305253164	-0.237341678	0.394356808	0.313738007	0.254813297	-0.304589338	0.269671122	0.344933837	0.207990857	-0.406983589	0.13217861	-0.169789294	0.545204612	-0.031898193	0.910148693	-0.125751079	0.655192956	-0.259809709	0.349715167
TRINITY_DN312737_c2_g5	F4JIU4	Myosin-4 (MYOSIN VIII B) (AtVIIIB)	actin filament-based movement [GO:0030048]	myosin complex [GO:0016459]	actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; motor activity [GO:0003774]	GO:0003774; GO:0005516; GO:0005524; GO:0016459; GO:0030048; GO:0051015	black	0.658219787	0.007635547	10.46890596	2.132198239	0.008699801	0.000991517	0.682653401	0.005040452	-0.222962178	0.424437725	0.799087936	0.000351713	0.121125997	0.667188173	-0.330322191	0.229183251	0.521758326	0.046056947	-0.224948691	0.420213505	0.33413184	0.223532679	-0.42879838	0.110750578	-0.11324925	0.687788493	-0.038618644	0.891312792	0.008961984	0.974712358	-0.266732044	0.336555616
TRINITY_DN293689_c0_g1	Q8ISN9	40S ribosomal protein S25	NA	ribosome [GO:0005840]	NA	GO:0005840	black	0.604465212	0.016992328	11.30248482	5.212083368	0.002523726	0.000236699	0.649849508	0.008732334	-0.213480533	0.444897295	0.917050781	1.51E-06	0.267740992	0.334661289	-0.247193697	0.374422332	0.348962056	0.202376185	-0.231206402	0.407049849	0.338114323	0.217720222	-0.348901146	0.202460353	-0.189053064	0.499800346	-0.012328535	0.965217679	-0.125515358	0.655802443	-0.269883994	0.330657838
TRINITY_DN311476_c1_g3	O22347	Tubulin alpha-1 chain (Alpha-1-tubulin)	microtubule-based process [GO:0007017]	cytoplasm [GO:0005737]; microtubule [GO:0005874]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]	GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017	black	0.604383781	0.017011181	10.16836665	4.660858921	0.007036317	0.000766151	0.646661771	0.009181032	-0.148655916	0.596980843	0.823484069	0.000161444	0.267823848	0.334505992	-0.226035839	0.417910967	0.299531836	0.278103939	-0.270846069	0.328869435	0.475458213	0.073254491	-0.322982712	0.240318878	-0.254511639	0.359977707	0.037829674	0.893521489	-0.272149045	0.326456141	-0.253914916	0.361143884
TRINITY_DN294775_c0_g2	Q7RXY1	60S ribosomal protein L32 (Cytoplasmic ribosomal protein-63)	translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]	structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0006412; GO:0022625	black	0.603020973	0.017329091	9.729870451	2.776220886	0.010101352	0.00118801	0.639015247	0.010330946	-0.135774535	0.629466948	0.795499645	0.000390953	0.153824758	0.584137265	-0.261783914	0.345933276	0.402010424	0.137431903	-0.291525773	0.291771527	0.390481111	0.150149765	-0.410376067	0.128674484	-0.229109718	0.411436108	-0.083869644	0.766337283	-0.223431861	0.423437004	-0.334832663	0.222502827
TRINITY_DN296759_c4_g1	P02556	Tubulin beta chain (Beta-tubulin) (Fragment)	microtubule-based process [GO:0007017]	cytoplasm [GO:0005737]; microtubule [GO:0005874]	GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]	GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017	black	0.578622264	0.023831416	12.39731974	4.067218591	0.002523726	0.000237287	0.61395029	0.014903989	-0.165364526	0.555880857	0.902798389	4.08E-06	0.221978253	0.426538039	-0.242006111	0.384849548	0.375651393	0.167635239	-0.184848791	0.509556507	0.38431871	0.157260365	-0.333737998	0.224112738	-0.209899796	0.45275012	0.025780939	0.927332909	-0.092138291	0.743980018	-0.234024625	0.40119297
TRINITY_DN276418_c0_g1	Q3IJK2	30S ribosomal protein S5	translation [GO:0006412]	small ribosomal subunit [GO:0015935]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	GO:0003735; GO:0006412; GO:0015935; GO:0019843	black	0.577132061	0.024281333	10.26956814	2.372628237	0.01296927	0.001613302	0.61333801	0.015032486	-0.38518598	0.15624635	0.738514237	0.001663815	0.364877625	0.181147917	-0.263161111	0.343308664	0.063901045	0.821009228	-0.190616947	0.496193704	-0.095768044	0.734224188	-0.267534091	0.335049258	-0.055537078	0.844152939	-0.081781701	0.77201068	-0.016292979	0.954042409	-0.234993017	0.399190768
TRINITY_DN293689_c0_g3	Q8ISN9	40S ribosomal protein S25	NA	ribosome [GO:0005840]	NA	GO:0005840	black	0.57180865	0.025941457	8.910005129	5.140368976	0.011188047	0.001359194	0.61215289	0.015283631	-0.147795283	0.599130262	0.760526563	0.000995702	0.161788846	0.564573283	-0.046321615	0.869789811	0.408985974	0.130102569	-0.211667464	0.448864923	0.44325449	0.097956965	-0.37934823	0.163156346	-0.130588563	0.642730069	0.031719675	0.910649686	-0.122247782	0.664271799	-0.190304288	0.496913782
TRINITY_DN298848_c3_g2	O04204	60S acidic ribosomal protein P0-1	cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]	cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]	large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]	GO:0000027; GO:0002181; GO:0003735; GO:0022625; GO:0022626; GO:0070180	black	0.557332217	0.030891944	8.080121341	4.129630572	0.026361615	0.003849086	0.589676689	0.020688931	-0.107347678	0.703358614	0.68878745	0.004514467	0.174649187	0.53358279	-0.177604412	0.526570058	0.435557363	0.104632536	-0.200940829	0.472695107	0.436225819	0.10404056	-0.404395771	0.134894849	-0.171074507	0.542120479	0.057729706	0.838073565	-0.219245319	0.432399679	-0.283016386	0.306724673
