name	term	lev	seq	value
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	GO:0016655	4	TRINITY_DN1500_c0_g1	0
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	GO:0016655	4	TRINITY_DN22034_c0_g1	0
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	GO:0016655	4	TRINITY_DN238275_c0_g1	0
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	GO:0016655	4	TRINITY_DN255879_c0_g1	0
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	GO:0016655	4	TRINITY_DN271274_c0_g1	0
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	GO:0016655	4	TRINITY_DN276013_c0_g1	0
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	GO:0016655	4	TRINITY_DN276866_c0_g1	0
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	GO:0016655	4	TRINITY_DN292903_c0_g1	0
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	GO:0016655	4	TRINITY_DN294655_c4_g1	0.966801867282777
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	GO:0016655	4	TRINITY_DN294655_c4_g2	0.972286452543259
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	GO:0016655	4	TRINITY_DN2951_c0_g1	0
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	GO:0016655	4	TRINITY_DN310726_c3_g1	0
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	GO:0016655	4	TRINITY_DN310726_c3_g2	0
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	GO:0016655	4	TRINITY_DN311753_c2_g8	0
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	GO:0016655	4	TRINITY_DN3143_c0_g1	0
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	GO:0016655	4	TRINITY_DN314622_c5_g1	0
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	GO:0016655	4	TRINITY_DN314622_c5_g2	0
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	GO:0016655	4	TRINITY_DN314622_c5_g6	0
"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor"	GO:0016655	4	TRINITY_DN656226_c0_g1	0
"xenobiotic transmembrane transporter activity"	GO:0042910	3	TRINITY_DN234174_c0_g1	0
"xenobiotic transmembrane transporter activity"	GO:0042910	3	TRINITY_DN292387_c1_g4	0.676579859164192
"xenobiotic transmembrane transporter activity"	GO:0042910	3	TRINITY_DN292387_c5_g1	0.4335771178868
"xenobiotic transmembrane transporter activity"	GO:0042910	3	TRINITY_DN292387_c8_g1	0
"xenobiotic transmembrane transporter activity"	GO:0042910	3	TRINITY_DN294107_c0_g1	0
"xenobiotic transmembrane transporter activity"	GO:0042910	3	TRINITY_DN294107_c0_g2	0.665878272425046
"xenobiotic transmembrane transporter activity"	GO:0042910	3	TRINITY_DN295225_c0_g1	0.545824336458428
"xenobiotic transmembrane transporter activity"	GO:0042910	3	TRINITY_DN295225_c0_g2	0.773485642927286
"xenobiotic transmembrane transporter activity"	GO:0042910	3	TRINITY_DN295225_c1_g1	0.806881520827376
"xenobiotic transmembrane transporter activity"	GO:0042910	3	TRINITY_DN296770_c3_g3	0
"xenobiotic transmembrane transporter activity"	GO:0042910	3	TRINITY_DN298862_c0_g2	0.311666424834668
"xenobiotic transmembrane transporter activity"	GO:0042910	3	TRINITY_DN34988_c0_g1	0
"xenobiotic transmembrane transporter activity"	GO:0042910	3	TRINITY_DN678722_c0_g1	0
"sodium ion transmembrane transporter activity"	GO:0015081	2	TRINITY_DN226665_c1_g1	0
"sodium ion transmembrane transporter activity"	GO:0015081	2	TRINITY_DN251093_c0_g1	0
"sodium ion transmembrane transporter activity"	GO:0015081	2	TRINITY_DN255962_c0_g1	0
"sodium ion transmembrane transporter activity"	GO:0015081	2	TRINITY_DN277378_c0_g1	0
"sodium ion transmembrane transporter activity"	GO:0015081	2	TRINITY_DN293347_c0_g1	0
"sodium ion transmembrane transporter activity"	GO:0015081	2	TRINITY_DN311493_c0_g1	0
"sodium ion transmembrane transporter activity"	GO:0015081	2	TRINITY_DN317254_c3_g1	0
"sodium ion transmembrane transporter activity"	GO:0015081	2	TRINITY_DN380313_c0_g1	0
"sodium ion transmembrane transporter activity"	GO:0015081	2	TRINITY_DN65927_c0_g1	0
"oxidoreductase activity, acting on CH or CH2 groups"	GO:0016725	3	TRINITY_DN254030_c0_g1	0
"oxidoreductase activity, acting on CH or CH2 groups"	GO:0016725	3	TRINITY_DN254030_c0_g2	0
"oxidoreductase activity, acting on CH or CH2 groups"	GO:0016725	3	TRINITY_DN274001_c0_g1	0
"oxidoreductase activity, acting on CH or CH2 groups"	GO:0016725	3	TRINITY_DN274827_c0_g1	0
"oxidoreductase activity, acting on CH or CH2 groups"	GO:0016725	3	TRINITY_DN664099_c0_g1	0
"magnesium chelatase activity"	GO:0016851;GO:0051003;GO:0051002	4	TRINITY_DN312748_c0_g1	0
