TRINITY_DN111543_c0_g1	Peroxisomal acyl-coenzyme A oxidase 1 (AOX 1) (EC 1.3.3.6) (Long-chain acyl-CoA oxidase) (AtCX1)
TRINITY_DN139711_c0_g1	Polyadenylate-binding protein (PABP) (Poly(A)-binding protein)
TRINITY_DN172833_c0_g1	Gibberellin 2-beta-dioxygenase 8 (EC 1.14.11.13) (GA 2-oxidase 8) (Gibberellin 2-beta-hydroxylase 8) (Gibberellin 2-oxidase 8)
TRINITY_DN226686_c0_g1	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase) (Protein FX) (Red cell NADP(H)-binding protein) (Short-chain dehydrogenase/reductase family 4E member 1)
TRINITY_DN228040_c0_g1	Nucleolar GTP-binding protein 1 (Chronic renal failure gene protein) (GTP-binding protein NGB)
TRINITY_DN228042_c0_g1	Serine/threonine-protein kinase haspin homolog (AtHaspin) (EC 2.7.11.1)
TRINITY_DN234177_c0_g1	BTB/POZ domain-containing protein At5g47800
TRINITY_DN252333_c0_g1	Amino acid permease 6 (Amino acid transporter AAP6)
TRINITY_DN255905_c0_g1	Cyclin-dependent kinase-like 5 (EC 2.7.11.22) (Serine/threonine-protein kinase 9)
TRINITY_DN271251_c0_g1	COP9 signalosome complex subunit 2 (Signalosome subunit 2) (Protein FUSCA 12)
TRINITY_DN274635_c0_g1	Adenylate kinase isoenzyme 6 homolog FAP7 (AK6) (EC 2.7.4.3) (Dual activity adenylate kinase/ATPase) (AK/ATPase) (POS9-activating factor 7)
TRINITY_DN276572_c0_g1	Chromodomain-helicase-DNA-binding protein 4 (CHD-4) (EC 3.6.4.12)
TRINITY_DN276992_c0_g1	Eukaryotic initiation factor 4A-III (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13)
TRINITY_DN277043_c0_g1	25S rRNA (cytosine(2870)-C(5))-methyltransferase (EC 2.1.1.310) (Nucleolar protein 2)
TRINITY_DN277043_c0_g2	25S rRNA (cytosine(2870)-C(5))-methyltransferase (EC 2.1.1.310) (Nucleolar protein 2)
TRINITY_DN277215_c0_g1	Peptide methionine sulfoxide reductase MsrA 1 (Protein-methionine-S-oxide reductase 1) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase 1) (Peptide Met(O) reductase 1)
TRINITY_DN277915_c0_g1	Elongation factor 3 (EF-3)
TRINITY_DN278325_c0_g1	Pumilio domain-containing protein C6G9.14
TRINITY_DN278343_c0_g1	Protein SDA1 homolog (SDA1 domain-containing protein 1 homolog)
TRINITY_DN292331_c0_g1	U4/U6.U5 tri-snRNP-associated protein 1 (SNU66 homolog) (hSnu66) (Squamous cell carcinoma antigen recognized by T-cells 1) (SART-1) (hSART-1) (U4/U6.U5 tri-snRNP-associated 110 kDa protein) (allergen Hom s 1)
