Q54IP4	TRINITY_DN173970_c0_g1	GO:0004674; GO:0004713; GO:0005524; GO:0016020
Q8Y457	TRINITY_DN251191_c0_g2	GO:0003723; GO:0009982; GO:0031119; GO:0106029
Q0V6M5	TRINITY_DN66609_c0_g1	GO:0004310; GO:0006696; GO:0016021; GO:0016117; GO:0016767; GO:0016872; GO:0051996
Q8IXJ6	TRINITY_DN255273_c0_g1	GO:0000122; GO:0000183; GO:0000781; GO:0003682; GO:0004407; GO:0005634; GO:0005677; GO:0005694; GO:0005720; GO:0005730; GO:0005737; GO:0005739; GO:0005813; GO:0005814; GO:0005819; GO:0005829; GO:0005874; GO:0005886; GO:0006342; GO:0006348; GO:0006471; GO:0006476; GO:0006914; GO:0007096; GO:0008134; GO:0008270; GO:0008285; GO:0010507; GO:0010801; GO:0014065; GO:0016458; GO:0016575; GO:0017136; GO:0021762; GO:0022011; GO:0030426; GO:0030496; GO:0031641; GO:0032436; GO:0033010; GO:0033270; GO:0033558; GO:0034599; GO:0034979; GO:0034983; GO:0035035; GO:0035729; GO:0042177; GO:0042325; GO:0042826; GO:0042903; GO:0043130; GO:0043161; GO:0043204; GO:0043209; GO:0043219; GO:0043220; GO:0043388; GO:0043491; GO:0044224; GO:0044242; GO:0045087; GO:0045599; GO:0045836; GO:0045843; GO:0045892; GO:0045944; GO:0046970; GO:0048012; GO:0048471; GO:0051301; GO:0051321; GO:0051726; GO:0051775; GO:0051781; GO:0051987; GO:0061428; GO:0061433; GO:0070403; GO:0070446; GO:0070932; GO:0070933; GO:0071219; GO:0071456; GO:0071872; GO:0072686; GO:0072687; GO:0090042; GO:0097386; GO:1900119; GO:1900195; GO:1900226; GO:1900425; GO:2000378; GO:2000777
Q5BJJ7	TRINITY_DN255903_c0_g1	GO:0000079; GO:0000132; GO:0000226; GO:0005634; GO:0005813; GO:0005814; GO:0006281; GO:0006974; GO:0007052; GO:0015631; GO:0019207; GO:0034453; GO:0090307; GO:0097431
Q29350	TRINITY_DN256449_c0_g1	GO:0000398; GO:0005681; GO:0016607; GO:0030628; GO:0046872; GO:0089701
Q6AYG5	TRINITY_DN259150_c0_g1	GO:0004300; GO:0005829; GO:0006635; GO:0016831
P35728	TRINITY_DN271642_c0_g1	GO:0005634; GO:0005829; GO:0005847; GO:0006378; GO:0008270; GO:0016567; GO:0036002; GO:0061630; GO:0098789
O42881	TRINITY_DN271666_c1_g1	GO:0002084; GO:0005634; GO:0005737; GO:0005829; GO:0006631; GO:0008474; GO:0052689
Q6P7K0	TRINITY_DN274712_c0_g1	GO:0005829; GO:0016787
P14318	TRINITY_DN274805_c0_g2	GO:0003779; GO:0005737; GO:0007520; GO:1901739
Q724J4	TRINITY_DN274840_c0_g1	GO:0004422; GO:0005524; GO:0005737; GO:0006166; GO:0006400; GO:0016879; GO:0046872; GO:0052657
Q54HM6	TRINITY_DN2119_c0_g1	GO:0005507; GO:0005739; GO:0005743; GO:0009060; GO:0016021; GO:0065003
Q8CHB8	TRINITY_DN276416_c0_g1	GO:0005524; GO:0005634; GO:0005813; GO:0005829; GO:0005874; GO:0005886; GO:0005929; GO:0007283; GO:0007288; GO:0009566; GO:0016874; GO:0018095; GO:0030317; GO:0060041
Q8C0T9	TRINITY_DN277082_c0_g1	GO:0000287; GO:0003351; GO:0004016; GO:0005524; GO:0005576; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0006171; GO:0007283; GO:0015630; GO:0016020; GO:0016324; GO:0030145; GO:0030424; GO:0030425; GO:0030426; GO:0031514; GO:0035556; GO:0043025; GO:0043065; GO:0045177; GO:0045178; GO:0048471; GO:0051117; GO:0071241; GO:0071890
Q5R3I4	TRINITY_DN277202_c0_g1	GO:0070062
E5A7I6	TRINITY_DN277209_c0_g1	GO:0004185; GO:0005773
Q55E58	TRINITY_DN277328_c0_g1	GO:0000281; GO:0004674; GO:0004721; GO:0005524; GO:0005525; GO:0006470; GO:0042641; GO:0099139
O31782	TRINITY_DN277371_c0_g1	GO:0005737; GO:0008152; GO:0016746; GO:0016874; GO:0031177
Q9C1X4	TRINITY_DN278382_c0_g1	GO:0005634; GO:0006511; GO:0008270; GO:0030433; GO:0043161; GO:0061630; GO:0070647
Q1DDU5	TRINITY_DN278906_c0_g1	GO:0005737; GO:0006569; GO:0019805; GO:0030170; GO:0030429; GO:0034354; GO:0043420; GO:0097053
Q20065	TRINITY_DN278965_c0_g1	GO:0004656; GO:0005506; GO:0005783; GO:0005788; GO:0016702; GO:0018401; GO:0031418; GO:0031545; GO:0043412; GO:0055114
O14792	TRINITY_DN278968_c0_g1	GO:0005796; GO:0006024; GO:0008146; GO:0008467; GO:0015012; GO:0034483
Q979Z2	TRINITY_DN22073_c0_g1	GO:0005267; GO:0005886; GO:0016021; GO:0046872
Q8N8W4	TRINITY_DN292324_c0_g1	GO:0004806; GO:0005737; GO:0005811; GO:0016020; GO:0019433; GO:0055088
P08842	TRINITY_DN292353_c0_g1	GO:0004065; GO:0004773; GO:0005764; GO:0005768; GO:0005783; GO:0005788; GO:0005789; GO:0005794; GO:0005886; GO:0006687; GO:0006706; GO:0007565; GO:0008484; GO:0008544; GO:0016020; GO:0016021; GO:0043231; GO:0046872
P20825	TRINITY_DN292370_c1_g7	GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074
P10567	TRINITY_DN293386_c0_g1	GO:0003774; GO:0005815; GO:0008092; GO:0017124; GO:0019901; GO:0030241; GO:0031672; GO:0032982; GO:0040011; GO:0051493; GO:0060279; GO:0060298
Q8TZW4	TRINITY_DN293894_c0_g2	GO:0004177; GO:0008237; GO:0046872
O35587	TRINITY_DN294657_c0_g1	GO:0000139; GO:0005789; GO:0005886; GO:0006886; GO:0006890; GO:0007030; GO:0016021; GO:0019905; GO:0030137; GO:0030140; GO:0030658; GO:0033116; GO:0035964; GO:0042470; GO:0042589; GO:0045055; GO:0070765; GO:1902003
Q8R151	TRINITY_DN294754_c0_g1	GO:0000775; GO:0003700; GO:0003723; GO:0005634; GO:0008270; GO:0030702; GO:0031048; GO:0031380
Q8NBK3	TRINITY_DN294773_c0_g2	GO:0005783; GO:0005788; GO:0006687; GO:0016491; GO:0018158; GO:0042803; GO:0043687; GO:0120147; GO:1903135
Q8NBK3	TRINITY_DN294773_c0_g3	GO:0005783; GO:0005788; GO:0006687; GO:0016491; GO:0018158; GO:0042803; GO:0043687; GO:0120147; GO:1903135
P35133	TRINITY_DN294779_c0_g2	GO:0004842; GO:0005524; GO:0006511; GO:0031625; GO:0061631
Q29RV1	TRINITY_DN226644_c0_g1	GO:0003756; GO:0005783; GO:0005788; GO:0006457; GO:0009986; GO:0034976; GO:0042470; GO:0045454
Q9ZT94	TRINITY_DN294779_c1_g3	GO:0000943; GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0006310; GO:0015074; GO:0046872
P27484	TRINITY_DN295087_c0_g1	GO:0003723; GO:0008270
P29830	TRINITY_DN295214_c0_g1	GO:0000302; GO:0005737; GO:0006457; GO:0009408; GO:0009644; GO:0009651; GO:0042542; GO:0043621; GO:0051082; GO:0051259
P29830	TRINITY_DN295214_c0_g2	GO:0000302; GO:0005737; GO:0006457; GO:0009408; GO:0009644; GO:0009651; GO:0042542; GO:0043621; GO:0051082; GO:0051259
O26884	TRINITY_DN295219_c1_g1	GO:0016747
Q1ZXD6	TRINITY_DN295224_c1_g1	GO:0004674; GO:0005089; GO:0005524; GO:0005525; GO:0030587; GO:0035023
Q5JJY4	TRINITY_DN295269_c0_g2	GO:0004674; GO:0004722; GO:0004724; GO:0005524; GO:0046872
