seq	ProteinN
TRINITY_DN312737_c2_g2	Jouberin (Abelson helper integration site 1 protein) (AHI-1)
TRINITY_DN271666_c1_g1	Acyl-protein thioesterase 1 (EC 3.1.2.-)
TRINITY_DN271666_c1_g1	Acyl-protein thioesterase 1 (EC 3.1.2.-)
TRINITY_DN296708_c0_g1	DPH4 homolog (DnaJ homolog subfamily C member 24)
TRINITY_DN233011_c0_g1	Probable serine/threonine-protein kinase pats1 (EC 2.7.11.1) (Protein associated with the transduction of signal 1)
TRINITY_DN277328_c0_g1	Probable serine/threonine-protein kinase pats1 (EC 2.7.11.1) (Protein associated with the transduction of signal 1)
TRINITY_DN299789_c0_g2	Probable serine/threonine-protein kinase pats1 (EC 2.7.11.1) (Protein associated with the transduction of signal 1)
TRINITY_DN311731_c0_g1	Zygote defective protein 9
TRINITY_DN311493_c0_g1	Sodium/potassium-transporting ATPase subunit alpha (Na(+)/K(+) ATPase alpha subunit) (EC 7.2.2.13) (Sodium pump subunit alpha)
TRINITY_DN271666_c1_g1	Acyl-protein thioesterase 1 (EC 3.1.2.-)
TRINITY_DN311731_c0_g1	Zygote defective protein 9
TRINITY_DN233011_c0_g1	Probable serine/threonine-protein kinase pats1 (EC 2.7.11.1) (Protein associated with the transduction of signal 1)
TRINITY_DN277328_c0_g1	Probable serine/threonine-protein kinase pats1 (EC 2.7.11.1) (Protein associated with the transduction of signal 1)
TRINITY_DN299789_c0_g2	Probable serine/threonine-protein kinase pats1 (EC 2.7.11.1) (Protein associated with the transduction of signal 1)
TRINITY_DN256449_c0_g1	Splicing factor U2AF 35 kDa subunit (U2 auxiliary factor 35 kDa subunit) (U2 snRNP auxiliary factor small subunit) (Fragment)
TRINITY_DN296708_c0_g1	DPH4 homolog (DnaJ homolog subfamily C member 24)
TRINITY_DN255273_c0_g1	NAD-dependent protein deacetylase sirtuin-2 (EC 3.5.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)
TRINITY_DN311716_c0_g2	Epidermal retinol dehydrogenase 2 (EPHD-2) (RDH-E2) (EC 1.1.1.105) (Retinal short-chain dehydrogenase reductase 2) (retSDR2) (Short-chain dehydrogenase/reductase family 16C member 5)
TRINITY_DN255273_c0_g1	NAD-dependent protein deacetylase sirtuin-2 (EC 3.5.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)
TRINITY_DN311716_c0_g2	Epidermal retinol dehydrogenase 2 (EPHD-2) (RDH-E2) (EC 1.1.1.105) (Retinal short-chain dehydrogenase reductase 2) (retSDR2) (Short-chain dehydrogenase/reductase family 16C member 5)
TRINITY_DN255273_c0_g1	NAD-dependent protein deacetylase sirtuin-2 (EC 3.5.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)
TRINITY_DN311716_c0_g2	Epidermal retinol dehydrogenase 2 (EPHD-2) (RDH-E2) (EC 1.1.1.105) (Retinal short-chain dehydrogenase reductase 2) (retSDR2) (Short-chain dehydrogenase/reductase family 16C member 5)
TRINITY_DN256449_c0_g1	Splicing factor U2AF 35 kDa subunit (U2 auxiliary factor 35 kDa subunit) (U2 snRNP auxiliary factor small subunit) (Fragment)
TRINITY_DN296708_c0_g1	DPH4 homolog (DnaJ homolog subfamily C member 24)
TRINITY_DN311731_c0_g1	Zygote defective protein 9
TRINITY_DN311493_c0_g1	Sodium/potassium-transporting ATPase subunit alpha (Na(+)/K(+) ATPase alpha subunit) (EC 7.2.2.13) (Sodium pump subunit alpha)
TRINITY_DN255273_c0_g1	NAD-dependent protein deacetylase sirtuin-2 (EC 3.5.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)
TRINITY_DN311716_c0_g2	Epidermal retinol dehydrogenase 2 (EPHD-2) (RDH-E2) (EC 1.1.1.105) (Retinal short-chain dehydrogenase reductase 2) (retSDR2) (Short-chain dehydrogenase/reductase family 16C member 5)
TRINITY_DN255273_c0_g1	NAD-dependent protein deacetylase sirtuin-2 (EC 3.5.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)
TRINITY_DN255903_c0_g1	Protein BCCIP homolog
TRINITY_DN299755_c1_g3	Protein phosphatase 2C homolog 3 (PP2C-3) (EC 3.1.3.16)
TRINITY_DN311716_c0_g2	Epidermal retinol dehydrogenase 2 (EPHD-2) (RDH-E2) (EC 1.1.1.105) (Retinal short-chain dehydrogenase reductase 2) (retSDR2) (Short-chain dehydrogenase/reductase family 16C member 5)
