geneIDs	logFC	logCPM	FDR	edgeR.pvalue	BPGO	MFGO
1	TRINITY_DN38592_c0_g1	-8.95634970143521	3.12011810738283	0.00769110230962945	0.000857328044207483	negative regulation of cellulose biosynthetic process [GO:2001007]	
2	TRINITY_DN296362_c0_g2	-14.4054821416874	5.05484956443749	9.23894458310844e-05	5.61202449636312e-06	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]	
3	TRINITY_DN295071_c1_g1	-7.50444870584481	9.273160041984	4.54530108355701e-08	1.65951218882695e-09	protein autophosphorylation [GO:0046777]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
4	TRINITY_DN314109_c1_g1	-12.4869359413913	5.65178637431173	0.000125313119898652	7.89533388699101e-06	ribosome biogenesis [GO:0042254]	snoRNA binding [GO:0030515]
5	TRINITY_DN314157_c1_g1	-13.6487860010172	5.5543358308884	5.4300554257966e-05	3.21066282042255e-06	protein phosphorylation [GO:0006468]; tRNA processing [GO:0008033]; tRNA threonylcarbamoyladenosine metabolic process [GO:0070525]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; protein serine/threonine kinase activity [GO:0004674]
6	TRINITY_DN311788_c0_g1	-11.3163646919577	5.72973375738932	0.00016658974259947	1.09265647003853e-05	tRNA pseudouridine synthesis [GO:0031119]	RNA binding [GO:0003723]; tRNA pseudouridine synthase activity [GO:0106029]
7	TRINITY_DN299658_c5_g1	-7.04976316891072	8.54776446000242	1.91290902944418e-06	8.52928743338602e-08		calmodulin binding [GO:0005516]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]
8	TRINITY_DN298476_c0_g1	-6.17949162017213	9.30297943020024	7.24633247222062e-07	2.87980256569672e-08	formation of cytoplasmic translation initiation complex [GO:0001732]; translational initiation [GO:0006413]; translation reinitiation [GO:0002188]	mRNA binding [GO:0003729]; translation initiation factor activity [GO:0003743]
9	TRINITY_DN293818_c3_g2	-9.49878072063545	4.93556153178881	0.00240516165340554	0.000217634454952849	cellular response to calcium ion [GO:0071277]; cellular response to oxidative stress [GO:0034599]; mitochondrial transport [GO:0006839]; regulation of cell death [GO:0010941]	ATP transmembrane transporter activity [GO:0005347]; calcium ion binding [GO:0005509]
10	TRINITY_DN316228_c3_g1	-4.82801423908781	9.32697480990176	1.16135102456978e-05	6.22889402515617e-07	gene silencing by RNA [GO:0031047]; regulation of translation [GO:0006417]	
11	TRINITY_DN311070_c0_g3	-9.95532516473976	8.84252799649673	6.0203619676682e-07	2.35367947685897e-08	photosynthetic electron transport in photosystem I [GO:0009773]	2 iron, 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]
12	TRINITY_DN276293_c0_g1	-11.9164848682761	2.69905811648833	0.00344364462250325	0.00033487780842088		
13	TRINITY_DN251094_c0_g1	-11.6137891335525	2.58839853092571	0.00421023736483396	0.000427145244768292	protein ubiquitination [GO:0016567]	metal ion binding [GO:0046872]; transferase activity [GO:0016740]
14	TRINITY_DN293499_c0_g1	-11.7445216224371	9.24847103426427	3.87169902654722e-08	1.40106717600416e-09	gene silencing by RNA [GO:0031047]	nucleic acid binding [GO:0003676]
15	TRINITY_DN296362_c0_g5	-8.53357073222925	7.29933524522993	1.75774711708488e-05	9.76841693501126e-07	cell cycle [GO:0007049]; cell division [GO:0051301]; mitochondrial fission [GO:0000266]; mitochondrion organization [GO:0007005]; pollen maturation [GO:0010152]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; microtubule binding [GO:0008017]
16	TRINITY_DN312001_c0_g1	-7.63686262524981	9.20885940679368	6.7132336034428e-07	2.64625040264951e-08	guanosine tetraphosphate metabolic process [GO:0015969]; leaf senescence [GO:0010150]; photosynthesis [GO:0015979]; response to wounding [GO:0009611]	ATP binding [GO:0005524]; GTP binding [GO:0005525]; GTP diphosphokinase activity [GO:0008728]; guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity [GO:0008893]; kinase activity [GO:0016301]
17	TRINITY_DN278824_c0_g1	-8.53201591092851	6.8614800871797	4.53866855373493e-05	2.6542778941067e-06		ATPase activity [GO:0016887]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; ribosomal large subunit binding [GO:0043023]; ribosome binding [GO:0043022]
18	TRINITY_DN298147_c1_g1	-8.1423835706113	5.19162264057671	0.00245944172435139	0.000226475247638173		
19	TRINITY_DN293456_c0_g2	-10.8788219861365	7.10556006664936	2.75332948317985e-05	1.54791382899287e-06	protein ubiquitination [GO:0016567]	metal ion binding [GO:0046872]; transferase activity [GO:0016740]; ubiquitin protein ligase binding [GO:0031625]
20	TRINITY_DN277053_c0_g1	-9.79598170075459	8.8808198554677	1.94008877390961e-06	8.7758458270548e-08	cellular ion homeostasis [GO:0006873]; chloride transport [GO:0006821]; response to salt stress [GO:0009651]; response to water deprivation [GO:0009414]	voltage-gated anion channel activity [GO:0008308]
21	TRINITY_DN524499_c0_g1	-6.85834649206712	5.14998161697359	0.00832061152800036	0.000938253125451414	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]
22	TRINITY_DN316210_c3_g3	-9.91432928598931	6.37075355950806	9.46779382386184e-05	5.78162530762484e-06	translation [GO:0006412]	
