name	term	lev	seq	value
"DNA replication origin binding"	GO:0003688	2	TRINITY_DN226749_c0_g1	0.906600603650402
"DNA replication origin binding"	GO:0003688	2	TRINITY_DN238638_c0_g1	0
"DNA replication origin binding"	GO:0003688	2	TRINITY_DN293388_c2_g2	0
"DNA replication origin binding"	GO:0003688	2	TRINITY_DN296273_c0_g1	0
"DNA replication origin binding"	GO:0003688	2	TRINITY_DN299722_c0_g3	0
"DNA replication origin binding"	GO:0003688	2	TRINITY_DN299722_c1_g1	0
"DNA replication origin binding"	GO:0003688	2	TRINITY_DN312745_c1_g1	0
"DNA replication origin binding"	GO:0003688	2	TRINITY_DN312745_c1_g3	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN136912_c0_g1	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN211162_c0_g1	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN222132_c0_g1	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN235359_c0_g1	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN256595_c0_g1	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN271278_c0_g1	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN276081_c0_g1	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN276081_c0_g2	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN276609_c0_g1	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN296211_c0_g1	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN310761_c3_g6	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN311791_c2_g1	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN314103_c0_g1	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN314103_c0_g2	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN314103_c0_g3	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN314868_c0_g1	0.915400688390216
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN3980_c0_g1	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN401797_c0_g1	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN64302_c0_g1	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN6639_c0_g1	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN296377_c0_g1	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN296377_c0_g2	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN299750_c2_g1	0
"5'-3' RNA polymerase activity"	GO:0003899;GO:0034062;GO:0097747	4	TRINITY_DN317245_c1_g1	0
"transferase activity, transferring sulfur-containing groups"	GO:0016782	2	TRINITY_DN154815_c0_g1	0.654989331607902
"transferase activity, transferring sulfur-containing groups"	GO:0016782	2	TRINITY_DN238614_c0_g1	0
"transferase activity, transferring sulfur-containing groups"	GO:0016782	2	TRINITY_DN312007_c1_g4	0
"transferase activity, transferring sulfur-containing groups"	GO:0016782	2	TRINITY_DN312733_c0_g2	0
"transferase activity, transferring sulfur-containing groups"	GO:0016782	2	TRINITY_DN312733_c0_g3	0
"transferase activity, transferring sulfur-containing groups"	GO:0016782	2	TRINITY_DN318595_c0_g1	0
"transferase activity, transferring sulfur-containing groups"	GO:0016782	2	TRINITY_DN4493_c0_g1	0
"nucleoside monophosphate kinase activity"	GO:0050145	3	TRINITY_DN223802_c0_g1	0
"nucleoside monophosphate kinase activity"	GO:0050145	3	TRINITY_DN274635_c0_g1	0
"nucleoside monophosphate kinase activity"	GO:0050145	3	TRINITY_DN278346_c0_g1	0.915787872689086
"nucleoside monophosphate kinase activity"	GO:0050145	3	TRINITY_DN298603_c0_g1	0
"nucleoside monophosphate kinase activity"	GO:0050145	3	TRINITY_DN299042_c0_g1	0
"nucleoside monophosphate kinase activity"	GO:0050145	3	TRINITY_DN299200_c0_g1	0
"nucleoside monophosphate kinase activity"	GO:0050145	3	TRINITY_DN375669_c0_g1	0
"nucleoside monophosphate kinase activity"	GO:0050145	3	TRINITY_DN48344_c0_g1	0
"quinone binding"	GO:0048038	2	TRINITY_DN294655_c4_g1	0
"quinone binding"	GO:0048038	2	TRINITY_DN294655_c4_g2	0
"quinone binding"	GO:0048038	2	TRINITY_DN314622_c5_g1	0
"quinone binding"	GO:0048038	2	TRINITY_DN314622_c5_g2	0
"quinone binding"	GO:0048038	2	TRINITY_DN314622_c5_g6	0
"fatty acid binding"	GO:0003997;GO:0016634;GO:0005504	4	TRINITY_DN111543_c0_g1	0
"fatty acid binding"	GO:0003997;GO:0016634;GO:0005504	4	TRINITY_DN314170_c1_g1	0
"fatty acid binding"	GO:0003997;GO:0016634;GO:0005504	4	TRINITY_DN314170_c2_g1	0
"fatty acid binding"	GO:0003997;GO:0016634;GO:0005504	4	TRINITY_DN314170_c3_g1	0
"fatty acid binding"	GO:0003997;GO:0016634;GO:0005504	4	TRINITY_DN314170_c4_g1	0
"fatty acid binding"	GO:0003997;GO:0016634;GO:0005504	4	TRINITY_DN314641_c0_g1	0
"fatty acid binding"	GO:0003997;GO:0016634;GO:0005504	4	TRINITY_DN649994_c0_g1	0
"fatty acid binding"	GO:0003997;GO:0016634;GO:0005504	4	TRINITY_DN617155_c0_g1	0
"fatty acid binding"	GO:0003997;GO:0016634;GO:0005504	4	TRINITY_DN296776_c0_g1	0
"phosphoprotein phosphatase activity"	GO:0004721	2	TRINITY_DN111592_c0_g1	0
"phosphoprotein phosphatase activity"	GO:0004721	2	TRINITY_DN256575_c0_g1	0
"phosphoprotein phosphatase activity"	GO:0004721	2	TRINITY_DN256575_c0_g2	0
"phosphoprotein phosphatase activity"	GO:0004721	2	TRINITY_DN256589_c0_g1	0
"phosphoprotein phosphatase activity"	GO:0004721	2	TRINITY_DN256627_c0_g1	0
"phosphoprotein phosphatase activity"	GO:0004721	2	TRINITY_DN292971_c0_g1	0
"phosphoprotein phosphatase activity"	GO:0004721	2	TRINITY_DN292971_c0_g2	0.961174435045674
"phosphoprotein phosphatase activity"	GO:0004721	2	TRINITY_DN292971_c0_g3	0
"phosphoprotein phosphatase activity"	GO:0004721	2	TRINITY_DN293332_c0_g1	0
"phosphoprotein phosphatase activity"	GO:0004721	2	TRINITY_DN293890_c1_g1	0
"phosphoprotein phosphatase activity"	GO:0004721	2	TRINITY_DN294612_c2_g1	0
"phosphoprotein phosphatase activity"	GO:0004721	2	TRINITY_DN294612_c4_g1	0
"phosphoprotein phosphatase activity"	GO:0004721	2	TRINITY_DN294612_c5_g1	0
"phosphoprotein phosphatase activity"	GO:0004721	2	TRINITY_DN294612_c6_g1	0
"phosphoprotein phosphatase activity"	GO:0004721	2	TRINITY_DN294612_c7_g2	0
"phosphoprotein phosphatase activity"	GO:0004721	2	TRINITY_DN294612_c7_g4	0
