Q7ZX51	TRINITY_DN102431_c0_g1	GO:0000049; GO:0004831; GO:0005524; GO:0005737; GO:0006437
O49561	TRINITY_DN172833_c0_g1	GO:0009685; GO:0009686; GO:0046872; GO:0051213; GO:0052635
Q47UW0	TRINITY_DN276081_c0_g2	GO:0003677; GO:0003899; GO:0006351
Q5XHZ0	TRINITY_DN276264_c0_g1	GO:0003723; GO:0005524; GO:0005654; GO:0005739; GO:0005743; GO:0005758; GO:0005759; GO:0006457; GO:0009386; GO:0019901; GO:0051082; GO:1901856; GO:1903751
P0CH36	TRINITY_DN276264_c0_g3	GO:0008106; GO:0008270
P09444	TRINITY_DN276293_c0_g1	
Q9LJ97	TRINITY_DN276293_c0_g2	GO:0005634; GO:0005730; GO:0005829; GO:0006873; GO:0009845; GO:0010226
P00125	TRINITY_DN276409_c0_g1	GO:0005739; GO:0005743; GO:0005750; GO:0006122; GO:0016021; GO:0020037; GO:0042776; GO:0045153; GO:0046872
Q3IJK2	TRINITY_DN276418_c0_g1	GO:0003735; GO:0006412; GO:0015935; GO:0019843
Q9M8M3	TRINITY_DN276445_c0_g1	GO:0005739
Q9SPK4	TRINITY_DN276539_c0_g1	GO:0004674; GO:0004683; GO:0005516; GO:0005524; GO:0005634; GO:0005737; GO:0009416; GO:0009738; GO:0009931; GO:0018105; GO:0035556; GO:0046777; GO:0046898
F4JRF4	TRINITY_DN276554_c0_g1	GO:0000701; GO:0005634; GO:0006281; GO:0006284; GO:0006298; GO:0032357; GO:0034039; GO:0035485; GO:0046872; GO:0051539
Q5I0P2	TRINITY_DN172940_c0_g1	GO:0004047; GO:0005739; GO:0005960; GO:0009249; GO:0019464; GO:0019899
Q6PDQ2	TRINITY_DN276572_c0_g1	GO:0000122; GO:0001103; GO:0003677; GO:0004386; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0006325; GO:0008134; GO:0016581; GO:0032991; GO:0032993; GO:0042826; GO:0046872; GO:0072553
Q963B7	TRINITY_DN276582_c0_g1	GO:0003735; GO:0005840; GO:0006412; GO:0019843
Q8GUI4	TRINITY_DN276586_c0_g1	GO:0005886; GO:0009506; GO:0031225; GO:0046658
Q08DH3	TRINITY_DN276607_c0_g1	GO:0000049; GO:0002098; GO:0005634; GO:0005737; GO:0016300; GO:0016706
P97501	TRINITY_DN276631_c0_g2	GO:0004497; GO:0004499; GO:0005789; GO:0016021; GO:0016597; GO:0017144; GO:0034899; GO:0043231; GO:0050660; GO:0050661
P26360	TRINITY_DN276843_c0_g1	GO:0005743; GO:0015986; GO:0045261; GO:0046933
Q0VD24	TRINITY_DN276910_c0_g1	GO:0005634; GO:0005694; GO:0008270; GO:0010452; GO:0042800; GO:0046975; GO:0051568
Q0VD24	TRINITY_DN276910_c0_g2	GO:0005634; GO:0005694; GO:0008270; GO:0010452; GO:0042800; GO:0046975; GO:0051568
P0A356	TRINITY_DN276935_c0_g1	GO:0003677; GO:0005737
Q01085	TRINITY_DN276943_c0_g1	GO:0003677; GO:0003723; GO:0005634; GO:0005654; GO:0005737; GO:0005764; GO:0006357; GO:0006915; GO:0006952; GO:0007281; GO:0008284; GO:0008543; GO:0010494; GO:0017145; GO:0035925
P29057	TRINITY_DN175296_c0_g1	GO:0004420; GO:0005789; GO:0008299; GO:0015936; GO:0016021; GO:0031966; GO:0042170; GO:0050662
Q9CA40	TRINITY_DN276974_c0_g1	GO:0000210; GO:0005829; GO:0006203; GO:0006974; GO:0008413; GO:0019177; GO:0035539; GO:0046872
F4JVI3	TRINITY_DN276983_c0_g1	GO:0003690; GO:0006353; GO:0006355; GO:0006970; GO:0009507; GO:0009651; GO:0009658; GO:0009737; GO:0032502
Q9VHS8	TRINITY_DN276992_c0_g1	GO:0000398; GO:0003723; GO:0004386; GO:0005524; GO:0005634; GO:0006325; GO:0008380; GO:0010628; GO:0045451; GO:0045495; GO:0051028; GO:0071011; GO:0071013; GO:1903040
Q94K73	TRINITY_DN277000_c0_g1	GO:0000049; GO:0004826; GO:0005524; GO:0005737; GO:0005739; GO:0005759; GO:0006432; GO:0009507; GO:0009570; GO:0016020
Q8W4A5	TRINITY_DN277003_c0_g1	GO:0003723; GO:0009507
P40991	TRINITY_DN277043_c0_g1	GO:0000463; GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0009383; GO:0030687; GO:0031167; GO:0042273; GO:0070475; GO:1902626
P40991	TRINITY_DN277043_c0_g2	GO:0000463; GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0009383; GO:0030687; GO:0031167; GO:0042273; GO:0070475; GO:1902626
Q05627	TRINITY_DN277047_c0_g1	
Q9FLV9	TRINITY_DN277053_c0_g1	GO:0005886; GO:0006821; GO:0006873; GO:0008308; GO:0009414; GO:0009651; GO:0016021
P37891	TRINITY_DN277209_c0_g1	GO:0004185; GO:0005773; GO:0051603
Q8GWR0	TRINITY_DN2119_c1_g1	GO:0005507; GO:0005739; GO:0005743; GO:0009846; GO:0010101; GO:0032592; GO:0043621; GO:1904960
Q9A9I6	TRINITY_DN277215_c0_g1	GO:0006464; GO:0008113
Q99LE6	TRINITY_DN277252_c0_g1	GO:0005524; GO:0005739; GO:0016887
Q8GZ79	TRINITY_DN277292_c0_g1	GO:0008320; GO:0009706; GO:0016021; GO:0045037
E9F8M3	TRINITY_DN277371_c0_g1	GO:0008168; GO:0016491; GO:0016874; GO:0031177
Q9U1Y5	TRINITY_DN277373_c0_g1	GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0006281; GO:0042770; GO:0044773; GO:0046872; GO:0051301; GO:0051574
Q53P98	TRINITY_DN277393_c0_g1	GO:0005765; GO:0010008; GO:0030660; GO:0033619; GO:0042500; GO:0071458; GO:0071556
O14233	TRINITY_DN277394_c0_g1	GO:0003729; GO:0005634; GO:0005739; GO:0005847; GO:0006378; GO:0006379; GO:0031123; GO:0031440
O81078	TRINITY_DN277395_c0_g1	GO:0004970; GO:0005262; GO:0005886; GO:0006816; GO:0008066; GO:0016021; GO:0019722; GO:0071230
O94489	TRINITY_DN277915_c0_g1	GO:0002182; GO:0003746; GO:0005524; GO:0005829; GO:0016887
Q5N712	TRINITY_DN277933_c0_g1	GO:0003676; GO:0005634; GO:0006338; GO:0006952; GO:0032452; GO:0034647; GO:0035097; GO:0040010; GO:0045815; GO:0046872; GO:0051213; GO:0071558
O42899	TRINITY_DN22035_c0_g1	GO:0005743; GO:0006825; GO:0006878; GO:0016531; GO:0033617
Q92359	TRINITY_DN278325_c0_g1	GO:0000288; GO:0003729; GO:0005829
A7S6A5	TRINITY_DN278343_c0_g1	GO:0000055; GO:0005634; GO:0005730; GO:0030036; GO:0042273
Q9XGY4	TRINITY_DN278380_c0_g1	GO:0005739; GO:0005758; GO:0046872; GO:0072321
Q9CAP8	TRINITY_DN278387_c0_g1	GO:0003996; GO:0004467; GO:0005524; GO:0006631; GO:0009507; GO:0009536; GO:0009941; GO:0016020; GO:0102391
P0ABU3	TRINITY_DN278824_c0_g1	GO:0005524; GO:0005525; GO:0016887; GO:0043022; GO:0043023; GO:0046872
Q8VZQ2	TRINITY_DN278923_c1_g1	GO:0003700; GO:0005634; GO:0009733; GO:0010087; GO:0010089; GO:0010119; GO:0010214; GO:0030154; GO:0043565; GO:0044212; GO:0048364
P34574	TRINITY_DN278928_c0_g1	GO:0005198; GO:0005737; GO:0005886; GO:0005938; GO:0006886; GO:0006898; GO:0008104; GO:0008340; GO:0009792; GO:0009898; GO:0016324; GO:0030130; GO:0030132; GO:0030139; GO:0030866; GO:0031410; GO:0032051; GO:0045176; GO:0045334; GO:0071439; GO:0072686; GO:2000370
Q20065	TRINITY_DN278965_c0_g1	GO:0004656; GO:0005506; GO:0005783; GO:0005788; GO:0016702; GO:0018401; GO:0031418; GO:0031545; GO:0043412; GO:0055114
Q40478	TRINITY_DN278966_c0_g1	GO:0003677; GO:0003700; GO:0005634; GO:0006952; GO:0009873
Q40478	TRINITY_DN278966_c0_g2	GO:0003677; GO:0003700; GO:0005634; GO:0006952; GO:0009873
P74327	TRINITY_DN223640_c0_g1	GO:0004525; GO:0005737; GO:0006364; GO:0019843
P49691	TRINITY_DN292320_c0_g2	GO:0003729; GO:0003735; GO:0005730; GO:0005773; GO:0005774; GO:0005829; GO:0005886; GO:0006412; GO:0009506; GO:0009507; GO:0009735; GO:0016020; GO:0022625; GO:0022626; GO:0042788
O14734	TRINITY_DN292320_c0_g4	GO:0003986; GO:0004778; GO:0005102; GO:0005782; GO:0005829; GO:0006625; GO:0006637; GO:0006699; GO:0009062; GO:0016032; GO:0016289; GO:0016290; GO:0016559; GO:0033540; GO:0033882; GO:0036109; GO:0043649; GO:0045225; GO:0047603; GO:0047617; GO:0047994; GO:0052689; GO:0052815; GO:0102991
O43290	TRINITY_DN292331_c0_g1	GO:0000387; GO:0000398; GO:0000481; GO:0003723; GO:0005634; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0015030; GO:0016607; GO:0045292; GO:0045585; GO:0046540; GO:0071005; GO:0071013
P28748	TRINITY_DN292335_c2_g3	GO:0003924; GO:0005087; GO:0005525; GO:0005634; GO:0005737; GO:0005829; GO:0006606; GO:0010972; GO:0016973; GO:0023052
Q9I8F9	TRINITY_DN292371_c5_g1	GO:0005524; GO:0005737; GO:0005829; GO:0006986; GO:0016887; GO:0031072; GO:0034605; GO:0034620; GO:0042026; GO:0042623; GO:0044183; GO:0051082; GO:0051085; GO:0051787
Q9SK55	TRINITY_DN292378_c0_g2	GO:0003677; GO:0003700; GO:0005634; GO:0005992; GO:0006561; GO:0009718; GO:0010120; GO:0010150; GO:0042538; GO:1900056
Q9ZUU4	TRINITY_DN292382_c1_g2	GO:0003723; GO:0003729; GO:0006397; GO:0008266; GO:0009409; GO:0009507; GO:0009534; GO:0009535; GO:0009570; GO:0009579; GO:0009737; GO:0009941; GO:0010319; GO:0045087; GO:1901259; GO:1990904
O64888	TRINITY_DN292383_c0_g1	GO:0000287; GO:0002189; GO:0004749; GO:0005524; GO:0005737; GO:0006015; GO:0006164; GO:0009116; GO:0009156; GO:0009165; GO:0009507; GO:0009536; GO:0016301
Q09818	TRINITY_DN292384_c0_g1	GO:0000289; GO:0003723; GO:0004842; GO:0005634; GO:0005829; GO:0010629; GO:0016567; GO:0030014; GO:0030015; GO:0046872; GO:0061630
B8B7S5	TRINITY_DN292387_c4_g1	GO:0003677; GO:0003700; GO:0005634; GO:0005737; GO:0006351; GO:0009742; GO:0040008
Q9P783	TRINITY_DN223644_c0_g1	GO:0005634; GO:0005730; GO:0005829; GO:0006364; GO:0042254
Q38967	TRINITY_DN292396_c0_g1	GO:0003333; GO:0005886; GO:0005887; GO:0006865; GO:0015171; GO:0015293; GO:0015800; GO:0015804; GO:0110126
Q9FF99	TRINITY_DN292396_c0_g2	GO:0003333; GO:0005886; GO:0006865; GO:0015171; GO:0015293; GO:0016020; GO:0016021
Q8GUM3	TRINITY_DN292396_c0_g3	GO:0003333; GO:0005886; GO:0015171; GO:0015174; GO:0015293; GO:0015802; GO:0015809; GO:0016021
Q38967	TRINITY_DN292396_c0_g4	GO:0003333; GO:0005886; GO:0005887; GO:0006865; GO:0015171; GO:0015293; GO:0015800; GO:0015804; GO:0110126
F4I9T0	TRINITY_DN292660_c0_g1	GO:0005739
Q8GT66	TRINITY_DN292909_c0_g1	GO:0009706; GO:0015031; GO:0016021
P04712	TRINITY_DN292914_c1_g1	GO:0005985; GO:0010431; GO:0016157; GO:0034059; GO:0051262
Q9ZT94	TRINITY_DN292950_c0_g1	GO:0000943; GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0006310; GO:0015074; GO:0046872
Q6NRK1	TRINITY_DN292951_c0_g1	GO:0005874; GO:0005912; GO:0007098; GO:0007155; GO:0034451; GO:0051011
O22207	TRINITY_DN292961_c0_g1	GO:0004843; GO:0005634; GO:0006511; GO:0016579
Q38885	TRINITY_DN223830_c0_g1	GO:0005048; GO:0006616; GO:0008320; GO:0009507; GO:0009535; GO:0010027; GO:0016021
Q8VEG4	TRINITY_DN292970_c0_g1	GO:0000724; GO:0000729; GO:0003676; GO:0005634; GO:0005737; GO:0006302; GO:0008310; GO:0008408; GO:0008852; GO:0090305
Q8VEG4	TRINITY_DN292970_c0_g2	GO:0000724; GO:0000729; GO:0003676; GO:0005634; GO:0005737; GO:0006302; GO:0008310; GO:0008408; GO:0008852; GO:0090305
