name	term	lev	seq	value
"single-stranded DNA-dependent ATP-dependent DNA helicase complex"	GO:0017117;GO:0033202;GO:1904949	4	TRINITY_DN299782_c1_g3	-3.29929297928695
"single-stranded DNA-dependent ATP-dependent DNA helicase complex"	GO:0017117;GO:0033202;GO:1904949	4	TRINITY_DN299782_c2_g1	-0.341902126915902
"single-stranded DNA-dependent ATP-dependent DNA helicase complex"	GO:0017117;GO:0033202;GO:1904949	4	TRINITY_DN299782_c2_g3	-4.97715122048107
"single-stranded DNA-dependent ATP-dependent DNA helicase complex"	GO:0017117;GO:0033202;GO:1904949	4	TRINITY_DN299782_c2_g4	-3.01792536336451
"single-stranded DNA-dependent ATP-dependent DNA helicase complex"	GO:0017117;GO:0033202;GO:1904949	4	TRINITY_DN299782_c2_g5	-3.39358805944955
"single-stranded DNA-dependent ATP-dependent DNA helicase complex"	GO:0017117;GO:0033202;GO:1904949	4	TRINITY_DN299782_c2_g6	-0.599937861161879
"single-stranded DNA-dependent ATP-dependent DNA helicase complex"	GO:0017117;GO:0033202;GO:1904949	4	TRINITY_DN299782_c2_g8	-0.829414716689155
"single-stranded DNA-dependent ATP-dependent DNA helicase complex"	GO:0017117;GO:0033202;GO:1904949	4	TRINITY_DN299782_c2_g9	-0.501195374912439
"thylakoid part"	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	3	TRINITY_DN175462_c0_g1	-0.566596217452694
"thylakoid part"	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	3	TRINITY_DN254212_c0_g1	-1.12854825893903
"thylakoid part"	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	3	TRINITY_DN277064_c0_g1	-0.383954093830287
"thylakoid part"	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	3	TRINITY_DN277201_c0_g1	-2.2587246973913
"thylakoid part"	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	3	TRINITY_DN294137_c1_g2	-1.73661679395742
"thylakoid part"	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	3	TRINITY_DN294137_c1_g3	-1.66985369624008
"thylakoid part"	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	3	TRINITY_DN294137_c1_g4	-0.167469442303997
"thylakoid part"	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	3	TRINITY_DN294137_c1_g5	-0.458522115157834
"thylakoid part"	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	3	TRINITY_DN294655_c4_g1	-14.3890469089283
"thylakoid part"	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	3	TRINITY_DN294655_c4_g2	-9.15842835755675
"thylakoid part"	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	3	TRINITY_DN316287_c1_g1	-0.348466489217372
"thylakoid part"	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	3	TRINITY_DN316287_c1_g5	-1.22327184668734
"thylakoid part"	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	3	TRINITY_DN316640_c4_g1	-0.0760700741234612
"thylakoid part"	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	3	TRINITY_DN316640_c4_g2	-0.179945882319924
"thylakoid part"	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	3	TRINITY_DN316640_c4_g4	-0.0133927849612791
"thylakoid part"	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	3	TRINITY_DN238270_c0_g1	-0.00039481456121372
"thylakoid part"	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	3	TRINITY_DN294146_c0_g1	-0.358885667908226
"thylakoid part"	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	3	TRINITY_DN294146_c1_g2	-0.536562898740854
"thylakoid part"	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	3	TRINITY_DN316287_c0_g1	-0.856542322814593
"thylakoid part"	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436	3	TRINITY_DN316287_c1_g2	-0.0980354272204613
"vacuole"	GO:0005773	4	TRINITY_DN172938_c0_g1	-3.18517395753642
"vacuole"	GO:0005773	4	TRINITY_DN173576_c0_g1	-0.00039263047677272
"vacuole"	GO:0005773	4	TRINITY_DN226618_c0_g1	-4.2915231528703
"vacuole"	GO:0005773	4	TRINITY_DN226913_c0_g1	-0.0633044481944466
"vacuole"	GO:0005773	4	TRINITY_DN23427_c0_g1	-1.15334056554862
"vacuole"	GO:0005773	4	TRINITY_DN238618_c0_g1	-1.12245928531246
"vacuole"	GO:0005773	4	TRINITY_DN254005_c0_g2	-2.0405496739611
"vacuole"	GO:0005773	4	TRINITY_DN259665_c0_g1	-0.348578275496678
