TRINITY_DN540991_c0_g1	cell organization and biogenesis	P
TRINITY_DN21033_c0_g1	cell organization and biogenesis	P
TRINITY_DN106042_c0_g1	other biological processes	P
TRINITY_DN684764_c0_g1	other biological processes	P
TRINITY_DN67030_c0_g1	other molecular function	F
TRINITY_DN278317_c0_g1	cell organization and biogenesis	P
TRINITY_DN552983_c0_g1	other metabolic processes	P
TRINITY_DN552983_c0_g1	other metabolic processes	P
TRINITY_DN293394_c0_g3	cell organization and biogenesis	P
TRINITY_DN298612_c2_g2	cell organization and biogenesis	P
TRINITY_DN314633_c5_g10	cell organization and biogenesis	P
TRINITY_DN616824_c0_g1	cell organization and biogenesis	P
TRINITY_DN540346_c0_g1	cell organization and biogenesis	P
TRINITY_DN689778_c0_g1	cell organization and biogenesis	P
TRINITY_DN67030_c0_g1	other metabolic processes	P
TRINITY_DN175174_c1_g1	transporter activity	F
TRINITY_DN310769_c0_g1	transporter activity	F
TRINITY_DN54412_c0_g1	other metabolic processes	P
TRINITY_DN494248_c0_g1	other metabolic processes	P
TRINITY_DN278340_c0_g1	cell organization and biogenesis	P
TRINITY_DN278340_c0_g1	other metabolic processes	P
TRINITY_DN278340_c0_g1	stress response	P
TRINITY_DN444903_c0_g1	cell organization and biogenesis	P
TRINITY_DN444903_c0_g1	other metabolic processes	P
TRINITY_DN444903_c0_g1	stress response	P
TRINITY_DN4011_c0_g1	nucleic acid binding activity	F
TRINITY_DN4402_c0_g1	nucleic acid binding activity	F
TRINITY_DN25957_c0_g1	nucleic acid binding activity	F
TRINITY_DN105039_c0_g1	nucleic acid binding activity	F
TRINITY_DN111411_c0_g1	nucleic acid binding activity	F
TRINITY_DN492046_c0_g1	nucleic acid binding activity	F
TRINITY_DN544899_c0_g1	nucleic acid binding activity	F
TRINITY_DN619897_c0_g1	nucleic acid binding activity	F
TRINITY_DN621454_c0_g1	nucleic acid binding activity	F
TRINITY_DN626625_c0_g1	nucleic acid binding activity	F
TRINITY_DN649901_c0_g1	nucleic acid binding activity	F
TRINITY_DN59421_c0_g1	other metabolic processes	P
TRINITY_DN623792_c0_g1	other metabolic processes	P
TRINITY_DN648390_c0_g1	other metabolic processes	P
TRINITY_DN110297_c0_g1	transport	P
TRINITY_DN619867_c0_g1	transport	P
TRINITY_DN659502_c0_g1	transport	P
TRINITY_DN314633_c5_g10	transport	P
TRINITY_DN619867_c0_g1	transport	P
TRINITY_DN38076_c0_g1	other molecular function	F
TRINITY_DN238271_c0_g1	other molecular function	F
TRINITY_DN344382_c0_g1	other molecular function	F
TRINITY_DN371083_c0_g1	other molecular function	F
TRINITY_DN526665_c0_g1	other molecular function	F
TRINITY_DN684224_c0_g1	other molecular function	F
TRINITY_DN59421_c0_g1	transporter activity	F
TRINITY_DN344692_c0_g1	transporter activity	F
TRINITY_DN5536_c0_g1	cell cycle and proliferation	P
TRINITY_DN5536_c0_g1	cell organization and biogenesis	P
TRINITY_DN27620_c0_g1	cell cycle and proliferation	P
TRINITY_DN27620_c0_g1	cell organization and biogenesis	P
TRINITY_DN670364_c0_g1	cell cycle and proliferation	P
TRINITY_DN670364_c0_g1	cell organization and biogenesis	P
TRINITY_DN6669_c0_g1	cell cycle and proliferation	P
TRINITY_DN6669_c0_g1	signal transduction	P
TRINITY_DN6669_c0_g1	stress response	P
TRINITY_DN255903_c0_g1	cell cycle and proliferation	P
TRINITY_DN255903_c0_g1	other metabolic processes	P
TRINITY_DN299755_c1_g3	cell cycle and proliferation	P
