seq,name,term,lev,value,ProteinN,logFC,logCPM,FDR,PValue
TRINITY_DN299263_c0_g1,activation of innate immune response,GO:0002758;GO:0002757;GO:0002218;GO:0002253;GO:0002764;GO:0045089;GO:0050778;GO:0050776;GO:0031349;GO:0045088;GO:0002684;GO:0002682;GO:0031347;GO:0080134,6,14.510903369234,cAMP-dependent protein kinase catalytic subunit gamma (PKA C-gamma) (EC 2.7.11.11),17.6957531678913,4.89030117904777,9.47256923600224e-06,4.98878444416273e-07
TRINITY_DN299263_c0_g2,activation of innate immune response,GO:0002758;GO:0002757;GO:0002218;GO:0002253;GO:0002764;GO:0045089;GO:0050778;GO:0050776;GO:0031349;GO:0045088;GO:0002684;GO:0002682;GO:0031347;GO:0080134,6,8.66241578738287,cAMP-dependent protein kinase catalytic subunit gamma (PKA C-gamma) (EC 2.7.11.11),11.5140217237107,2.37326595653225,0.00199007295151279,0.000172965952813228
TRINITY_DN312745_c1_g2,activation of innate immune response,GO:0002758;GO:0002757;GO:0002218;GO:0002253;GO:0002764;GO:0045089;GO:0050778;GO:0050776;GO:0031349;GO:0045088;GO:0002684;GO:0002682;GO:0031347;GO:0080134,6,6.02560668479661,cAMP-dependent protein kinase catalytic subunit gamma (PKA C-gamma) (EC 2.7.11.11),9.57811394153458,2.90650194348033,0.0182909998002133,0.0024160853204034
TRINITY_DN295269_c0_g3,activation of protein kinase activity,GO:0000187;GO:0032147;GO:0043406;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0051347;GO:0032270;GO:0045937;GO:0043085;GO:0031325;GO:0051247;GO:0010562;GO:0044093;GO:0009893;GO:0010604;GO:0051173;GO:0043405;GO:0043410;GO:0071902;GO:0043408;GO:1902533;GO:1902531;GO:0009967;GO:0010647;GO:0023056,6,18.8445655368903,Serine/threonine-protein kinase Tao (EC 2.7.11.1),20.6640831516458,6.33302652852744,1.73134638731818e-07,6.54499280504773e-09
TRINITY_DN294767_c5_g1,amide biosynthetic process,GO:0002181;GO:0006412;GO:0043043;GO:0006518;GO:0043604,4,5.5007863391886,60S ribosomal protein L9,9.5358362422735,3.05763182390952,0.0274156517461753,0.00408355911308136
TRINITY_DN294767_c5_g2,amide biosynthetic process,GO:0002181;GO:0006412;GO:0043043;GO:0006518;GO:0043604,4,5.79216055063432,60S ribosomal protein L9,8.46932929424859,4.53784549789122,0.0219628569213228,0.00305138238325325
TRINITY_DN294775_c0_g1,amide biosynthetic process,GO:0002181;GO:0006412;GO:0043043;GO:0006518;GO:0043604,4,8.52819947788875,60S ribosomal protein L32-A,11.25330884973,4.94619177744359,0.00222887152234353,0.000197810812218931
TRINITY_DN298834_c0_g1,amide biosynthetic process,GO:0002181;GO:0006412;GO:0043043;GO:0006518;GO:0043604,4,30.2599130466668,Putative glycine--tRNA ligase (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase) (Ap4A synthetase) (EC 2.7.7.-) (Glycyl-tRNA synthetase) (GlyRS),20.6738907423999,9.58817979768917,6.03595051001679e-12,7.21583744331571e-14
TRINITY_DN298841_c2_g1,amide biosynthetic process,GO:0002181;GO:0006412;GO:0043043;GO:0006518;GO:0043604,4,31.3263853352927,40S ribosomal protein S23,17.4334731725652,10.4512928852667,2.65085740246597e-12,2.48384053865956e-14
TRINITY_DN310743_c5_g1,amide biosynthetic process,GO:0002181;GO:0006412;GO:0043043;GO:0006518;GO:0043604,4,6.58833433858489,60S ribosomal protein L27-B,10.0998991933546,4.73645686276975,0.011299053239215,0.00137633055611762
