name	term	lev	seq	value
"RNA modification"	GO:0009451	5	TRINITY_DN104274_c0_g1	0
"RNA modification"	GO:0009451	5	TRINITY_DN231084_c0_g1	0
"RNA modification"	GO:0009451	5	TRINITY_DN238614_c0_g1	0
"RNA modification"	GO:0009451	5	TRINITY_DN271211_c1_g1	0.871158661565842
"RNA modification"	GO:0009451	5	TRINITY_DN271669_c0_g1	0
"RNA modification"	GO:0009451	5	TRINITY_DN293826_c5_g4	0
"RNA modification"	GO:0009451	5	TRINITY_DN293826_c5_g5	0
"RNA modification"	GO:0009451	5	TRINITY_DN294187_c0_g1	0
"RNA modification"	GO:0009451	5	TRINITY_DN296750_c0_g4	0
"RNA modification"	GO:0009451	5	TRINITY_DN298235_c4_g1	0
"RNA modification"	GO:0009451	5	TRINITY_DN298443_c0_g1	0
"RNA modification"	GO:0009451	5	TRINITY_DN311419_c1_g2	0
"RNA modification"	GO:0009451	5	TRINITY_DN312007_c1_g4	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN105050_c0_g1	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN223891_c0_g2	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN227532_c0_g1	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN231084_c0_g1	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN238614_c0_g1	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN256619_c0_g1	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN274635_c0_g1	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN277043_c0_g1	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN277043_c0_g2	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN277077_c0_g1	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN277217_c0_g1	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN292991_c0_g1	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN293385_c0_g1	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN293452_c1_g1	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN293452_c1_g2	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN293452_c1_g3	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN293452_c1_g4	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN293452_c1_g6	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN293452_c2_g1	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN293452_c2_g2	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN293452_c2_g5	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN293483_c0_g1	0.929012767824733
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN293826_c5_g1	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN293826_c5_g10	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN293826_c5_g4	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN293826_c5_g5	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN294781_c1_g1	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN294781_c2_g1	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN294781_c2_g2	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN294781_c2_g5	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN294781_c2_g6	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN294781_c2_g7	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN296362_c0_g2	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN298235_c4_g1	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN298443_c0_g1	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN299635_c7_g1	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN299635_c7_g4	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN310729_c0_g1	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN312007_c1_g4	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN37448_c0_g1	0
"ncRNA processing"	GO:0034470;GO:0034660	2	TRINITY_DN663141_c0_g1	0
"nucleocytoplasmic transport"	GO:0006913;GO:0051169	3	TRINITY_DN278343_c0_g1	0
"nucleocytoplasmic transport"	GO:0006913;GO:0051169	3	TRINITY_DN292335_c2_g11	0
"nucleocytoplasmic transport"	GO:0006913;GO:0051169	3	TRINITY_DN316646_c2_g1	0
"nucleocytoplasmic transport"	GO:0006913;GO:0051169	3	TRINITY_DN52681_c0_g1	0
"nucleocytoplasmic transport"	GO:0006913;GO:0051169	3	TRINITY_DN659541_c0_g1	0
"sno(s)RNA metabolic process"	GO:0031126;GO:0043144;GO:0016074	7	TRINITY_DN223891_c0_g2	0
"sno(s)RNA metabolic process"	GO:0031126;GO:0043144;GO:0016074	7	TRINITY_DN256619_c0_g1	0
"sno(s)RNA metabolic process"	GO:0031126;GO:0043144;GO:0016074	7	TRINITY_DN293826_c5_g1	0
"sno(s)RNA metabolic process"	GO:0031126;GO:0043144;GO:0016074	7	TRINITY_DN293826_c5_g10	0
"sno(s)RNA metabolic process"	GO:0031126;GO:0043144;GO:0016074	7	TRINITY_DN310729_c0_g1	0
"microtubule-based process"	GO:0000226;GO:0007010;GO:0007017	5	TRINITY_DN175246_c0_g1	0
"microtubule-based process"	GO:0000226;GO:0007010;GO:0007017	5	TRINITY_DN251965_c0_g1	0
"microtubule-based process"	GO:0000226;GO:0007010;GO:0007017	5	TRINITY_DN271219_c0_g2	0
"microtubule-based process"	GO:0000226;GO:0007010;GO:0007017	5	TRINITY_DN293346_c7_g1	0
"microtubule-based process"	GO:0000226;GO:0007010;GO:0007017	5	TRINITY_DN295073_c1_g1	0
"microtubule-based process"	GO:0000226;GO:0007010;GO:0007017	5	TRINITY_DN295224_c1_g2	0
"microtubule-based process"	GO:0000226;GO:0007010;GO:0007017	5	TRINITY_DN295226_c1_g1	0
"microtubule-based process"	GO:0000226;GO:0007010;GO:0007017	5	TRINITY_DN296798_c5_g3	0
"microtubule-based process"	GO:0000226;GO:0007010;GO:0007017	5	TRINITY_DN299782_c2_g2	0
"microtubule-based process"	GO:0000226;GO:0007010;GO:0007017	5	TRINITY_DN311476_c0_g1	0
"microtubule-based process"	GO:0000226;GO:0007010;GO:0007017	5	TRINITY_DN311789_c3_g3	0
"microtubule-based process"	GO:0000226;GO:0007010;GO:0007017	5	TRINITY_DN311789_c3_g6	0
"microtubule-based process"	GO:0000226;GO:0007010;GO:0007017	5	TRINITY_DN293890_c1_g1	0
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	3	TRINITY_DN111503_c0_g1	0
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	3	TRINITY_DN151696_c0_g1	0
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	3	TRINITY_DN278325_c0_g1	0
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	3	TRINITY_DN292384_c0_g1	0
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	3	TRINITY_DN298470_c0_g1	0.942198010396126
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	3	TRINITY_DN298470_c0_g3	0
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	3	TRINITY_DN299271_c0_g2	0.938633452746337
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	3	TRINITY_DN299783_c0_g3	0
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	3	TRINITY_DN311076_c1_g2	0
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	3	TRINITY_DN311468_c0_g1	0
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	3	TRINITY_DN312794_c0_g1	0
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	3	TRINITY_DN318516_c0_g1	0
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	3	TRINITY_DN3187_c0_g1	0
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	3	TRINITY_DN324953_c0_g1	0
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	3	TRINITY_DN34932_c0_g1	0
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	3	TRINITY_DN35976_c0_g1	0
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	3	TRINITY_DN66601_c0_g1	0
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	3	TRINITY_DN274628_c0_g1	0
