name	term	lev	seq	value
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN105130_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN136045_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN151645_c0_g1	0.654871462485026
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN172938_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN173576_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN173775_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN223830_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN226611_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN226665_c1_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN234234_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN251093_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN251132_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN252333_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN252859_c1_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN254319_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN255257_c0_g1	0.992538725621191
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN255962_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN256622_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN277053_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN277086_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN277292_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN277378_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN278921_c1_g2	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN292387_c5_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN292387_c8_g1	0.684915214844045
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN292395_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN292395_c0_g2	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN292396_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN292396_c0_g2	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN292396_c0_g3	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN292396_c0_g4	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN292974_c4_g2	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN292974_c5_g2	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN292974_c7_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN292974_c8_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN292974_c9_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN293347_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN293687_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN293818_c3_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN293818_c3_g2	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN294138_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN295008_c4_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN296217_c6_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN296770_c3_g3	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN298164_c0_g1	0.980665617511157
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN298472_c5_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN298600_c0_g1	0
"anion transmembrane transporter activity"	GO:0008509	2	TRINITY_DN298837_c0_g1	0
