name	term	lev	seq	value
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN277292_c0_g1	-10.7583037523243
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN277395_c0_g1	-6.49276792160809
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN293691_c0_g1	-17.0312315306637
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN293818_c3_g2	-8.4326937147411
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN294619_c0_g2	-7.91311830379642
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN298173_c0_g1	31.8560663969651
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN299750_c3_g1	6.03870944783077
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN311730_c0_g1	7.05866616411403
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN312095_c1_g3	-4.7885371868926
"transporter activity"	GO:0005215;GO:0022857	1	TRINITY_DN312713_c2_g1	10.3901874098524
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN151645_c0_g1	5.10146260431229
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN234168_c0_g1	21.2496060968169
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN259595_c0_g1	29.8493120660645
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN276015_c0_g1	-10.5689969790622
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN277252_c0_g1	6.08136542375344
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN278824_c0_g1	-12.8393379198844
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN292371_c5_g1	4.77921873877176
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN292978_c1_g13	7.94205347768472
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN294779_c0_g2	-12.0150796515149
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN294779_c1_g2	-4.7646389081904
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN294779_c1_g9	6.74361061679053
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN298618_c0_g1	28.826188790479
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN299024_c0_g1	5.7415941967167
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN311792_c1_g1	-11.7205549162833
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN312001_c0_g1	-17.4475370483269
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN312741_c6_g4	5.68256448662723
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN314883_c0_g1	6.27175110894767
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN316647_c2_g1	5.53093788543622
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN4638_c0_g1	7.81313905299612
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN6259_c0_g1	5.74856080659957
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN680_c0_g1	5.81128345908334
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN251132_c0_g1	-5.09206121749893
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN256219_c0_g2	19.8099756060968
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN298167_c1_g1	-7.90984946416151
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN310742_c0_g4	-4.99204664223991
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN312716_c1_g1	8.38196289712842
"small molecule binding"	GO:0005524;GO:0008144;GO:0032559;GO:0035639;GO:0030554;GO:0032555;GO:0017076;GO:0032553;GO:0000166;GO:0097367;GO:0036094;GO:1901265;GO:0043168	2	TRINITY_DN274840_c0_g2	32.0792455352514
"peptidase activity"	GO:0070011;GO:0008233	4	TRINITY_DN256557_c0_g2	5.06560245433097
"peptidase activity"	GO:0070011;GO:0008233	4	TRINITY_DN277209_c0_g1	6.52362494958439
"peptidase activity"	GO:0070011;GO:0008233	4	TRINITY_DN292961_c0_g1	-11.3820327054759
"peptidase activity"	GO:0070011;GO:0008233	4	TRINITY_DN294142_c0_g1	-4.88366939047996
"peptidase activity"	GO:0070011;GO:0008233	4	TRINITY_DN298447_c1_g1	-11.994958757927
"peptidase activity"	GO:0070011;GO:0008233	4	TRINITY_DN299202_c0_g2	-5.15484450772843
"peptidase activity"	GO:0070011;GO:0008233	4	TRINITY_DN311738_c1_g1	7.92389306178787
"peptidase activity"	GO:0070011;GO:0008233	4	TRINITY_DN311986_c0_g1	11.508437547225
"peptidase activity"	GO:0070011;GO:0008233	4	TRINITY_DN314160_c4_g1	-9.66961148472259
"peptidase activity"	GO:0070011;GO:0008233	4	TRINITY_DN314168_c2_g5	26.9237929065273
"peptidase activity"	GO:0070011;GO:0008233	4	TRINITY_DN314275_c4_g1	7.42676704314031
"peptidase activity"	GO:0070011;GO:0008233	4	TRINITY_DN314831_c1_g1	31.1175322308316
"peptidase activity"	GO:0070011;GO:0008233	4	TRINITY_DN316223_c6_g3	-11.9691776666531
"peptidase activity"	GO:0070011;GO:0008233	4	TRINITY_DN316900_c0_g1	15.14774073977
"peptidase activity"	GO:0070011;GO:0008233	4	TRINITY_DN316900_c0_g2	13.9017964237127
"peptidase activity"	GO:0070011;GO:0008233	4	TRINITY_DN316900_c0_g3	22.1117911718144
"peptidase activity"	GO:0070011;GO:0008233	4	TRINITY_DN298805_c0_g2	16.4910284473247
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	4	TRINITY_DN227360_c0_g2	5.30133714006937
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	4	TRINITY_DN292335_c2_g3	5.71323418995579
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	4	TRINITY_DN310027_c1_g1	31.3689045953193
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	4	TRINITY_DN311476_c1_g3	7.17413067891768
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	4	TRINITY_DN311484_c1_g1	16.6758399870042
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	4	TRINITY_DN311789_c4_g1	7.07522495265214
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	4	TRINITY_DN311986_c0_g1	11.508437547225
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	4	TRINITY_DN312095_c1_g3	-4.7885371868926
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	4	TRINITY_DN312737_c2_g5	6.91627450139918
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	4	TRINITY_DN312799_c0_g2	-5.12016043966076
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	4	TRINITY_DN314831_c0_g1	9.44344494608012
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	4	TRINITY_DN3495_c0_g1	17.2253902813694
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"	GO:0017111;GO:0016462;GO:0016818;GO:0016817	4	TRINITY_DN276974_c0_g1	16.9953681718209
"transferase activity, transferring phosphorus-containing groups"	GO:0004672;GO:0016301;GO:0016773;GO:0016772;GO:0004674	2	TRINITY_DN226664_c0_g1	10.7088316321163
"transferase activity, transferring phosphorus-containing groups"	GO:0004672;GO:0016301;GO:0016773;GO:0016772;GO:0004674	2	TRINITY_DN250557_c0_g1	7.7720892264482
"transferase activity, transferring phosphorus-containing groups"	GO:0004672;GO:0016301;GO:0016773;GO:0016772;GO:0004674	2	TRINITY_DN255899_c0_g1	-6.85571983740224
"transferase activity, transferring phosphorus-containing groups"	GO:0004672;GO:0016301;GO:0016773;GO:0016772;GO:0004674	2	TRINITY_DN259522_c0_g1	5.14974723929837
"transferase activity, transferring phosphorus-containing groups"	GO:0004672;GO:0016301;GO:0016773;GO:0016772;GO:0004674	2	TRINITY_DN259522_c1_g1	-6.20990216026132
"transferase activity, transferring phosphorus-containing groups"	GO:0004672;GO:0016301;GO:0016773;GO:0016772;GO:0004674	2	TRINITY_DN276539_c0_g1	8.9104042713446
"transferase activity, transferring phosphorus-containing groups"	GO:0004672;GO:0016301;GO:0016773;GO:0016772;GO:0004674	2	TRINITY_DN277373_c0_g1	5.95946042173044
"transferase activity, transferring phosphorus-containing groups"	GO:0004672;GO:0016301;GO:0016773;GO:0016772;GO:0004674	2	TRINITY_DN293348_c0_g2	31.1226105681196
"transferase activity, transferring phosphorus-containing groups"	GO:0004672;GO:0016301;GO:0016773;GO:0016772;GO:0004674	2	TRINITY_DN294787_c0_g3	-4.9146566168882
"transferase activity, transferring phosphorus-containing groups"	GO:0004672;GO:0016301;GO:0016773;GO:0016772;GO:0004674	2	TRINITY_DN295071_c1_g1	-20.2167421399163
"transferase activity, transferring phosphorus-containing groups"	GO:0004672;GO:0016301;GO:0016773;GO:0016772;GO:0004674	2	TRINITY_DN295269_c0_g4	11.2701505807866
"transferase activity, transferring phosphorus-containing groups"	GO:0004672;GO:0016301;GO:0016773;GO:0016772;GO:0004674	2	TRINITY_DN295269_c0_g5	11.937774522853
"transferase activity, transferring phosphorus-containing groups"	GO:0004672;GO:0016301;GO:0016773;GO:0016772;GO:0004674	2	TRINITY_DN299032_c0_g1	27.0964819481126
