Uniprot	annot	BPGO	CCGO	MFGO	GOterms	moduleColor	GS.exposed	p.GS.exposed	logFC	logCPM	FDR	edgeR.pvalue	MM.blue	p.MM.blue	MM.brown	p.MM.brown	MM.magenta	p.MM.magenta	MM.yellow	p.MM.yellow	MM.pink	p.MM.pink	MM.cyan	p.MM.cyan	MM.tan	p.MM.tan	MM.lightcyan	p.MM.lightcyan	MM.lightgreen	p.MM.lightgreen	MM.black	p.MM.black	MM.purple	p.MM.purple	MM.grey	p.MM.grey	MM.grey60	p.MM.grey60
TRINITY_DN234179_c0_g1	Q9NRD8	Dual oxidase 2 (EC 1.11.1.-) (EC 1.6.3.1) (Large NOX 2) (Long NOX 2) (NADH/NADPH thyroid oxidase p138-tox) (NADPH oxidase/peroxidase DUOX2) (NADPH thyroid oxidase 2) (Thyroid oxidase 2) (p138 thyroid oxidase)	cuticle development [GO:0042335]; cytokine-mediated signaling pathway [GO:0019221]; defense response [GO:0006952]; hormone biosynthetic process [GO:0042446]; hydrogen peroxide biosynthetic process [GO:0050665]; hydrogen peroxide catabolic process [GO:0042744]; oxidation-reduction process [GO:0055114]; positive regulation of cell motility [GO:2000147]; positive regulation of wound healing [GO:0090303]; response to cAMP [GO:0051591]; response to oxidative stress [GO:0006979]; response to virus [GO:0009615]; superoxide anion generation [GO:0042554]; thyroid hormone generation [GO:0006590]	apical part of cell [GO:0045177]; apical plasma membrane [GO:0016324]; cell junction [GO:0030054]; cell leading edge [GO:0031252]; cell surface [GO:0009986]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; NADPH oxidase complex [GO:0043020]; plasma membrane [GO:0005886]	calcium ion binding [GO:0005509]; heme binding [GO:0020037]; NAD(P)H oxidase activity [GO:0016174]; peroxidase activity [GO:0004601]; superoxide-generating NADPH oxidase activity [GO:0016175]	GO:0004601; GO:0005509; GO:0005783; GO:0005829; GO:0005886; GO:0006590; GO:0006952; GO:0006979; GO:0009615; GO:0009986; GO:0016174; GO:0016175; GO:0016324; GO:0019221; GO:0020037; GO:0030054; GO:0031252; GO:0042335; GO:0042446; GO:0042554; GO:0042744; GO:0043020; GO:0045177; GO:0050665; GO:0051591; GO:0055114; GO:0070062; GO:0090303; GO:2000147	black	0.559045070073332	0.0302717838223149	9.67590241722468	3.59248768734876	0.0106617800445381	0.00127114598915495	0.434037221532043	0.105987488642475	-0.801683747046027	0.000325382014099018	0.120280374467901	0.66938951740263	0.647292618486612	0.00909083536510701	-0.198537680320405	0.478116353150007	-0.536310658539332	0.0393057308460116	0.457787234564921	0.0861782637817927	0.272756922351131	0.325333736705024	0.249828102868951	0.369186534014578	0.706996756471337	0.0032045972764598	-0.0381180342751934	0.892714149323386	-0.124081184378836	0.659515014468943	0.621412443404957	0.0134051144141003
TRINITY_DN310739_c1_g6	P02994	Elongation factor 1-alpha (EF-1-alpha) (Eukaryotic elongation factor 1A) (eEF1A) (Translation elongation factor 1A)	actin filament bundle assembly [GO:0051017]; cellular response to amino acid starvation [GO:0034198]; negative regulation of protein kinase activity [GO:0006469]; negative regulation of protein phosphorylation [GO:0001933]; translation [GO:0006412]; translational elongation [GO:0006414]; tRNA export from nucleus [GO:0006409]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; eukaryotic translation elongation factor 1 complex [GO:0005853]; fungal-type vacuole membrane [GO:0000329]; mitochondrion [GO:0005739]; ribosome [GO:0005840]	actin filament binding [GO:0051015]; GDP binding [GO:0019003]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; protein kinase binding [GO:0019901]; Rho GTPase binding [GO:0017048]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]	GO:0000329; GO:0001933; GO:0003746; GO:0003924; GO:0005525; GO:0005737; GO:0005739; GO:0005829; GO:0005840; GO:0005853; GO:0005856; GO:0006409; GO:0006412; GO:0006414; GO:0006469; GO:0017048; GO:0019003; GO:0019901; GO:0034198; GO:0043022; GO:0051015; GO:0051017	black	0.520066086579318	0.0468942593830157	4.79496297342033	2.08952284458337	0.175136412403285	0.046797354784335	0.445044488300357	0.0964484223068418	-0.717159562313115	0.00261803238862199	0.481427493335696	0.0692218380220232	0.69959941304721	0.00369400710874367	-0.140472814827526	0.617541008865188	-0.346311241331332	0.206059940773427	0.613881623723101	0.014918357387551	0.103538316395851	0.71346769553067	0.299696548130231	0.277826844114253	0.572684153699186	0.0256626812911144	-0.0605488922845156	0.830269488058309	-0.377829235423569	0.164986976545728	0.465764952324667	0.0801580618886576
TRINITY_DN684697_c0_g1	P28073	Proteasome subunit beta type-6 (EC 3.4.25.1) (Macropain delta chain) (Multicatalytic endopeptidase complex delta chain) (Proteasome chain 5) (Proteasome delta chain) (Proteasome subunit Y)	proteasomal protein catabolic process [GO:0010498]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex [GO:0005839]; proteasome core complex, beta-subunit complex [GO:0019774]	endopeptidase activity [GO:0004175]; threonine-type endopeptidase activity [GO:0004298]	GO:0004175; GO:0004298; GO:0005634; GO:0005737; GO:0005839; GO:0010498; GO:0010499; GO:0019774; GO:0043161	black	0.516867220181813	0.0485076687710371	4.78120912224302	1.51869715466959	0.126541564236228	0.0287018346022074	0.438474159252962	0.102066609412593	-0.683231127067941	0.0049889375763931	0.320599044820201	0.244006181724342	0.576787091673823	0.0243863986163969	-0.239103986578374	0.390750215464567	-0.31886246992177	0.246714349657722	0.18188065756911	0.516496474530582	0.0390662916827561	0.890059947077529	0.317121752223213	0.249447469044271	0.777631375756071	0.000643284577299967	-0.0699273092208383	0.804417553571646	-0.256626201289718	0.355861985274967	0.370930719728964	0.173471450615999
TRINITY_DN278999_c4_g1	P62785	Histone H4 variant TH011	response to water deprivation [GO:0009414]	chloroplast [GO:0009507]; cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleosome [GO:0000786]; plasma membrane [GO:0005886]; plasmodesma [GO:0009506]; thylakoid [GO:0009579]; vacuolar membrane [GO:0005774]	DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]	GO:0000786; GO:0003677; GO:0005730; GO:0005774; GO:0005829; GO:0005886; GO:0009414; GO:0009506; GO:0009507; GO:0009579; GO:0046982	black	0.510303172380999	0.0519459456815736	5.64818575786512	1.52530114311975	0.0947138606044586	0.0190651809875857	0.411104773262326	0.12793015207488	-0.716754986069206	0.00263960646551455	0.239662906730839	0.389610068352965	0.645154044236711	0.00939943800041512	-0.226950808369857	0.415978174543392	-0.455078095156086	0.0882936645895696	0.378555138863853	0.164110460671877	0.0538543409346409	0.848824124688148	0.0162557612908933	0.954147286720028	0.498655030453782	0.0584827361020728	0.0132784663137984	0.962539321316983	-0.0663554669967456	0.814242747657148	0.356283364241404	0.192422178153953
TRINITY_DN299724_c0_g4	P30008	Sulfite reductase [ferredoxin] (EC 1.8.7.1)			4 iron, 4 sulfur cluster binding [GO:0051539]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; sulfite reductase (ferredoxin) activity [GO:0050311]	GO:0020037; GO:0046872; GO:0050311; GO:0051539	black	0.507071478671843	0.0537029343188438	5.68546818426728	2.28610714274622	0.111519042616938	0.0238171525589001	0.395994219881236	0.143973721722195	-0.757292737050297	0.00107720387731885	-0.0806054735830127	0.775211493714873	0.566135653003571	0.027803866471623	-0.150764291484751	0.591728298167776	-0.459806818097224	0.0846248609260619	0.217637441210501	0.435867324918138	0.160616233887437	0.567436342644936	0.380402795080146	0.161893370176648	0.617334307824845	0.0142090261008463	-0.135075489575868	0.63124874908898	0.117414131721555	0.676869500564433	0.599978179200931	0.0180553782070267
TRINITY_DN45501_c0_g1	B3EUF4	30S ribosomal protein S7	translation [GO:0006412]	small ribosomal subunit [GO:0015935]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]	GO:0000049; GO:0003735; GO:0006412; GO:0015935; GO:0019843	black	0.497122868289495	0.0593851603059391	5.76446216952715	2.06817636660513	0.126286107058018	0.02858685704997	0.386491341414521	0.154728348395439	-0.755515782351788	0.00112423427041269	0.231815429646115	0.405780377870878	0.688685661074524	0.00452282452991706	-0.0789830465651524	0.779632035613223	-0.511510639473708	0.0513004325785616	0.521238543430546	0.0463129478503133	0.156772620813147	0.57686348809485	0.269525756729967	0.33132517465353	0.618423261791455	0.0139908091023222	0.00576069869190532	0.983743882193328	-0.236254940359728	0.396589622236649	0.577475021596079	0.0241772199196911
TRINITY_DN314176_c0_g1	Q94AU2	25.3 kDa vesicle transport protein (AtSEC22)	endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]; vesicle fusion with Golgi apparatus [GO:0048280]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum membrane [GO:0005789]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; SNARE complex [GO:0031201]	SNAP receptor activity [GO:0005484]	GO:0000139; GO:0005484; GO:0005783; GO:0005789; GO:0005793; GO:0005794; GO:0005886; GO:0006888; GO:0006890; GO:0012507; GO:0015031; GO:0016021; GO:0031201; GO:0048280	black	0.479552806477259	0.0704706428805134	8.05313199027147	1.74289078126812	0.0328892814098347	0.00519640019690119	0.412169337469736	0.126848055099789	-0.456199589117774	0.087413549077871	-0.203518677664293	0.466913030555823	0.457092022040942	0.0867176482002906	-0.163161629829574	0.561229274803236	-0.123448162460314	0.661156040666265	0.13795164188067	0.623929873328409	0.194462962300421	0.487376233245613	0.366839663007981	0.178635850810914	0.700583488403265	0.00362567331057936	-0.120291152066785	0.669361445133355	0.222391358342841	0.425655564365024	0.217872586318183	0.435359318767003
TRINITY_DN278921_c1_g2	P48777	Purine permease	purine nucleobase transport [GO:0006863]; xanthine transport [GO:0042906]	fungal-type vacuole [GO:0000324]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	purine nucleobase transmembrane transporter activity [GO:0005345]; xanthine transmembrane transporter activity [GO:0042907]	GO:0000324; GO:0005345; GO:0005886; GO:0005887; GO:0006863; GO:0042906; GO:0042907	black	-0.440089609733645	0.100664570887901	-5.48282067231874	2.6425833675689	0.174473768831591	0.0465075474268376	-0.483734804189184	0.0677068452257847	0.259970597945501	0.349406100635476	-0.342840473048991	0.210947442099966	-0.155344084453586	0.580383677558902	0.0415638327911905	0.883074501273519	0.150032784636082	0.59354856919644	0.130843604081102	0.642075413332561	-0.114002246223893	0.685810060470674	0.492525244048206	0.0621539650505455	0.624052422988058	0.0129038008546317	0.0545604349790885	0.846863468695365	-0.271148123790856	0.328309085774653	0.488265961088375	0.0648015773356662
TRINITY_DN6486_c0_g1	Q9FWR2	Pyrophosphate-energized membrane proton pump 3 (EC 7.1.3.1) (AVP1-like protein 2) (Pyrophosphate-energized inorganic pyrophosphatase 3) (H(+)-PPase 3)	proton transmembrane transport [GO:1902600]	Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]	hydrogen-translocating pyrophosphatase activity [GO:0009678]; inorganic diphosphatase activity [GO:0004427]; metal ion binding [GO:0046872]	GO:0000139; GO:0004427; GO:0009678; GO:0016021; GO:0046872; GO:1902600	black	0.432956469897381	0.106958198003643	4.60743314552099	1.42857032712559	0.15816222238905	0.0401154586673357	0.308519081109989	0.263226436230982	-0.658011545023845	0.00766145012533295	-0.0197726418738119	0.944240153433841	0.605511737860598	0.0167514661345923	-0.0510229386984593	0.856694416045854	-0.484450883428954	0.0672415711627865	0.144204384461136	0.608131514444606	0.120449887890905	0.66894803509816	0.350996308211492	0.199578028243697	0.773672540949728	0.000714042452442835	-0.0215357280654863	0.939276267013995	-0.131981300355563	0.639158092069055	0.45130509631556	0.0913006326983029
TRINITY_DN299795_c0_g3	P25469	Histone H2A.1 (LeH2A-1)	chromatin organization [GO:0006325]; heterochromatin organization [GO:0070828]	heterochromatin [GO:0000792]; nuclear chromatin [GO:0000790]; nucleolus [GO:0005730]; nucleosome [GO:0000786]	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]	GO:0000786; GO:0000790; GO:0000792; GO:0003677; GO:0003682; GO:0005730; GO:0006325; GO:0046982; GO:0070828	black	0.428868241832416	0.110686100631745	4.426903586626	1.76026303428655	0.177057898151815	0.0475968243173862	0.339559776708171	0.215634427470713	-0.50293306084091	0.0560159786280445	-0.203716017636849	0.466471826575321	0.476455018521914	0.0725696285978877	-0.268780203279033	0.332716470048985	-0.146860681004247	0.601467901247048	0.0154481185825218	0.956423363715273	0.0537816330640391	0.84902606412737	0.291759392394109	0.291367185736714	0.607214238004087	0.0163652530302752	-0.186918357568544	0.504743084065683	0.265966829193088	0.337996360237748	0.185813770667118	0.507309520729785
