TRINITY_DN31278_c0_g1_i1	sp|Q54J75|RPB2_DICDI	64	111	40	0	1	333	950	1060	6.90E-40	164.5
TRINITY_DN31239_c0_g1_i1	sp|Q9SIT6|AB5G_ARATH	29.6	125	88	0	58	432	440	564	1.40E-12	74.3
TRINITY_DN31227_c0_g1_i1	sp|P32234|128UP_DROME	69.2	65	20	0	3	197	303	367	1.60E-23	109.8
TRINITY_DN31231_c0_g1_i1	sp|Q0IIH8|MINY3_BOVIN	59.3	81	32	1	6	248	213	292	1.20E-20	100.1
TRINITY_DN31262_c0_g1_i1	sp|Q27514|C13A5_CAEEL	45.2	104	57	0	3	314	414	517	2.40E-23	109.8
TRINITY_DN31269_c0_g1_i1	sp|Q8NKG8|SLD1_KLULC	46.5	101	50	1	13	315	412	508	2.20E-19	96.3
TRINITY_DN31290_c0_g1_i1	sp|F4KD38|NRPC2_ARATH	57.9	95	34	1	2	268	1052	1146	4.10E-27	121.7
TRINITY_DN31299_c0_g1_i1	sp|Q84TJ0|PMT6_ARATH	83.1	124	20	1	374	3	130	252	1.80E-60	233
TRINITY_DN31299_c0_g1_i2	sp|Q84TJ0|PMT6_ARATH	85.1	67	10	0	203	3	186	252	6.20E-28	124.4
TRINITY_DN31210_c0_g1_i1	sp|Q54UG4|RL37A_DICDI	68.5	89	28	0	9	275	1	89	2.80E-31	136
