"seq","name","term","lev","value","ProteinN","logFC","logCPM","FDR","PValue"
"TRINITY_DN312737_c2_g2","anatomical structure morphogenesis","GO:0009653",2,14.205546097818,"Jouberin (Abelson helper integration site 1 protein) (AHI-1)",16.51602456,9.764168498,2.02e-05,6.77e-07
"TRINITY_DN271666_c1_g1","catabolic process","GO:0009056;GO:1901575",2,16.6648972209846,"Acyl-protein thioesterase 1 (EC 3.1.2.-)",18.02592667,10.14568525,1.81e-06,5.79e-08
"TRINITY_DN271666_c1_g1","cellular protein metabolic process","GO:0006464;GO:0036211;GO:0044267;GO:0043412;GO:0019538",2,16.6648972209846,"Acyl-protein thioesterase 1 (EC 3.1.2.-)",18.02592667,10.14568525,1.81e-06,5.79e-08
"TRINITY_DN296708_c0_g1","cellular protein metabolic process","GO:0006464;GO:0036211;GO:0044267;GO:0043412;GO:0019538",2,29.8474329572232,"DPH4 homolog (DnaJ homolog subfamily C member 24)",21.68291002,14.66491937,1.4e-10,1.09e-13
"TRINITY_DN233011_c0_g1","cytokinesis","GO:0000281;GO:0061640;GO:0000910",3,26.3331202997808,"Probable serine/threonine-protein kinase pats1 (EC 2.7.11.1) (Protein associated with the transduction of signal 1)",19.0641312,14.00249983,6.02e-10,3.66e-12
"TRINITY_DN277328_c0_g1","cytokinesis","GO:0000281;GO:0061640;GO:0000910",3,25.2663130958104,"Probable serine/threonine-protein kinase pats1 (EC 2.7.11.1) (Protein associated with the transduction of signal 1)",20.32510447,12.02493955,8.02e-10,1.06e-11
"TRINITY_DN299789_c0_g2","cytokinesis","GO:0000281;GO:0061640;GO:0000910",3,21.9834959552107,"Probable serine/threonine-protein kinase pats1 (EC 2.7.11.1) (Protein associated with the transduction of signal 1)",18.66962268,12.73087676,1.21e-08,2.84e-10
"TRINITY_DN311731_c0_g1","cytoskeleton organization","GO:0007010",4,11.0465690711394,"Zygote defective protein 9",13.0577743,8.022670624,0.00035827,1.59e-05
"TRINITY_DN311493_c0_g1","homeostatic process","GO:0042592",2,7.39729095837727,"Sodium/potassium-transporting ATPase subunit alpha (Na(+)/K(+) ATPase alpha subunit) (EC 7.2.2.13) (Sodium pump subunit alpha)",11.38031087,9.699307412,0.010755327,0.000612911
"TRINITY_DN271666_c1_g1","macromolecule catabolic process","GO:0009057",2,16.6648972209846,"Acyl-protein thioesterase 1 (EC 3.1.2.-)",18.02592667,10.14568525,1.81e-06,5.79e-08
"TRINITY_DN311731_c0_g1","microtubule-based process","GO:0007017",2,11.0465690711394,"Zygote defective protein 9",13.0577743,8.022670624,0.00035827,1.59e-05
"TRINITY_DN233011_c0_g1","mitotic cell cycle process","GO:1903047",3,26.3331202997808,"Probable serine/threonine-protein kinase pats1 (EC 2.7.11.1) (Protein associated with the transduction of signal 1)",19.0641312,14.00249983,6.02e-10,3.66e-12
"TRINITY_DN277328_c0_g1","mitotic cell cycle process","GO:1903047",3,25.2663130958104,"Probable serine/threonine-protein kinase pats1 (EC 2.7.11.1) (Protein associated with the transduction of signal 1)",20.32510447,12.02493955,8.02e-10,1.06e-11
"TRINITY_DN299789_c0_g2","mitotic cell cycle process","GO:1903047",3,21.9834959552107,"Probable serine/threonine-protein kinase pats1 (EC 2.7.11.1) (Protein associated with the transduction of signal 1)",18.66962268,12.73087676,1.21e-08,2.84e-10
"TRINITY_DN256449_c0_g1","mRNA metabolic process","GO:0016071",2,13.4981302324811,"Splicing factor U2AF 35 kDa subunit (U2 auxiliary factor 35 kDa subunit) (U2 snRNP auxiliary factor small subunit) (Fragment)",16.09956622,9.258301558,3.91e-05,1.37e-06
"TRINITY_DN296708_c0_g1","ncRNA processing","GO:0034470;GO:0034660",3,29.8474329572232,"DPH4 homolog (DnaJ homolog subfamily C member 24)",21.68291002,14.66491937,1.4e-10,1.09e-13
"TRINITY_DN255273_c0_g1","negative regulation of biological process","GO:0010605;GO:0009892;GO:0048519",2,26.2610866873347,"NAD-dependent protein deacetylase sirtuin-2 (EC 3.5.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)",19.56437005,13.25833804,6.02e-10,3.94e-12
"TRINITY_DN311716_c0_g2","negative regulation of biological process","GO:0010605;GO:0009892;GO:0048519",2,23.4553508489847,"Epidermal retinol dehydrogenase 2 (EPHD-2) (RDH-E2) (EC 1.1.1.105) (Retinal short-chain dehydrogenase reductase 2) (retSDR2) (Short-chain dehydrogenase/reductase family 16C member 5)",20.77659826,11.47194003,3.47e-09,6.51e-11
"TRINITY_DN255273_c0_g1","negative regulation of cellular process","GO:0031324;GO:0048523;GO:0051172",2,26.2610866873347,"NAD-dependent protein deacetylase sirtuin-2 (EC 3.5.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)",19.56437005,13.25833804,6.02e-10,3.94e-12
"TRINITY_DN311716_c0_g2","negative regulation of cellular process","GO:0031324;GO:0048523;GO:0051172",2,23.4553508489847,"Epidermal retinol dehydrogenase 2 (EPHD-2) (RDH-E2) (EC 1.1.1.105) (Retinal short-chain dehydrogenase reductase 2) (retSDR2) (Short-chain dehydrogenase/reductase family 16C member 5)",20.77659826,11.47194003,3.47e-09,6.51e-11
"TRINITY_DN255273_c0_g1","negative regulation of gene expression","GO:0010629",3,26.2610866873347,"NAD-dependent protein deacetylase sirtuin-2 (EC 3.5.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)",19.56437005,13.25833804,6.02e-10,3.94e-12
"TRINITY_DN311716_c0_g2","negative regulation of gene expression","GO:0010629",3,23.4553508489847,"Epidermal retinol dehydrogenase 2 (EPHD-2) (RDH-E2) (EC 1.1.1.105) (Retinal short-chain dehydrogenase reductase 2) (retSDR2) (Short-chain dehydrogenase/reductase family 16C member 5)",20.77659826,11.47194003,3.47e-09,6.51e-11
"TRINITY_DN256449_c0_g1","nucleobase-containing compound metabolic process","GO:0090304;GO:0006139",3,13.4981302324811,"Splicing factor U2AF 35 kDa subunit (U2 auxiliary factor 35 kDa subunit) (U2 snRNP auxiliary factor small subunit) (Fragment)",16.09956622,9.258301558,3.91e-05,1.37e-06
"TRINITY_DN296708_c0_g1","nucleobase-containing compound metabolic process","GO:0090304;GO:0006139",3,29.8474329572232,"DPH4 homolog (DnaJ homolog subfamily C member 24)",21.68291002,14.66491937,1.4e-10,1.09e-13
"TRINITY_DN311731_c0_g1","organelle organization","GO:0006996",2,11.0465690711394,"Zygote defective protein 9",13.0577743,8.022670624,0.00035827,1.59e-05
"TRINITY_DN311493_c0_g1","regulation of biological quality","GO:0065008",2,7.39729095837727,"Sodium/potassium-transporting ATPase subunit alpha (Na(+)/K(+) ATPase alpha subunit) (EC 7.2.2.13) (Sodium pump subunit alpha)",11.38031087,9.699307412,0.010755327,0.000612911
"TRINITY_DN255273_c0_g1","regulation of cellular macromolecule biosynthetic process","GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0009889",3,26.2610866873347,"NAD-dependent protein deacetylase sirtuin-2 (EC 3.5.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)",19.56437005,13.25833804,6.02e-10,3.94e-12
"TRINITY_DN311716_c0_g2","regulation of cellular macromolecule biosynthetic process","GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0009889",3,23.4553508489847,"Epidermal retinol dehydrogenase 2 (EPHD-2) (RDH-E2) (EC 1.1.1.105) (Retinal short-chain dehydrogenase reductase 2) (retSDR2) (Short-chain dehydrogenase/reductase family 16C member 5)",20.77659826,11.47194003,3.47e-09,6.51e-11
"TRINITY_DN255273_c0_g1","regulation of cellular metabolic process","GO:0031323;GO:0051171;GO:0080090",4,26.2610866873347,"NAD-dependent protein deacetylase sirtuin-2 (EC 3.5.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)",19.56437005,13.25833804,6.02e-10,3.94e-12
"TRINITY_DN255903_c0_g1","regulation of cellular metabolic process","GO:0031323;GO:0051171;GO:0080090",4,13.9563026448281,"Protein BCCIP homolog",16.41968284,9.59453111,2.53e-05,8.69e-07
"TRINITY_DN299755_c1_g3","regulation of cellular metabolic process","GO:0031323;GO:0051171;GO:0080090",4,13.0212941355248,"Protein phosphatase 2C homolog 3 (PP2C-3) (EC 3.1.3.16)",15.21328196,8.894815231,5.91e-05,2.21e-06
"TRINITY_DN311716_c0_g2","regulation of cellular metabolic process","GO:0031323;GO:0051171;GO:0080090",4,23.4553508489847,"Epidermal retinol dehydrogenase 2 (EPHD-2) (RDH-E2) (EC 1.1.1.105) (Retinal short-chain dehydrogenase reductase 2) (retSDR2) (Short-chain dehydrogenase/reductase family 16C member 5)",20.77659826,11.47194003,3.47e-09,6.51e-11
"TRINITY_DN255273_c0_g1","regulation of gene expression","GO:0010468",2,26.2610866873347,"NAD-dependent protein deacetylase sirtuin-2 (EC 3.5.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)",19.56437005,13.25833804,6.02e-10,3.94e-12
"TRINITY_DN311716_c0_g2","regulation of gene expression","GO:0010468",2,23.4553508489847,"Epidermal retinol dehydrogenase 2 (EPHD-2) (RDH-E2) (EC 1.1.1.105) (Retinal short-chain dehydrogenase reductase 2) (retSDR2) (Short-chain dehydrogenase/reductase family 16C member 5)",20.77659826,11.47194003,3.47e-09,6.51e-11
"TRINITY_DN255273_c0_g1","regulation of metabolic process","GO:0060255;GO:0019222",4,26.2610866873347,"NAD-dependent protein deacetylase sirtuin-2 (EC 3.5.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)",19.56437005,13.25833804,6.02e-10,3.94e-12
"TRINITY_DN255903_c0_g1","regulation of metabolic process","GO:0060255;GO:0019222",4,13.9563026448281,"Protein BCCIP homolog",16.41968284,9.59453111,2.53e-05,8.69e-07
"TRINITY_DN299755_c1_g3","regulation of metabolic process","GO:0060255;GO:0019222",4,13.0212941355248,"Protein phosphatase 2C homolog 3 (PP2C-3) (EC 3.1.3.16)",15.21328196,8.894815231,5.91e-05,2.21e-06
"TRINITY_DN311716_c0_g2","regulation of metabolic process","GO:0060255;GO:0019222",4,23.4553508489847,"Epidermal retinol dehydrogenase 2 (EPHD-2) (RDH-E2) (EC 1.1.1.105) (Retinal short-chain dehydrogenase reductase 2) (retSDR2) (Short-chain dehydrogenase/reductase family 16C member 5)",20.77659826,11.47194003,3.47e-09,6.51e-11
