geneIDs	logFC	logCPM	FDR	edgeR.pvalue	BPGO	MFGO
TRINITY_DN295075_c3_g1	9.71611634037831	4.64618551825481	0.00384590580280239	0.000383969270780594	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
TRINITY_DN294775_c0_g1	11.25330884973	4.94619177744359	0.00222887152234353	0.000197810812218931	cytoplasmic translation [GO:0002181]	structural constituent of ribosome [GO:0003735]
TRINITY_DN312737_c2_g5	10.4689059580857	2.13219823870807	0.00869980065277489	0.000991516963327211	actin filament-based movement [GO:0030048]	actin filament binding [GO:0051015]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; motor activity [GO:0003774]
TRINITY_DN293689_c0_g1	11.3024848177983	5.21208336807217	0.002523726311151	0.000236698950744321		
TRINITY_DN311476_c1_g3	10.1683666495761	4.66085892071724	0.00703631682382767	0.00076615146030046	microtubule-based process [GO:0007017]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]
TRINITY_DN294775_c0_g2	9.72987045063953	2.77622088589291	0.0101013517363914	0.00118801034961113	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]
TRINITY_DN296759_c4_g1	12.3973197391514	4.06721859090254	0.002523726311151	0.00023728735268011	microtubule-based process [GO:0007017]	GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]
TRINITY_DN293689_c0_g3	8.91000512894698	5.14036897574877	0.0111880467366963	0.00135919404620285		
TRINITY_DN298848_c3_g2	8.08012134139688	4.12963057170333	0.0263616153061059	0.00384908602134741	cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]	large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735]
TRINITY_DN139711_c0_g1	7.93013287608335	1.61513954555166	0.0273991721932702	0.00407225176378168	chemical synaptic transmission [GO:0007268]; dorsal/ventral pattern formation [GO:0009953]; male meiosis cytokinesis [GO:0007112]; male meiotic nuclear division [GO:0007140]; mRNA splicing, via spliceosome [GO:0000398]; negative regulation of neuron death [GO:1901215]; oocyte development [GO:0048599]; oogenesis [GO:0048477]; positive regulation of translation [GO:0045727]; regulation of compound eye photoreceptor development [GO:0045314]; spermatid nucleus differentiation [GO:0007289]; spermatogenesis [GO:0007283]	mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; poly(A) binding [GO:0008143]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]
TRINITY_DN296798_c5_g3	10.4979117429551	4.47315662678617	0.00841034144960483	0.000951088693816378	microtubule-based process [GO:0007017]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]
TRINITY_DN294184_c0_g1	14.6352862768362	3.858161774867	0.00469760120088928	0.000485697054696145	cell redox homeostasis [GO:0045454]; response to oxidative stress [GO:0006979]	antioxidant activity [GO:0016209]; peroxidase activity [GO:0004601]; thioredoxin peroxidase activity [GO:0008379]
TRINITY_DN299653_c1_g2	18.2549608166824	5.62832708903221	0.00173465322262479	0.000147963958246509	determination of adult lifespan [GO:0008340]; translation [GO:0006412]	structural constituent of ribosome [GO:0003735]
TRINITY_DN293383_c0_g1	15.7511621531288	5.27209405286017	0.00222887152234353	0.000198041896169458	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]
TRINITY_DN293385_c0_g1	15.0761670777859	5.31955178323381	0.00118474556425437	9.49327624992191e-05	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
TRINITY_DN255993_c0_g1	12.3811057051814	3.19235588713018	0.00678778070369908	0.000736896386572825	translation [GO:0006412]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
TRINITY_DN293394_c0_g1	16.8806103579611	5.51785593905498	0.00131811545339748	0.000107323132231394	cytoplasmic translation [GO:0002181]; determination of adult lifespan [GO:0008340]; ribosomal large subunit assembly [GO:0000027]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
TRINITY_DN316993_c1_g1	4.98523333337685	5.0509156656489	0.0656170441335969	0.0119065124000696		GTPase activity [GO:0003924]; GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746]
TRINITY_DN310743_c5_g1	10.0998991933546	4.73645686276975	0.011299053239215	0.00137633055611762	cytoplasmic translation [GO:0002181]	structural constituent of ribosome [GO:0003735]
TRINITY_DN311738_c1_g1	10.858668308854	5.17230645207359	0.00369755798169449	0.000361990329064113	programmed cell death [GO:0012501]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]	aspartic-type endopeptidase activity [GO:0004190]
TRINITY_DN277209_c0_g1	10.0882191305347	2.90539245994882	0.0119469684508099	0.00146833679666253	proteolysis involved in cellular protein catabolic process [GO:0051603]	serine-type carboxypeptidase activity [GO:0004185]
TRINITY_DN231598_c0_g2	8.12375488354626	1.58522331791075	0.0316488366810034	0.00490838177928324	negative regulation of apoptotic process [GO:0043066]; negative regulation of JUN kinase activity [GO:0043508]; positive regulation of apoptotic process [GO:0043065]; protein folding [GO:0006457]; protein localization to mitochondrion [GO:0070585]; regulation of protein transport [GO:0051223]; response to heat [GO:0009408]	ATPase activator activity [GO:0001671]; ATP binding [GO:0005524]; chaperone binding [GO:0051087]; Hsp70 protein binding [GO:0030544]; metal ion binding [GO:0046872]; unfolded protein binding [GO:0051082]
TRINITY_DN294767_c5_g2	8.46932929424859	4.53784549789122	0.0219628569213228	0.00305138238325325	cytoplasmic translation [GO:0002181]	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
TRINITY_DN312702_c0_g1	15.0615267188458	4.17744952861556	0.00507183898082019	0.00053225461768484		ATP binding [GO:0005524]; helicase activity [GO:0004386]; translation initiation factor activity [GO:0003743]
TRINITY_DN311463_c3_g2	9.73012588876297	4.83808132995243	0.00538071915126369	0.000566757493800311		GTPase activity [GO:0003924]; GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746]
TRINITY_DN292978_c1_g13	16.8480643117911	4.67595140756117	0.00364303807324593	0.000355475766759376	ATP synthesis coupled proton transport [GO:0015986]	ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]
TRINITY_DN294781_c1_g1	15.9230936288582	4.38189691697591	0.00439374059497954	0.000448601624560109	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; translation [GO:0006412]	mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]
