name	term	lev	seq	value
"negative regulation of cellular process"	GO:0048523	2	TRINITY_DN104382_c0_g1	-2.46047700693962
"negative regulation of cellular process"	GO:0048523	2	TRINITY_DN1511_c0_g1	-1.20713227402755
"negative regulation of cellular process"	GO:0048523	2	TRINITY_DN151698_c0_g1	-0.743642290140871
"negative regulation of cellular process"	GO:0048523	2	TRINITY_DN231519_c0_g1	-1.51103265680974
"negative regulation of cellular process"	GO:0048523	2	TRINITY_DN254004_c0_g3	-2.04859654558493
"negative regulation of cellular process"	GO:0048523	2	TRINITY_DN254119_c0_g1	-2.59061504315765
"negative regulation of cellular process"	GO:0048523	2	TRINITY_DN256912_c0_g1	-1.17409387329328
"negative regulation of cellular process"	GO:0048523	2	TRINITY_DN276572_c0_g1	-4.86534860559553
"negative regulation of cellular process"	GO:0048523	2	TRINITY_DN293484_c0_g1	-0.93859462308165
"negative regulation of cellular process"	GO:0048523	2	TRINITY_DN293484_c0_g3	-0.174312996223731
"negative regulation of cellular process"	GO:0048523	2	TRINITY_DN294670_c1_g2	-0.844457829048369
"negative regulation of cellular process"	GO:0048523	2	TRINITY_DN312745_c1_g1	-10.8553114006482
"negative regulation of cellular process"	GO:0048523	2	TRINITY_DN312745_c1_g3	-12.929402877154
"negative regulation of cellular process"	GO:0048523	2	TRINITY_DN316221_c2_g2	-6.91270143904319
"negative regulation of cellular process"	GO:0048523	2	TRINITY_DN35365_c0_g1	-1.62333332688883
"negative regulation of cellular process"	GO:0048523	2	TRINITY_DN451916_c0_g1	-1.16481727873732
"negative regulation of cellular process"	GO:0048523	2	TRINITY_DN664099_c0_g1	-1.04143355796982
"regulation of signal transduction"	GO:0009966;GO:0010646;GO:0023051	4	TRINITY_DN2354_c0_g1	-1.59564712975767
"regulation of signal transduction"	GO:0009966;GO:0010646;GO:0023051	4	TRINITY_DN254274_c0_g1	-0.174305647335599
"regulation of signal transduction"	GO:0009966;GO:0010646;GO:0023051	4	TRINITY_DN292394_c0_g1	-3.49796517996841
"regulation of signal transduction"	GO:0009966;GO:0010646;GO:0023051	4	TRINITY_DN293484_c0_g1	-0.93859462308165
"regulation of signal transduction"	GO:0009966;GO:0010646;GO:0023051	4	TRINITY_DN293484_c0_g3	-0.174312996223731
"regulation of signal transduction"	GO:0009966;GO:0010646;GO:0023051	4	TRINITY_DN294139_c0_g3	-0.30914853185539
"regulation of signal transduction"	GO:0009966;GO:0010646;GO:0023051	4	TRINITY_DN295269_c0_g3	-18.8445655368903
"regulation of signal transduction"	GO:0009966;GO:0010646;GO:0023051	4	TRINITY_DN298143_c0_g1	-1.0704143879613
"regulation of signal transduction"	GO:0009966;GO:0010646;GO:0023051	4	TRINITY_DN298441_c0_g1	-3.49074284166159
"autophagosome assembly"	GO:0000045;GO:0070925;GO:1905037;GO:0007033	3	TRINITY_DN259525_c0_g1	-0.0685110141282797
"autophagosome assembly"	GO:0000045;GO:0070925;GO:1905037;GO:0007033	3	TRINITY_DN296773_c0_g1	-0.0725282909782563
"autophagosome assembly"	GO:0000045;GO:0070925;GO:1905037;GO:0007033	3	TRINITY_DN298235_c4_g2	-0.543409932984086
"autophagosome assembly"	GO:0000045;GO:0070925;GO:1905037;GO:0007033	3	TRINITY_DN298235_c4_g3	-1.01164513715856
"autophagosome assembly"	GO:0000045;GO:0070925;GO:1905037;GO:0007033	3	TRINITY_DN298235_c4_g4	-0.0910688986935646
"autophagosome assembly"	GO:0000045;GO:0070925;GO:1905037;GO:0007033	3	TRINITY_DN298449_c4_g2	-4.87823041062288
"autophagosome assembly"	GO:0000045;GO:0070925;GO:1905037;GO:0007033	3	TRINITY_DN317613_c0_g1	-2.61159893625159
"autophagosome assembly"	GO:0000045;GO:0070925;GO:1905037;GO:0007033	3	TRINITY_DN6268_c0_g1	-0.917894541990287
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	2	TRINITY_DN111503_c0_g1	-1.64495740123944
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	2	TRINITY_DN151696_c0_g1	-0.000436711343282816
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	2	TRINITY_DN278325_c0_g1	-6.02517418338692
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	2	TRINITY_DN292384_c0_g1	-29.6708999147268
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	2	TRINITY_DN298470_c0_g1	-1.93367121448916
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	2	TRINITY_DN298470_c0_g3	-1.10266195286416
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	2	TRINITY_DN299271_c0_g2	-2.86391821566004
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	2	TRINITY_DN299783_c0_g3	-10.9678844795399
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	2	TRINITY_DN311076_c1_g2	-0.484606285312504
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	2	TRINITY_DN311468_c0_g1	-27.7603500465939
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	2	TRINITY_DN312794_c0_g1	-0.000262690842625334
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	2	TRINITY_DN318516_c0_g1	-3.4162416608542
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	2	TRINITY_DN3187_c0_g1	-1.21224840012528
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	2	TRINITY_DN324953_c0_g1	-2.92497966166645
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	2	TRINITY_DN34932_c0_g1	-0.381929301917993
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	2	TRINITY_DN35976_c0_g1	-0.871022418909725
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	2	TRINITY_DN66601_c0_g1	-0.826577390118554
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	2	TRINITY_DN274628_c0_g1	-0.923015001350877
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	2	TRINITY_DN299298_c0_g1	-0.501852596617721
"organic substance catabolic process"	GO:0009057;GO:1901575;GO:0009056	2	TRINITY_DN668916_c0_g1	-0.885633693815319
"protein modification by small protein conjugation"	GO:0016567;GO:0032446	6	TRINITY_DN234177_c0_g1	-5.80114100435103
"protein modification by small protein conjugation"	GO:0016567;GO:0032446	6	TRINITY_DN276603_c0_g1	-0.810005577166679
"protein modification by small protein conjugation"	GO:0016567;GO:0032446	6	TRINITY_DN294100_c0_g2	-0.145495173657471
"protein modification by small protein conjugation"	GO:0016567;GO:0032446	6	TRINITY_DN294741_c0_g1	-0.093604970229524
"protein modification by small protein conjugation"	GO:0016567;GO:0032446	6	TRINITY_DN296379_c5_g1	-6.91276847053935
"protein modification by small protein conjugation"	GO:0016567;GO:0032446	6	TRINITY_DN299296_c0_g1	-10.573352148228
"protein modification by small protein conjugation"	GO:0016567;GO:0032446	6	TRINITY_DN314173_c2_g1	-5.50717466198132
"protein modification by small protein conjugation"	GO:0016567;GO:0032446	6	TRINITY_DN33815_c0_g1	-0.106947007216654
"protein modification by small protein conjugation"	GO:0016567;GO:0032446	6	TRINITY_DN34409_c0_g1	-5.08168871801072
"neuron migration"	GO:0001764	4	TRINITY_DN255905_c0_g1	-5.35433971848402
"neuron migration"	GO:0001764	4	TRINITY_DN298474_c8_g2	-1.62839362807218
"neuron migration"	GO:0001764	4	TRINITY_DN298474_c8_g3	-0.000478057586504073
"neuron migration"	GO:0001764	4	TRINITY_DN312728_c0_g1	-8.04994946929038
"neuron migration"	GO:0001764	4	TRINITY_DN46290_c0_g1	-3.00038529801502
"maturation of LSU-rRNA"	GO:0000470;GO:0000463	2	TRINITY_DN105050_c0_g1	-0.735066081574089
"maturation of LSU-rRNA"	GO:0000470;GO:0000463	2	TRINITY_DN227532_c0_g1	-1.52441891653711
"maturation of LSU-rRNA"	GO:0000470;GO:0000463	2	TRINITY_DN277043_c0_g1	-25.7822061816302
"maturation of LSU-rRNA"	GO:0000470;GO:0000463	2	TRINITY_DN277043_c0_g2	-5.65786475239208
"maturation of LSU-rRNA"	GO:0000470;GO:0000463	2	TRINITY_DN277217_c0_g1	-2.32211672028712
"maturation of LSU-rRNA"	GO:0000470;GO:0000463	2	TRINITY_DN293385_c0_g1	-9.26234168011244
"maturation of LSU-rRNA"	GO:0000470;GO:0000463	2	TRINITY_DN293452_c1_g1	-0.671891573006901
"maturation of LSU-rRNA"	GO:0000470;GO:0000463	2	TRINITY_DN293452_c1_g2	-0.358135983050187
"maturation of LSU-rRNA"	GO:0000470;GO:0000463	2	TRINITY_DN293452_c1_g3	-0.123706250570428
"maturation of LSU-rRNA"	GO:0000470;GO:0000463	2	TRINITY_DN293452_c1_g4	-0.715741571446519
"maturation of LSU-rRNA"	GO:0000470;GO:0000463	2	TRINITY_DN293452_c1_g6	-1.25025285633003
"maturation of LSU-rRNA"	GO:0000470;GO:0000463	2	TRINITY_DN293452_c2_g1	-0.358145420681392
"maturation of LSU-rRNA"	GO:0000470;GO:0000463	2	TRINITY_DN293452_c2_g2	-0.151129230632478
"maturation of LSU-rRNA"	GO:0000470;GO:0000463	2	TRINITY_DN293452_c2_g5	-0.171476677808936
"maturation of LSU-rRNA"	GO:0000470;GO:0000463	2	TRINITY_DN293483_c0_g1	-5.68452780382023
"maturation of LSU-rRNA"	GO:0000470;GO:0000463	2	TRINITY_DN294781_c1_g1	-7.70937531448457
"maturation of LSU-rRNA"	GO:0000470;GO:0000463	2	TRINITY_DN294781_c2_g1	-5.77301774280834
"maturation of LSU-rRNA"	GO:0000470;GO:0000463	2	TRINITY_DN294781_c2_g2	-0.353021825202202
"maturation of LSU-rRNA"	GO:0000470;GO:0000463	2	TRINITY_DN294781_c2_g5	-0.0200084842932883
"maturation of LSU-rRNA"	GO:0000470;GO:0000463	2	TRINITY_DN294781_c2_g6	-0.20330752172235
"maturation of LSU-rRNA"	GO:0000470;GO:0000463	2	TRINITY_DN294781_c2_g7	-0.424287366860589
