TRINITY_DN293394_c0_g1	cell organization and biogenesis	P
TRINITY_DN298832_c1_g1	cell organization and biogenesis	P
TRINITY_DN298848_c3_g2	cell organization and biogenesis	P
TRINITY_DN314236_c0_g1	cell organization and biogenesis	P
TRINITY_DN292998_c5_g6	cell organization and biogenesis	P
TRINITY_DN316936_c5_g1	cell organization and biogenesis	P
TRINITY_DN311987_c0_g1	other molecular function	F
TRINITY_DN311987_c0_g1	transporter activity	F
TRINITY_DN314641_c0_g1	other metabolic processes	P
TRINITY_DN298449_c4_g2	cell organization and biogenesis	P
TRINITY_DN298449_c4_g2	other metabolic processes	P
TRINITY_DN298449_c4_g2	stress response	P
TRINITY_DN102431_c0_g1	nucleic acid binding activity	F
TRINITY_DN238280_c0_g1	nucleic acid binding activity	F
TRINITY_DN271649_c0_g1	nucleic acid binding activity	F
TRINITY_DN276607_c0_g1	nucleic acid binding activity	F
TRINITY_DN277000_c0_g1	nucleic acid binding activity	F
TRINITY_DN316649_c0_g1	nucleic acid binding activity	F
TRINITY_DN278343_c0_g1	transport	P
TRINITY_DN316221_c2_g2	DNA metabolism	P
TRINITY_DN316221_c2_g2	cell cycle and proliferation	P
TRINITY_DN312745_c1_g1	cell cycle and proliferation	P
TRINITY_DN312745_c1_g1	signal transduction	P
TRINITY_DN312745_c1_g1	stress response	P
TRINITY_DN312745_c1_g3	cell cycle and proliferation	P
TRINITY_DN312745_c1_g3	signal transduction	P
TRINITY_DN312745_c1_g3	stress response	P
TRINITY_DN228040_c0_g1	cell cycle and proliferation	P
TRINITY_DN228040_c0_g1	other metabolic processes	P
TRINITY_DN299755_c1_g3	cell cycle and proliferation	P
TRINITY_DN299755_c1_g3	other metabolic processes	P
TRINITY_DN312090_c4_g1	other metabolic processes	P
TRINITY_DN298605_c1_g1	other molecular function	F
TRINITY_DN276572_c0_g1	RNA metabolism	P
TRINITY_DN293346_c7_g1	cell cycle and proliferation	P
TRINITY_DN293346_c7_g1	cell organization and biogenesis	P
TRINITY_DN295224_c1_g2	cell cycle and proliferation	P
TRINITY_DN295224_c1_g2	cell organization and biogenesis	P
TRINITY_DN226922_c0_g1	ER/Golgi	C
TRINITY_DN226922_c0_g1	other membranes	C
TRINITY_DN274058_c0_g1	ER/Golgi	C
TRINITY_DN274058_c0_g1	other membranes	C
TRINITY_DN274865_c0_g1	ER/Golgi	C
TRINITY_DN274865_c0_g1	other membranes	C
TRINITY_DN292973_c0_g1	ER/Golgi	C
TRINITY_DN292973_c0_g1	other membranes	C
TRINITY_DN292973_c0_g2	ER/Golgi	C
TRINITY_DN292973_c0_g2	other membranes	C
TRINITY_DN294657_c0_g2	ER/Golgi	C
TRINITY_DN294657_c0_g2	other membranes	C
TRINITY_DN295268_c2_g1	ER/Golgi	C
TRINITY_DN295268_c2_g1	other membranes	C
TRINITY_DN296758_c2_g1	ER/Golgi	C
TRINITY_DN296758_c2_g1	other membranes	C
TRINITY_DN298237_c0_g1	ER/Golgi	C
TRINITY_DN298237_c0_g1	other membranes	C
TRINITY_DN298449_c3_g4	ER/Golgi	C
TRINITY_DN298449_c3_g4	other membranes	C
TRINITY_DN298449_c4_g2	ER/Golgi	C
TRINITY_DN298449_c4_g2	other membranes	C
TRINITY_DN299020_c1_g1	ER/Golgi	C
TRINITY_DN299020_c1_g1	other membranes	C
TRINITY_DN311077_c1_g1	ER/Golgi	C
TRINITY_DN311077_c1_g1	other membranes	C
TRINITY_DN312065_c5_g1	ER/Golgi	C
TRINITY_DN312065_c5_g1	other membranes	C
TRINITY_DN314176_c0_g1	ER/Golgi	C
TRINITY_DN314176_c0_g1	other membranes	C
TRINITY_DN544815_c0_g1	ER/Golgi	C
TRINITY_DN544815_c0_g1	other membranes	C
TRINITY_DN271641_c0_g3	other molecular function	F
TRINITY_DN298836_c0_g1	other cellular component	C
TRINITY_DN274840_c0_g2	other molecular function	F
TRINITY_DN295269_c0_g3	protein metabolism	P
TRINITY_DN295269_c0_g3	signal transduction	P
TRINITY_DN271649_c0_g1	protein metabolism	P
TRINITY_DN271649_c0_g1	signal transduction	P
TRINITY_DN299755_c1_g3	other metabolic processes	P
TRINITY_DN299755_c1_g3	signal transduction	P
TRINITY_DN296379_c5_g1	protein metabolism	P
TRINITY_DN298836_c0_g1	protein metabolism	P
TRINITY_DN314173_c2_g1	protein metabolism	P
TRINITY_DN276974_c0_g1	other molecular function	F
TRINITY_DN254309_c0_g1	other cytoplasmic organelle	C
TRINITY_DN254309_c0_g1	other membranes	C
TRINITY_DN294194_c0_g2	other cytoplasmic organelle	C
