geneIDs	Uniprot	logFC	logCPM	edgeR.pvalue	FDR	BPGO	MFGO
TRINITY_DN38592_c0_g1	Q9FZ45	-8.95634970143521	3.12011810738283	0.000857328044207483	0.00769110230962945	negative regulation of cellulose biosynthetic process [GO:2001007]	
TRINITY_DN296362_c0_g2	Q6NVM6	-14.4054821416874	5.05484956443749	5.61202449636312e-06	9.23894458310844e-05	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]	
TRINITY_DN295071_c1_g1	C0LGG8	-7.50444870584481	9.273160041984	1.65951218882695e-09	4.54530108355701e-08	protein autophosphorylation [GO:0046777]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
TRINITY_DN314109_c1_g1	Q9MAB3	-12.4869359413913	5.65178637431173	7.89533388699101e-06	0.000125313119898652	ribosome biogenesis [GO:0042254]	snoRNA binding [GO:0030515]
TRINITY_DN314157_c1_g1	Q54W07	-13.6487860010172	5.5543358308884	3.21066282042255e-06	5.4300554257966e-05	protein phosphorylation [GO:0006468]; tRNA processing [GO:0008033]; tRNA threonylcarbamoyladenosine metabolic process [GO:0070525]	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; protein serine/threonine kinase activity [GO:0004674]
TRINITY_DN311788_c0_g1	B6IPI0	-11.3163646919577	5.72973375738932	1.09265647003853e-05	0.00016658974259947	tRNA pseudouridine synthesis [GO:0031119]	RNA binding [GO:0003723]; tRNA pseudouridine synthase activity [GO:0106029]
TRINITY_DN299658_c5_g1	Q93WU6	-7.04976316891072	8.54776446000242	8.52928743338602e-08	1.91290902944418e-06		calmodulin binding [GO:0005516]; DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]
TRINITY_DN298476_c0_g1	Q9LD55	-6.17949162017213	9.30297943020024	2.87980256569672e-08	7.24633247222062e-07	formation of cytoplasmic translation initiation complex [GO:0001732]; translational initiation [GO:0006413]; translation reinitiation [GO:0002188]	mRNA binding [GO:0003729]; translation initiation factor activity [GO:0003743]
TRINITY_DN293818_c3_g2	A5PJZ1	-9.49878072063545	4.93556153178881	0.000217634454952849	0.00240516165340554	cellular response to calcium ion [GO:0071277]; cellular response to oxidative stress [GO:0034599]; mitochondrial transport [GO:0006839]; regulation of cell death [GO:0010941]	ATP transmembrane transporter activity [GO:0005347]; calcium ion binding [GO:0005509]
TRINITY_DN316228_c3_g1	A4QP78	-4.82801423908781	9.32697480990176	6.22889402515617e-07	1.16135102456978e-05	gene silencing by RNA [GO:0031047]; regulation of translation [GO:0006417]	
