geneIDs	logFC	logCPM	FDR	edgeR.pvalue	BPGO	MFGO
1	TRINITY_DN311730_c0_g1	6.13141101447842	6.2439433166619	0.00769209766750203	0.000859924327287788	adult walking behavior [GO:0007628]; autophagy [GO:0006914]; bile acid metabolic process [GO:0008206]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; cellular response to steroid hormone stimulus [GO:0071383]; cholesterol efflux [GO:0033344]; cholesterol homeostasis [GO:0042632]; cholesterol metabolic process [GO:0008203]; cholesterol transport [GO:0030301]; endocytosis [GO:0006897]; establishment of protein localization to membrane [GO:0090150]; intracellular cholesterol transport [GO:0032367]; lysosomal transport [GO:0007041]; membrane raft organization [GO:0031579]; negative regulation of cell death [GO:0060548]; negative regulation of macroautophagy [GO:0016242]; protein glycosylation [GO:0006486]; response to cadmium ion [GO:0046686]; response to drug [GO:0042493]; viral entry into host cell [GO:0046718]	cholesterol binding [GO:0015485]; lipid transporter activity [GO:0005319]
2	TRINITY_DN293483_c0_g1	4.90329760854589	5.8916611545411	0.02378727601884	0.00339813745837776	cytoplasmic translation [GO:0002181]; maturation of LSU-rRNA [GO:0000470]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
3	TRINITY_DN314172_c5_g1	3.73661737372053	4.92272427430844	0.133895724229437	0.0312979144369865	translation [GO:0006412]	structural constituent of ribosome [GO:0003735]
4	TRINITY_DN276996_c1_g1	4.56214622705097	4.50219721615406	0.108098684199677	0.022652716213248	glutamine metabolic process [GO:0006541]	ATP binding [GO:0005524]; GMP synthase (glutamine-hydrolyzing) activity [GO:0003922]; pyrophosphatase activity [GO:0016462]
5	TRINITY_DN314883_c0_g1	5.16635762144625	7.26792785842712	0.014725947509553	0.00188891798426253	response to water deprivation [GO:0009414]; transmembrane transport [GO:0055085]; transpiration [GO:0010148]	ATPase activity [GO:0016887]; ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]
6	TRINITY_DN293340_c0_g2	5.42852587851527	6.25662658688883	0.0322653009809359	0.00508738832914272	cellular aromatic compound metabolic process [GO:0006725]; oxidation-reduction process [GO:0055114]	DOPA dioxygenase activity [GO:0046566]; ferrous iron binding [GO:0008198]; stizolobate synthase activity [GO:0050297]; zinc ion binding [GO:0008270]
7	TRINITY_DN293823_c0_g5	4.41816249862084	3.4556461769092	0.163468473958382	0.0423591974522204	double-strand break repair via nonhomologous end joining [GO:0006303]; hyperosmotic response [GO:0006972]; negative regulation of ascospore formation [GO:0075297]; positive regulation of transcription by RNA polymerase III [GO:0045945]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]; positive regulation of transcription from RNA polymerase II promoter by pheromones [GO:0007329]; positive regulation of transcription initiation from RNA polymerase II promoter [GO:0060261]; regulation of transcription from RNA polymerase II promoter in response to stress [GO:0043618]; RNA polymerase III preinitiation complex assembly [GO:0070898]; termination of RNA polymerase II transcription [GO:0006369]	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; transcription coactivator activity [GO:0003713]
8	TRINITY_DN294661_c0_g1	3.52235394870094	4.49500489217119	0.168571164850159	0.0444984302690081	glutamine metabolic process [GO:0006541]; tryptophan biosynthetic process [GO:0000162]	anthranilate synthase activity [GO:0004049]
9	TRINITY_DN294769_c0_g2	5.34363309796453	2.18508461472823	0.120192834374762	0.0265660263396346	cellular zinc ion homeostasis [GO:0006882]; regulation of microtubule polymerization [GO:0031113]; regulation of neuron projection development [GO:0010975]; signal transduction [GO:0007165]; zinc ion import across plasma membrane [GO:0071578]	zinc ion transmembrane transporter activity [GO:0005385]
10	TRINITY_DN294774_c0_g2	3.78447505255758	5.3332387678106	0.124703441105695	0.0278819971712895	cellular response to hypoxia [GO:0071456]; cholesterol biosynthetic process [GO:0006695]; fatty acid beta-oxidation [GO:0006635]; negative regulation of mitochondrial membrane permeability involved in apoptotic process [GO:1902109]; negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901029]	acetyl-CoA C-acetyltransferase activity [GO:0003985]; acetyl-CoA C-acyltransferase activity [GO:0003988]; RNA binding [GO:0003723]
