	GeneID	logFC	logCPM	F	PValue	FDR	Accession	Isoform	E-value	ProteinN	GO_BP	GO_CC	GO_MF	GO	Status	Organism
1	TRINITY_DN173970_c0_g1	19.7709273	14.04275312	103.1232144	7.15E-12	7.09E-10	Q54IP4	TRINITY_DN173970_c0_g1_i1	1.90E-06	Dual specificity protein kinase shkB (EC 2.7.11.1) (SH2 domain-containing protein 2) (SH2 domain-containing protein B)		membrane [GO:0016020]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]	GO:0004674; GO:0004713; GO:0005524; GO:0016020	reviewed	Dictyostelium discoideum (Slime mold)
2	TRINITY_DN2119_c0_g1	9.513758938	6.962782931	12.52155868	0.00141148	0.021271833	Q54HM6	TRINITY_DN2119_c0_g1_i1	1.00E-08	"Cytochrome c oxidase assembly protein COX11, mitochondrial"	aerobic respiration [GO:0009060]; protein-containing complex assembly [GO:0065003]	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]	copper ion binding [GO:0005507]	GO:0005507; GO:0005739; GO:0005743; GO:0009060; GO:0016021; GO:0065003	reviewed	Dictyostelium discoideum (Slime mold)
3	TRINITY_DN22073_c0_g1	7.733246973	6.630983065	10.80686807	0.002704897	0.036473403	Q979Z2	TRINITY_DN22073_c0_g1_i1	1.10E-07	Calcium-gated potassium channel TvoK		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	metal ion binding [GO:0046872]; potassium channel activity [GO:0005267]	GO:0005267; GO:0005886; GO:0016021; GO:0046872	reviewed	Thermoplasma volcanium (strain ATCC 51530 / DSM 4299 / JCM 9571 / NBRC 15438 / GSS1)
4	TRINITY_DN226644_c0_g1	17.21809245	10.67100942	64.03393449	4.60E-09	1.59E-07	Q29RV1	TRINITY_DN226644_c0_g1_i1	2.00E-10	Protein disulfide-isomerase A4 (EC 5.3.4.1)	cell redox homeostasis [GO:0045454]; protein folding [GO:0006457]; response to endoplasmic reticulum stress [GO:0034976]	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; melanosome [GO:0042470]	protein disulfide isomerase activity [GO:0003756]	GO:0003756; GO:0005783; GO:0005788; GO:0006457; GO:0009986; GO:0034976; GO:0042470; GO:0045454	reviewed	Bos taurus (Bovine)
5	TRINITY_DN227396_c0_g1	-9.766477453	7.100089474	10.95723076	0.00248088	0.033808586	Q7LHG5	TRINITY_DN227396_c0_g1_i1	1.80E-07	Transposon Ty3-I Gag-Pol polyprotein (Gag3-Pol3) (Transposon Ty3-2 TYA-TYB polyprotein) [Cleaved into: Capsid protein (CA) (p24); Spacer peptide p3; Nucleocapsid protein p11 (NC); Ty3 protease (PR) (EC 3.4.23.-) (p16); Spacer peptide J; Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (p55); Integrase p52 (IN); Integrase p49 (IN)]	"DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition, RNA-mediated [GO:0032197]"	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]; zinc ion binding [GO:0008270]	GO:0000943; GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004523; GO:0004540; GO:0005524; GO:0005634; GO:0005737; GO:0006310; GO:0008233; GO:0008270; GO:0015074; GO:0032197	reviewed	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
6	TRINITY_DN233011_c0_g1	19.0641312	14.00249983	108.5450111	3.66E-12	6.02E-10	Q55E58	TRINITY_DN233011_c0_g1_i1	3.20E-21	Probable serine/threonine-protein kinase pats1 (EC 2.7.11.1) (Protein associated with the transduction of signal 1)	cheating during chimeric sorocarp development [GO:0099139]; mitotic cytokinesis [GO:0000281]; protein dephosphorylation [GO:0006470]	actomyosin [GO:0042641]	ATP binding [GO:0005524]; GTP binding [GO:0005525]; phosphoprotein phosphatase activity [GO:0004721]; protein serine/threonine kinase activity [GO:0004674]	GO:0000281; GO:0004674; GO:0004721; GO:0005524; GO:0005525; GO:0006470; GO:0042641; GO:0099139	reviewed	Dictyostelium discoideum (Slime mold)
7	TRINITY_DN251134_c0_g1	18.85656658	13.8306835	86.20600146	6.95E-11	3.56E-09	Q99LT0	TRINITY_DN251134_c0_g1_i1	4.50E-07	Protein dpy-30 homolog (Dpy-30-like protein) (Dpy-30L)	endosomal transport [GO:0016197]; histone H3-K4 methylation [GO:0051568]	Golgi apparatus [GO:0005794]; histone methyltransferase complex [GO:0035097]; MLL3/4 complex [GO:0044666]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188]; trans-Golgi network [GO:0005802]	identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]	GO:0005634; GO:0005654; GO:0005794; GO:0005802; GO:0016197; GO:0035097; GO:0042802; GO:0042803; GO:0044666; GO:0048188; GO:0051568	reviewed	Mus musculus (Mouse)
8	TRINITY_DN251134_c1_g1	9.595183118	6.98803541	12.74235263	0.001301176	0.020326902	Q9P0X4	TRINITY_DN251134_c1_g1_i1	2.20E-09	Voltage-dependent T-type calcium channel subunit alpha-1I (Voltage-gated calcium channel subunit alpha Cav3.3) (Ca(v)3.3)	calcium ion import [GO:0070509]; flagellated sperm motility [GO:0030317]; membrane depolarization during action potential [GO:0086010]; neuronal action potential [GO:0019228]; positive regulation of calcium ion-dependent exocytosis [GO:0045956]; regulation of ion transmembrane transport [GO:0034765]; signal transduction [GO:0007165]; sleep [GO:0030431]	plasma membrane [GO:0005886]; voltage-gated calcium channel complex [GO:0005891]	low voltage-gated calcium channel activity [GO:0008332]; voltage-gated calcium channel activity [GO:0005245]	GO:0005245; GO:0005886; GO:0005891; GO:0007165; GO:0008332; GO:0019228; GO:0030317; GO:0030431; GO:0034765; GO:0045956; GO:0070509; GO:0086010	reviewed	Homo sapiens (Human)
9	TRINITY_DN251191_c0_g1	10.16112929	7.118224301	14.65042771	0.000657533	0.011382423	P65850	TRINITY_DN251191_c0_g1_i1	5.00E-07	tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)	tRNA pseudouridine synthesis [GO:0031119]		RNA binding [GO:0003723]; tRNA pseudouridine synthase activity [GO:0106029]	GO:0003723; GO:0031119; GO:0106029	reviewed	Streptococcus pyogenes serotype M1
10	TRINITY_DN251191_c0_g2	18.47912781	10.49183619	62.82066022	1.15E-08	3.89E-07	Q8Y457	TRINITY_DN251191_c0_g2_i1	6.20E-17	tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)	tRNA pseudouridine synthesis [GO:0031119]		pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; tRNA pseudouridine synthase activity [GO:0106029]	GO:0003723; GO:0009982; GO:0031119; GO:0106029	reviewed	Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e)
